,Player,League,Squad,Pos,Player Type,"Minutes
Played (%)",Goals,Assists,onxG,onxGA
1708,Luis Amarilla,Major League Soccer,Minnesota Utd,FW,1,76.8,9,4,1.0,0.96
1709,Frankie Amaya,Major League Soccer,NY Red Bulls,MF,3,64.7,1,3,1.06,1.02
1710,Malte Amundsen,Major League Soccer,NYCFC,DF,4,68.5,0,1,1.04,1.08
1711,José Andrés Martínez,Major League Soccer,Philadelphia,MF,3,82.4,0,2,1.0,1.01
1712,Brian Anunga,Major League Soccer,Nashville,MF,3,27.6,0,0,1.03,1.05
1713,Cristian Arango,Major League Soccer,Los Angeles FC,FW,1,76.5,16,4,1.03,1.01
1714,César Araujo,Major League Soccer,Orlando City,MF,3,80.3,0,0,0.97,0.93
1715,Julian Araujo,Major League Soccer,LA Galaxy,DF,4,89.7,0,5,1.0,0.93
1716,Luiz Araújo,Major League Soccer,Atlanta Utd,FW,2,71.5,4,5,1.02,1.01
1717,Daniel Armando Ríos,Major League Soccer,Charlotte,FW,1,46.2,7,1,1.11,0.91
1718,Xavier Arreaga,Major League Soccer,Seattle,DF,5,70.9,1,0,1.09,0.86
1719,Kervin Arriaga,Major League Soccer,Minnesota Utd,MF,3,61.8,1,0,0.98,1.04
1720,Paul Arriola,Major League Soccer,FC Dallas,FW,2,83.8,10,5,1.09,0.99
1721,Artur,Major League Soccer,Columbus Crew,MF,3,53.5,0,0,1.0,0.98
1722,Dairon Asprilla,Major League Soccer,Portland Timbers,FW,2,60.3,10,2,0.95,0.94
1723,Joshua Atencio,Major League Soccer,Seattle,MF,3,23.8,0,0,0.83,0.98
1724,David Ayala,Major League Soccer,Portland Timbers,MF,3,24.1,0,0,0.75,1.1
1725,Dominique Badji,Major League Soccer,FC Cincinnati,FW,2,35.9,0,2,0.92,1.1
1726,Corey Baird,Major League Soccer,Houston Dynamo,FW,2,43.8,2,4,1.05,1.07
1727,Tom Barlow,Major League Soccer,NY Red Bulls,FW,1,35.9,4,0,1.08,1.58
1728,Álvaro Barreal,Major League Soccer,FC Cincinnati,DF,4,71.8,5,5,0.97,0.96
1729,Michael Barrios,Major League Soccer,Colorado Rapids,FW,2,62.4,2,6,1.1,1.0
1730,Ethan Bartlow,Major League Soccer,Houston Dynamo,DF,5,29.7,0,0,0.84,1.23
1731,Tanner Beason,Major League Soccer,San Jose,DF,5,73.2,0,0,0.91,1.05
1732,Alejandro Bedoya,Major League Soccer,Philadelphia,MF,2,79.1,6,6,1.04,0.97
1733,Steven Beitashour,Major League Soccer,Colorado Rapids,DF,4,42.9,0,2,0.97,1.09
1734,Jon Bell,Major League Soccer,New England,DF,5,34.4,1,0,0.92,1.22
1735,Ben Bender,Major League Soccer,Charlotte,MF,2,53.8,3,6,0.95,0.99
1736,Sebastian Berhalter,Major League Soccer,Vancouver,MF,3,33.5,0,0,0.98,1.07
1737,Federico Bernardeschi,Major League Soccer,Toronto FC,FW,2,35.9,8,2,1.13,0.82
1738,Miguel Berry,Major League Soccer,D.C. United,FW,1,23.2,0,0,0.94,0.93
1739,Miguel Berry,Major League Soccer,Columbus Crew,FW,1,31.8,2,0,1.04,0.94
1740,Steve Birnbaum,Major League Soccer,D.C. United,DF,5,93.2,2,0,1.01,0.97
1741,Tyler Blackett,Major League Soccer,FC Cincinnati,DF,5,43.8,0,1,1.12,1.2
1742,Tristan Blackmon,Major League Soccer,Vancouver,DF,5,69.7,1,0,0.98,0.97
1743,Sebastián Blanco,Major League Soccer,Portland Timbers,FW,2,59.4,7,7,1.07,1.07
1744,Latif Blessing,Major League Soccer,Los Angeles FC,MF,2,43.5,0,1,1.05,1.1
1745,Emmanuel Boateng,Major League Soccer,New England,FW,2,32.6,2,2,1.3,1.1
1746,Jonathan Bornstein,Major League Soccer,Chicago Fire,DF,4,39.1,1,0,0.98,0.98
1747,Gustavo Bou,Major League Soccer,New England,FW,2,52.4,8,2,1.03,1.1
1748,Michael Boxall,Major League Soccer,Minnesota Utd,DF,5,91.2,0,0,1.0,0.95
1749,Michael Bradley,Major League Soccer,Toronto FC,MF,3,99.7,3,3,1.0,1.0
1750,Zachary Brault-Guillard,Major League Soccer,CF Montréal,DF,4,20.6,4,2,0.82,1.13
1751,Claudio Bravo,Major League Soccer,Portland Timbers,DF,4,72.1,0,2,1.02,0.99
1752,Brenner,Major League Soccer,FC Cincinnati,FW,1,67.1,18,6,1.0,0.95
1753,Andrew Brody,Major League Soccer,Real Salt Lake,DF,4,96.5,2,4,1.02,0.97
1754,Brandt Bronico,Major League Soccer,Charlotte,MF,3,91.8,1,1,0.95,1.01
1755,Javain Brown,Major League Soccer,Vancouver,DF,4,60.6,1,0,0.99,1.0
1756,Gastón Brugman,Major League Soccer,LA Galaxy,MF,3,36.8,3,1,0.9,1.09
1757,Will Bruin,Major League Soccer,Seattle,FW,1,28.2,3,0,0.96,0.95
1758,Adam Buksa,Major League Soccer,New England,FW,1,26.8,7,2,1.04,0.81
1759,Teal Bunbury,Major League Soccer,Nashville,FW,1,21.5,5,0,1.23,1.53
1760,Cory Burke,Major League Soccer,Philadelphia,FW,1,39.1,7,4,1.05,1.19
1761,Brandon Bye,Major League Soccer,New England,DF,4,83.8,2,7,1.04,0.96
1762,Kevin Cabral,Major League Soccer,LA Galaxy,FW,2,55.0,1,3,0.93,1.08
1763,Deiber Caicedo,Major League Soccer,Vancouver,FW,2,32.1,1,2,0.86,1.03
1764,Scott Caldwell,Major League Soccer,Real Salt Lake,MF,3,44.4,0,0,0.95,1.17
1765,Alexander Callens,Major League Soccer,NYCFC,DF,5,77.9,5,1,1.1,0.93
1766,Francisco Calvo,Major League Soccer,San Jose,DF,5,38.2,2,0,1.01,1.08
1767,Rudy Camacho,Major League Soccer,CF Montréal,DF,5,80.9,1,0,0.98,1.01
1768,Geoff Cameron,Major League Soccer,FC Cincinnati,DF,5,69.1,0,1,1.06,0.98
1769,Leonardo Campana,Major League Soccer,Inter Miami,FW,1,51.8,11,1,0.99,0.93
1770,George Campbell,Major League Soccer,Atlanta Utd,DF,5,48.2,0,0,0.98,0.92
1771,Russell Canouse,Major League Soccer,D.C. United,MF,3,38.8,1,1,0.9,0.78
1772,Nathan Cardoso,Major League Soccer,San Jose,DF,5,74.1,3,0,1.07,0.93
1773,Antonio Carlos,Major League Soccer,Orlando City,DF,5,53.2,0,1,0.89,0.98
1774,Julián Carranza,Major League Soccer,Philadelphia,FW,1,72.4,14,6,1.04,0.87
1775,Adalberto Carrasquilla,Major League Soccer,Houston Dynamo,MF,3,78.2,2,3,1.0,0.99
1776,Julio Cascante,Major League Soccer,Austin,DF,5,88.8,3,2,1.02,1.01
1777,Cristian Cásseres Jr.,Major League Soccer,NY Red Bulls,MF,2,71.8,2,4,1.04,1.01
1778,Valentín Castellanos,Major League Soccer,NYCFC,FW,1,47.6,13,2,1.24,1.02
1779,Lucas Cavallini,Major League Soccer,Vancouver,FW,1,49.4,9,1,0.99,0.99
1780,Darwin Cerén,Major League Soccer,Houston Dynamo,MF,3,36.8,0,0,1.15,0.94
1781,Edwin Cerrillo,Major League Soccer,FC Dallas,MF,3,61.8,0,0,0.84,0.98
1782,Maikel Chang,Major League Soccer,Real Salt Lake,MF,2,60.0,2,4,1.06,0.8
1783,Maxime Chanot,Major League Soccer,NYCFC,DF,5,47.1,1,1,0.77,1.05
1784,Diego Chará,Major League Soccer,Portland Timbers,MF,3,79.7,0,2,1.06,1.0
1785,Yimmi Chará,Major League Soccer,Portland Timbers,MF,2,90.3,4,3,0.92,0.96
1786,Giorgio Chiellini,Major League Soccer,Los Angeles FC,DF,5,23.2,0,1,1.39,0.96
1787,Mathieu Choiniere,Major League Soccer,CF Montréal,DF,4,45.0,2,0,0.92,0.86
1788,Léo Chú,Major League Soccer,Seattle,FW,2,26.8,0,2,1.11,0.94
1789,José Cifuentes,Major League Soccer,Los Angeles FC,MF,2,76.8,7,6,0.96,0.93
1790,Ronaldo Cisneros,Major League Soccer,Atlanta Utd,FW,1,56.5,7,1,0.95,0.9
1791,Gabriele Corbo,Major League Soccer,CF Montréal,DF,5,37.1,0,0,1.01,1.11
1792,Sergio Córdova,Major League Soccer,Real Salt Lake,FW,1,74.4,9,1,1.03,0.83
1793,Guzmán Corujo,Major League Soccer,Charlotte,DF,5,67.4,1,0,0.94,1.0
1794,Douglas Costa,Major League Soccer,LA Galaxy,MF,2,45.9,4,1,0.98,1.04
1795,Séga Coulibaly,Major League Soccer,LA Galaxy,DF,5,70.3,1,0,1.02,1.06
1796,Cade Cowell,Major League Soccer,San Jose,FW,2,50.9,3,3,1.05,0.97
1797,Domenico Criscito,Major League Soccer,Toronto FC,DF,4,38.8,1,0,1.06,0.72
1798,Cucho,Major League Soccer,Columbus Crew,FW,2,42.4,9,2,0.86,0.99
1799,Rafael Czichos,Major League Soccer,Chicago Fire,DF,5,76.2,3,0,0.98,0.88
1800,Cristián Dajome,Major League Soccer,Vancouver,DF,2,58.8,2,4,1.0,1.05
1801,Abu Danladi,Major League Soccer,Minnesota Utd,FW,2,20.6,2,0,0.85,1.61
1802,Sean Davis,Major League Soccer,Nashville,MF,3,92.6,1,1,0.97,0.98
1803,Miloš Degenek,Major League Soccer,Columbus Crew,DF,5,72.9,0,0,1.0,0.94
1804,Marky Delgado,Major League Soccer,LA Galaxy,MF,3,82.1,2,2,1.03,0.95
1805,Nick DePuy,Major League Soccer,LA Galaxy,DF,5,42.4,0,0,1.1,1.0
1806,Luis Díaz,Major League Soccer,Columbus Crew,FW,2,50.0,3,5,0.95,0.96
1807,Bakaye Dibassy,Major League Soccer,Minnesota Utd,DF,5,73.8,1,0,1.07,1.03
1808,Sofiane Djeffal,Major League Soccer,D.C. United,MF,3,55.0,0,1,0.91,0.99
1809,Griffin Dorsey,Major League Soccer,Houston Dynamo,DF,4,53.8,1,1,1.07,1.02
1810,Hassani Dotson,Major League Soccer,Minnesota Utd,DF,4,20.6,1,2,1.05,1.02
1811,Sebastián Driussi,Major League Soccer,Austin,MF,2,94.1,22,5,1.01,0.99
1812,Bryce Duke,Major League Soccer,Inter Miami,MF,2,48.2,1,4,1.04,0.96
1813,Cameron Duke,Major League Soccer,Sporting KC,MF,2,40.0,0,2,0.9,1.01
1814,Jáder Durán,Major League Soccer,Chicago Fire,FW,1,44.7,8,3,1.05,1.07
1815,Chris Durkin,Major League Soccer,D.C. United,MF,3,73.2,1,4,1.0,1.04
1816,Dom Dwyer,Major League Soccer,Atlanta Utd,FW,1,20.3,4,0,1.3,0.86
1817,Jeremy Ebobisse,Major League Soccer,San Jose,FW,1,96.2,17,2,1.0,0.97
1818,Daniel Edelman,Major League Soccer,NY Red Bulls,MF,3,32.4,1,0,0.82,1.03
1819,Raheem Edwards,Major League Soccer,LA Galaxy,DF,4,74.4,1,3,1.04,0.9
1820,Tom Edwards,Major League Soccer,NY Red Bulls,DF,4,54.1,0,0,1.02,1.17
1821,Jack Elliott,Major League Soccer,Philadelphia,DF,5,93.5,2,1,1.01,0.98
1822,Franco Escobar,Major League Soccer,Los Angeles FC,DF,4,37.6,1,1,0.88,0.81
1823,Cristian Espinoza,Major League Soccer,San Jose,FW,2,92.9,7,9,0.96,1.01
1824,Roger Espinoza,Major League Soccer,Sporting KC,MF,3,61.2,2,1,1.07,1.0
1825,Lucas Esteves,Major League Soccer,Colorado Rapids,DF,4,74.1,1,2,1.02,0.97
1826,Michael Estrada,Major League Soccer,D.C. United,FW,1,28.2,4,3,1.29,0.94
1827,Derrick Etienne,Major League Soccer,Columbus Crew,FW,2,72.4,9,6,1.06,1.01
1828,Diego Fagúndez,Major League Soccer,Austin,FW,2,88.2,6,12,1.04,0.94
1829,Mamadou Fall,Major League Soccer,Los Angeles FC,DF,5,39.1,1,1,1.02,1.07
1830,Marco Farfan,Major League Soccer,FC Dallas,DF,4,89.1,1,3,0.96,0.98
1831,Andrew Farrell,Major League Soccer,New England,DF,5,90.9,0,0,0.96,0.95
1832,Felipe,Major League Soccer,Austin,MF,3,24.1,1,2,0.99,1.29
1833,Omir Fernandez,Major League Soccer,NY Red Bulls,MF,2,47.1,2,3,1.06,0.8
1834,Jesus Ferreira,Major League Soccer,FC Dallas,FW,2,86.8,18,6,1.05,0.96
1835,Sebastián Ferreira,Major League Soccer,Houston Dynamo,FW,1,75.9,13,3,0.96,0.94
1836,Ethan Finlay,Major League Soccer,Austin,FW,2,59.7,5,5,1.03,0.89
1837,Oniel Fisher,Major League Soccer,Minnesota Utd,DF,4,20.6,0,0,0.85,1.24
1838,Leon Flach,Major League Soccer,Philadelphia,MF,3,89.7,0,2,0.97,1.0
1839,Edison Flores,Major League Soccer,D.C. United,MF,2,27.1,1,0,1.17,0.85
1840,Andreu Fontàs,Major League Soccer,Sporting KC,DF,5,79.7,2,0,1.04,0.99
1841,Kortne Ford,Major League Soccer,Sporting KC,DF,5,26.5,0,0,0.8,0.99
1842,Taxiarchis Fountas,Major League Soccer,D.C. United,MF,2,47.9,12,1,1.15,1.06
1843,Franco Fragapane,Major League Soccer,Minnesota Utd,FW,2,65.9,7,2,0.99,1.06
1844,Alan Franco,Major League Soccer,Atlanta Utd,DF,5,88.8,1,2,0.98,1.0
1845,Alan Franco,Major League Soccer,Charlotte,MF,3,25.6,0,1,0.79,1.22
1846,Christian Fuchs,Major League Soccer,Charlotte,DF,5,63.5,3,0,0.86,1.09
1847,Ruben Gabrielsen,Major League Soccer,Austin,DF,5,89.4,2,1,0.92,1.01
1848,Ray Gaddis,Major League Soccer,FC Cincinnati,DF,4,37.1,0,0,0.95,1.03
1849,McKinze Gaines,Major League Soccer,Charlotte,MF,2,35.0,1,4,1.15,1.04
1850,Jon Gallagher,Major League Soccer,Austin,DF,4,69.4,1,4,0.91,1.01
1851,Chase Gasper,Major League Soccer,LA Galaxy,DF,4,27.4,0,0,0.88,1.26
1852,Ryan Gauld,Major League Soccer,Vancouver,MF,2,73.2,8,5,1.04,1.05
1853,Dániel Gazdag,Major League Soccer,Philadelphia,MF,2,95.6,22,6,0.95,1.01
1854,Kieran Gibbs,Major League Soccer,Inter Miami,DF,4,20.9,0,0,0.89,0.96
1855,Carles Gil,Major League Soccer,New England,MF,2,95.0,7,9,1.03,1.01
1856,Gastón Giménez,Major League Soccer,Chicago Fire,MF,3,55.3,0,2,1.07,0.91
1857,Justen Glad,Major League Soccer,Real Salt Lake,DF,5,75.3,3,0,1.07,0.81
1858,Jakob Glesnes,Major League Soccer,Philadelphia,DF,5,100.0,0,2,1.0,1.0
1859,Marcus Godinho,Major League Soccer,Vancouver,DF,4,33.2,0,0,1.04,0.95
1860,Aníbal Godoy,Major League Soccer,Nashville,MF,3,30.9,1,2,0.84,0.94
1861,Eulânio Ângelo Chipela Gomes,Major League Soccer,FC Dallas,DF,4,38.8,0,2,0.91,1.0
1862,Yeimar Gómez Andrade,Major League Soccer,Seattle,DF,5,75.6,1,0,0.92,0.99
1863,Omar Gonzalez,Major League Soccer,New England,DF,5,25.0,0,0,1.2,0.94
1864,Samuel Grandsir,Major League Soccer,LA Galaxy,FW,2,52.6,3,5,1.04,0.88
1865,Tayvon Gray,Major League Soccer,NYCFC,DF,4,61.5,0,1,1.01,0.89
1866,Gregore,Major League Soccer,Inter Miami,MF,3,88.2,0,2,0.93,0.99
1867,Ján Greguš,Major League Soccer,San Jose,MF,3,55.0,0,5,0.92,1.03
1868,Julian Gressel,Major League Soccer,D.C. United,DF,4,45.0,0,4,1.14,1.04
1869,Julian Gressel,Major League Soccer,Vancouver,MF,4,31.8,2,2,0.96,0.93
1870,Sami Guediri,Major League Soccer,D.C. United,DF,4,26.2,0,0,0.8,1.09
1871,Brian Gutiérrez,Major League Soccer,Chicago Fire,FW,2,53.5,2,5,1.05,1.0
1872,Felipe Gutiérrez,Major League Soccer,Colorado Rapids,MF,3,27.4,0,2,0.76,0.86
1873,Andrew Gutman,Major League Soccer,Atlanta Utd,DF,4,64.1,4,1,1.05,1.04
1874,Justin Haak,Major League Soccer,NYCFC,MF,3,25.0,0,0,0.72,1.26
1875,Teenage Hadebe,Major League Soccer,Houston Dynamo,DF,5,59.1,2,0,1.22,1.03
1876,Nick Hagglund,Major League Soccer,FC Cincinnati,DF,5,88.8,1,1,0.98,0.9
1877,Cameron Harper,Major League Soccer,NY Red Bulls,DF,2,25.0,2,2,0.91,1.47
1878,Nathan Harriel,Major League Soccer,Philadelphia,DF,4,57.6,1,1,0.9,1.09
1879,Héber,Major League Soccer,NYCFC,FW,1,32.9,8,0,0.93,1.16
1880,Matt Hedges,Major League Soccer,FC Dallas,DF,5,72.6,1,0,1.03,0.96
1881,Fabian Herbers,Major League Soccer,Chicago Fire,FW,2,35.3,1,1,0.81,0.71
1882,Felipe Hernandez,Major League Soccer,Sporting KC,MF,2,58.2,2,3,0.85,1.04
1883,Javier Hernández,Major League Soccer,LA Galaxy,FW,1,84.4,18,2,0.97,0.89
1884,Ronald Hernández,Major League Soccer,Atlanta Utd,DF,4,25.0,0,0,1.01,1.08
1885,Aaron Herrera,Major League Soccer,Real Salt Lake,DF,4,74.1,0,2,0.92,1.04
1886,Héctor Herrera,Major League Soccer,Houston Dynamo,MF,3,22.4,0,1,0.88,1.07
1887,Gonzalo Higuaín,Major League Soccer,Inter Miami,FW,2,57.1,16,3,0.99,1.02
1888,Brendan Hines-Ike,Major League Soccer,D.C. United,DF,5,55.0,0,0,1.15,0.93
1889,Bongokuhle Hlongwane,Major League Soccer,Minnesota Utd,FW,2,52.4,2,4,1.2,0.9
1890,Ryan Hollingshead,Major League Soccer,Los Angeles FC,DF,4,62.9,6,1,1.09,1.09
1891,Jackson Hopkins,Major League Soccer,D.C. United,MF,2,29.4,0,1,0.78,0.99
1892,Franco Ibarra,Major League Soccer,Atlanta Utd,MF,3,32.1,0,1,1.03,1.02
1893,Sebastien Ibeagha,Major League Soccer,Los Angeles FC,DF,5,38.8,0,0,0.8,1.27
1894,James Igbekeme,Major League Soccer,Columbus Crew,FW,2,29.4,0,0,0.88,0.86
1895,Lorenzo Insigne,Major League Soccer,Toronto FC,FW,2,30.3,6,2,1.21,0.62
1896,Nicolas Isimat-Mirin,Major League Soccer,Sporting KC,DF,5,74.4,0,0,1.0,1.04
1897,Stanislav Ivanov,Major League Soccer,Chicago Fire,FW,2,28.8,1,0,0.95,0.94
1898,Robin Jansson,Major League Soccer,Orlando City,DF,5,64.4,1,1,1.08,1.0
1899,Franco Jara,Major League Soccer,FC Dallas,FW,1,29.7,3,1,1.25,1.18
1900,Jesús Jiménez,Major League Soccer,Toronto FC,FW,1,76.5,9,3,0.98,0.99
1901,Alistair Johnston,Major League Soccer,CF Montréal,DF,4,86.5,4,4,1.02,0.97
1902,DeJuan Jones,Major League Soccer,New England,DF,4,89.4,1,5,0.99,0.99
1903,Derrick Jones,Major League Soccer,Charlotte,MF,3,30.9,1,0,1.19,0.85
1904,Juan José Sánchez,Major League Soccer,Atlanta Utd,DF,5,47.4,6,0,0.98,0.95
1905,Dejan Joveljić,Major League Soccer,LA Galaxy,FW,1,32.6,11,3,1.15,1.36
1906,Kamil Jóźwiak,Major League Soccer,Charlotte,FW,2,37.6,0,3,0.92,0.91
1907,Judson,Major League Soccer,San Jose,MF,3,21.5,0,0,0.81,0.96
1908,Florian Jungwirth,Major League Soccer,Vancouver,DF,5,27.9,0,0,0.99,1.1
1909,Brent Kallman,Major League Soccer,Minnesota Utd,DF,5,45.6,2,0,0.85,1.01
1910,Kei Kamara,Major League Soccer,CF Montréal,FW,1,50.9,9,7,0.99,1.05
1911,Ola Kamara,Major League Soccer,D.C. United,FW,1,48.8,9,1,1.02,1.11
1912,Wilfrid Kaptoum,Major League Soccer,New England,MF,3,34.7,1,0,0.96,0.9
1913,Ercan Kara,Major League Soccer,Orlando City,FW,1,57.9,11,3,1.08,0.86
1914,Mark-Anthony Kaye,Major League Soccer,Toronto FC,MF,3,20.6,0,1,0.71,1.01
1915,Mark-Anthony Kaye,Major League Soccer,Colorado Rapids,MF,3,41.8,3,1,0.96,0.85
1916,Deandre Kerr,Major League Soccer,Toronto FC,MF,1,42.6,3,0,1.01,1.02
1917,Henry Kessler,Major League Soccer,New England,DF,5,60.3,1,0,0.99,1.03
1918,Benjamin Kikanovic,Major League Soccer,San Jose,FW,1,44.7,6,3,0.98,1.03
1919,Patryk Klimala,Major League Soccer,NY Red Bulls,FW,1,53.5,5,3,1.05,0.69
1920,Žan Kolmanič,Major League Soccer,Austin,DF,4,35.0,0,2,1.23,0.92
1921,Ismaël Koné,Major League Soccer,CF Montréal,MF,3,51.8,2,4,0.91,1.22
1922,Yuya Kubo,Major League Soccer,FC Cincinnati,MF,3,44.1,1,1,1.01,0.98
1923,Lassi Lappalainen,Major League Soccer,CF Montréal,DF,2,62.9,3,5,1.09,0.87
1924,Jesús David Murillo Largacha,Major League Soccer,Los Angeles FC,DF,5,76.5,2,3,0.93,0.9
1925,Richie Laryea,Major League Soccer,Toronto FC,DF,4,28.2,0,3,1.25,0.85
1926,Ariel Lassiter,Major League Soccer,Inter Miami,FW,2,53.5,4,4,1.0,1.07
1927,Kemar Lawrence,Major League Soccer,Minnesota Utd,DF,4,75.3,1,2,1.03,1.02
1928,Randall Leal,Major League Soccer,Nashville,MF,2,69.4,2,5,1.01,0.96
1929,Brooks Lennon,Major League Soccer,Atlanta Utd,DF,4,66.5,2,6,1.09,0.99
1930,Jonathan Lewis,Major League Soccer,Colorado Rapids,FW,2,72.1,5,2,1.05,0.96
1931,Danny Leyva,Major League Soccer,Seattle,MF,3,31.2,0,1,0.79,0.98
1932,Nick Lima,Major League Soccer,Austin,DF,4,76.5,0,4,0.97,0.99
1933,Jaylin Lindsey,Major League Soccer,Charlotte,DF,4,54.4,0,1,0.96,1.1
1934,Sebastian Lletget,Major League Soccer,FC Dallas,MF,3,26.8,1,4,0.7,0.77
1935,Sebastian Lletget,Major League Soccer,New England,FW,2,47.4,2,4,0.98,0.96
1936,Robin Lod,Major League Soccer,Minnesota Utd,FW,2,81.5,6,2,1.07,0.96
1937,Nicolás Lodeiro,Major League Soccer,Seattle,MF,3,75.6,7,7,1.07,0.89
1938,Jasper Löffelsend,Major League Soccer,Real Salt Lake,MF,3,53.2,1,3,1.12,0.82
1939,Aaron Long,Major League Soccer,NY Red Bulls,DF,5,77.4,4,0,1.08,0.86
1940,Marcos López,Major League Soccer,San Jose,DF,4,45.3,1,0,1.05,1.1
1941,Marvin Loría,Major League Soccer,Portland Timbers,FW,2,26.2,2,1,1.13,0.96
1942,Daniel Lovitz,Major League Soccer,Nashville,DF,4,85.6,1,4,1.01,0.99
1943,Damion Lowe,Major League Soccer,Inter Miami,DF,5,77.9,1,1,1.08,0.98
1944,Adam Lundqvist,Major League Soccer,Houston Dynamo,DF,4,84.4,0,5,1.0,1.0
1945,Luquinhas,Major League Soccer,NY Red Bulls,MF,2,63.2,5,3,0.9,1.0
1946,Larrys Mabiala,Major League Soccer,Portland Timbers,DF,5,50.9,0,1,0.84,0.96
1947,Aimé Mabika,Major League Soccer,Inter Miami,DF,5,33.5,0,1,0.86,1.04
1948,Maciel,Major League Soccer,New England,MF,3,22.4,0,1,0.88,1.08
1949,Lukas MacNaughton,Major League Soccer,Toronto FC,DF,5,58.5,0,0,1.0,0.99
1950,Talles Magno,Major League Soccer,NYCFC,FW,2,84.7,7,8,1.0,0.94
1951,Jack Maher,Major League Soccer,Nashville,DF,5,60.6,2,0,1.01,0.95
1952,Christian Makoun,Major League Soccer,Charlotte,DF,5,27.9,0,0,0.97,1.31
1953,Paul Marie,Major League Soccer,San Jose,DF,4,73.2,1,1,0.9,1.0
1954,Jahkeele Marshall-Rutty,Major League Soccer,Toronto FC,DF,4,20.3,0,0,1.2,1.05
1955,Josef Martínez,Major League Soccer,Atlanta Utd,FW,1,47.9,9,4,0.91,1.07
1956,Thiago Martins,Major League Soccer,NYCFC,DF,5,70.3,0,1,1.0,0.94
1957,Chris Mavinga,Major League Soccer,Toronto FC,DF,5,48.8,0,0,1.11,0.88
1958,Max,Major League Soccer,Colorado Rapids,MF,3,29.4,0,1,1.06,0.82
1959,Olivier Mbaizo,Major League Soccer,Philadelphia,DF,4,42.6,0,2,1.15,0.89
1960,Dax McCarty,Major League Soccer,Nashville,MF,3,57.9,0,1,0.99,0.98
1961,Aiden McFadden,Major League Soccer,Atlanta Utd,DF,4,20.9,0,0,0.74,1.14
1962,Jack McGlynn,Major League Soccer,Philadelphia,MF,3,33.2,1,3,1.09,0.96
1963,Zac McGraw,Major League Soccer,Portland Timbers,DF,5,35.3,1,0,1.24,0.96
1964,Thomas McNamara,Major League Soccer,New England,MF,3,80.9,4,3,0.93,1.0
1965,Quinn McNeill,Major League Soccer,Charlotte,MF,2,21.8,1,1,1.03,1.02
1966,Christopher McVey,Major League Soccer,Inter Miami,DF,5,99.4,1,1,1.0,1.0
1967,Jimmy Medranda,Major League Soccer,Seattle,DF,4,21.2,0,2,1.08,1.21
1968,Jonathan Mensah,Major League Soccer,Columbus Crew,DF,5,84.1,2,1,1.04,0.97
1969,Justin Meram,Major League Soccer,Real Salt Lake,MF,2,74.4,3,6,0.99,0.98
1970,Matt Miazga,Major League Soccer,FC Cincinnati,DF,5,27.1,2,0,0.9,0.76
1971,Benji Michel,Major League Soccer,Orlando City,FW,1,49.1,1,0,1.01,1.13
1972,Djordje Mihailovic,Major League Soccer,CF Montréal,MF,2,65.3,9,4,1.0,0.98
1973,Matko Miljevic,Major League Soccer,CF Montréal,MF,2,22.6,1,1,1.02,1.3
1974,Eric Miller,Major League Soccer,Nashville,DF,4,43.8,0,0,0.92,0.83
1975,Kamal Miller,Major League Soccer,CF Montréal,DF,5,75.0,2,3,1.08,0.89
1976,Jamiro Monteiro,Major League Soccer,San Jose,MF,2,86.2,4,6,1.04,0.94
1977,Fredy Montero,Major League Soccer,Seattle,FW,2,42.1,4,1,1.03,0.95
1978,Shaquell Moore,Major League Soccer,Nashville,DF,4,29.1,0,1,1.07,1.23
1979,Joseph Mora,Major League Soccer,Charlotte,DF,4,56.2,0,0,0.94,0.98
1980,Alfredo Morales,Major League Soccer,NYCFC,MF,3,61.5,0,2,1.13,1.15
1981,Maximiliano Moralez,Major League Soccer,NYCFC,MF,3,68.5,2,6,0.96,1.01
1982,Steven Moreira,Major League Soccer,Columbus Crew,DF,4,90.9,1,5,1.01,1.01
1983,Junior Moreno,Major League Soccer,FC Cincinnati,MF,3,66.5,2,0,0.98,0.99
1984,Marcelino Moreno,Major League Soccer,Atlanta Utd,MF,2,57.6,2,5,1.08,1.03
1985,Santiago Moreno,Major League Soccer,Portland Timbers,FW,2,79.4,7,6,1.03,0.97
1986,Lewis Morgan,Major League Soccer,NY Red Bulls,FW,2,86.8,14,3,0.99,0.88
1987,Aidan Morris,Major League Soccer,Columbus Crew,MF,3,59.1,0,0,0.89,0.97
1988,Jordan Morris,Major League Soccer,Seattle,FW,1,75.6,7,2,1.04,0.94
1989,Ravel Morrison,Major League Soccer,D.C. United,MF,3,31.5,2,0,0.63,1.06
1990,Jean Mota,Major League Soccer,Inter Miami,MF,3,87.1,2,2,0.97,0.97
1991,João Moutinho,Major League Soccer,Orlando City,DF,4,80.3,2,1,1.04,1.0
1992,Chris Mueller,Major League Soccer,Chicago Fire,FW,2,64.1,4,5,1.06,1.05
1993,Hany Mukhtar,Major League Soccer,Nashville,FW,2,92.4,23,7,1.01,0.96
1994,Jake Mulraney,Major League Soccer,Orlando City,FW,2,23.8,0,0,0.82,0.73
1995,Ian Murphy,Major League Soccer,FC Cincinnati,DF,5,47.9,1,0,0.92,1.06
1996,Alex Muyl,Major League Soccer,Nashville,DF,4,65.9,2,2,1.0,0.94
1997,Darlington Nagbe,Major League Soccer,Columbus Crew,MF,3,99.1,3,0,1.01,0.98
