,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
405,406,Goran Pandev,mk MKD,"FW,MF",Genoa,38,1983,9.4,236,224,10,0,4,0,3,0,0,0,0,0,167,2,7,Matches
406,407,Ivor Pandur,hr CRO,GK,Hellas Verona,21,2000,3.0,68,50,18,3,0,0,0,0,0,0,0,0,52,0,0,Matches
407,408,Fabiano Parisi,it ITA,DF,Empoli,20,2000,16.4,777,598,174,14,1,4,43,159,1,0,0,0,585,5,12,Matches
408,409,Mario Pašalić,hr CRO,"MF,FW",Atalanta,26,1995,22.2,997,972,21,9,1,6,4,6,0,0,0,0,801,4,24,Matches
409,410,Patric,es ESP,DF,Lazio,28,1993,18.3,1452,1402,50,37,1,14,1,11,0,0,0,0,1353,0,1,Matches
410,411,Rui Patrício,pt POR,GK,Roma,33,1988,38.0,1081,744,332,110,0,1,0,0,0,0,0,0,831,5,1,Matches
411,412,Leonardo Pavoletti,it ITA,FW,Cagliari,32,1988,16.9,487,481,5,1,0,0,3,0,0,0,0,0,313,1,7,Matches
412,413,Pedro,es ESP,FW,Lazio,34,1987,22.6,936,907,27,3,3,9,31,13,1,0,0,0,785,2,14,Matches
413,414,João Pedro,it ITA,FW,Cagliari,29,1992,36.9,714,630,82,4,2,17,14,5,0,0,0,0,507,2,16,Matches
414,415,Gianluca Pegolo,it ITA,GK,Sassuolo,40,1981,1.0,34,23,11,3,0,0,0,0,0,0,0,0,28,0,0,Matches
415,416,Pietro Pellegri,it ITA,FW,Torino,20,2001,2.4,42,38,4,0,0,0,0,0,0,0,0,0,26,0,5,Matches
416,417,Pietro Pellegri,it ITA,FW,Milan,20,2001,1.5,19,17,2,0,0,0,0,0,0,0,0,0,12,0,1,Matches
417,418,Lorenzo Pellegrini,it ITA,MF,Roma,25,1996,25.4,1106,915,184,65,6,12,172,7,100,44,51,0,776,7,32,Matches
418,419,Luca Pellegrini,it ITA,DF,Juventus,22,1999,12.3,682,564,118,10,1,5,54,93,15,8,6,0,521,0,14,Matches
419,420,Federico Peluso,it ITA,DF,Sassuolo,37,1984,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
420,421,Gastón Pereiro,uy URU,"FW,MF",Cagliari,26,1995,10.8,372,331,40,12,1,2,40,8,16,5,4,1,237,1,12,Matches
421,422,Dor Peretz,il ISR,MF,Venezia,26,1995,6.5,234,222,10,7,0,1,2,3,0,0,0,0,175,2,11,Matches
422,423,Roberto Pereyra,ar ARG,"MF,FW",Udinese,30,1991,19.9,842,794,45,26,1,2,23,7,6,1,1,0,718,3,11,Matches
423,424,Carles Pérez,es ESP,"MF,FW",Roma,23,1998,6.2,244,221,23,1,1,0,19,7,15,10,2,0,205,0,6,Matches
424,425,Nehuén Pérez,ar ARG,DF,Udinese,21,2000,18.8,774,630,141,31,0,12,2,106,0,0,0,0,593,3,10,Matches
425,426,Mattia Perin,it ITA,GK,Juventus,28,1992,4.5,135,99,35,9,0,1,0,0,0,0,0,0,111,1,0,Matches
426,427,Ivan Perišić,hr CRO,DF,Inter,32,1989,31.3,1510,1307,196,6,2,17,150,189,1,0,1,0,1079,7,51,Matches
427,428,Diego Perotti,ar ARG,"MF,FW",Salernitana,33,1988,3.2,147,131,15,6,0,0,22,4,5,4,1,0,112,1,1,Matches
428,429,Mario Perrone,it ITA,DF,Salernitana,18,2003,0.2,10,8,2,0,0,0,0,2,0,0,0,0,7,0,0,Matches
429,430,Matteo Pessina,it ITA,"MF,FW",Atalanta,24,1997,16.0,880,853,22,17,1,1,10,1,0,0,0,0,718,5,30,Matches
430,431,Andrea Petagna,it ITA,FW,Napoli,26,1995,6.5,162,154,8,0,0,3,3,0,0,0,0,0,114,0,6,Matches
431,432,Giuseppe Pezzella,it ITA,"DF,MF",Atalanta,23,1997,11.9,658,541,112,4,0,0,37,108,0,0,0,0,508,5,23,Matches
432,433,Krzysztof Piątek,pl POL,FW,Fiorentina,26,1995,8.1,158,138,18,0,0,0,5,0,0,0,0,0,126,2,4,Matches
433,434,Roberto Piccoli,it ITA,FW,Genoa,20,2001,2.4,56,53,3,0,0,0,1,2,0,0,0,0,29,0,0,Matches
