,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
153,154,Mathieu Choiniere,ca CAN,"DF,MF",CF Montréal,22,1999,15.3,1,0,0,17,21,2,20,11,19,0,0,0,83,11,12,47.8,Matches
154,155,Léo Chú,br BRA,"FW,MF",Seattle,21,2000,9.1,1,0,0,14,9,1,33,6,12,0,0,0,32,4,5,44.4,Matches
155,156,Kadin Chung,ca CAN,DF,Toronto FC,23,1998,5.0,1,0,0,2,6,0,12,8,10,0,1,0,25,7,10,41.2,Matches
156,157,José Cifuentes,ec ECU,MF,Los Angeles FC,22,1999,26.1,8,0,0,40,16,0,46,19,33,0,0,0,184,25,29,46.3,Matches
157,158,Ronaldo Cisneros,mx MEX,FW,Atlanta Utd,25,1997,19.2,1,0,0,9,4,14,8,3,1,0,0,0,28,12,32,27.3,Matches
158,159,Abdoulaye Cissoko,fr FRA,DF,Seattle,22,1999,4.5,0,0,0,5,4,0,0,8,5,0,0,0,31,4,7,36.4,Matches
159,160,Caden Clark,us USA,"FW,MF",NY Red Bulls,18,2003,5.4,2,0,0,19,7,2,2,3,12,0,0,0,17,5,12,29.4,Matches
160,161,Steve Clark,us USA,GK,Houston Dynamo,35,1986,32.3,2,0,0,2,6,0,0,0,1,0,2,0,36,7,1,87.5,Matches
161,162,Stefan Cleveland,us USA,GK,Seattle,27,1994,7.0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,100.0,Matches
162,163,Jackson Conway,us USA,"FW,MF",Atlanta Utd,20,2001,0.4,1,0,0,2,1,0,0,0,0,0,0,0,0,1,4,20.0,Matches
163,164,Gabriele Corbo,it ITA,DF,CF Montréal,22,2000,12.6,3,0,0,11,3,0,6,13,14,0,0,0,66,12,10,54.5,Matches
164,165,Sergio Córdova,ve VEN,"FW,MF",Real Salt Lake,24,1997,25.3,2,0,0,29,45,16,13,5,16,1,0,0,51,63,89,41.4,Matches
165,166,Carlos Coronel,br BRA,GK,NY Red Bulls,25,1996,33.0,2,0,0,0,1,0,0,0,0,0,0,0,47,13,0,100.0,Matches
166,167,Washington Corozo,ec ECU,"MF,FW",Austin,23,1998,0.6,0,0,0,1,0,2,3,0,1,0,0,0,0,1,0,100.0,Matches
167,168,Guzmán Corujo,uy URU,DF,Charlotte,25,1996,22.9,4,0,0,21,18,0,1,40,26,0,0,0,115,34,35,49.3,Matches
168,169,Douglas Costa,br BRA,"MF,FW",LA Galaxy,31,1990,15.6,3,2,0,24,16,4,82,3,3,0,0,0,60,5,9,35.7,Matches
169,170,Séga Coulibaly,fr FRA,DF,LA Galaxy,25,1996,23.9,8,0,0,28,24,1,1,28,21,0,0,0,143,27,18,60.0,Matches
170,171,Cade Cowell,us USA,"FW,MF",San Jose,18,2003,17.3,2,0,0,18,6,2,27,7,11,0,0,0,63,7,23,23.3,Matches
171,172,Brandan Craig,us USA,MF,Philadelphia,17,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
172,173,Maxime Crépeau,ca CAN,GK,Los Angeles FC,27,1994,33.0,3,0,0,1,3,0,0,2,0,0,0,0,38,8,1,88.9,Matches
173,174,Domenico Criscito,it ITA,DF,Toronto FC,35,1986,13.2,4,0,0,9,23,0,40,23,22,0,0,0,90,10,4,71.4,Matches
174,175,Daniel Crisostomo,us USA,MF,Los Angeles FC,25,1997,0.3,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
175,176,Cody Cropper,us USA,GK,Vancouver,28,1993,13.7,1,0,0,1,1,0,0,0,0,0,1,0,8,3,1,75.0,Matches
176,177,Allan Cruz,cr CRC,MF,FC Cincinnati,25,1996,4.5,4,1,1,11,2,0,6,8,9,0,0,0,14,4,7,36.4,Matches
177,178,Adrián Cubas,py PAR,MF,Vancouver,25,1996,15.0,2,0,0,34,5,0,3,30,38,,,0,,,,,Matches
178,179,Cucho,co COL,FW,Columbus Crew,22,1999,14.4,3,0,0,12,24,2,11,1,7,0,0,0,45,26,45,36.6,Matches
