,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
139,140,Rodolfo Cota,mx MEX,GK,León,34,1987,31.0,1030,940,1027,3,0,0,1030,3,4,75.0,4,0,312,0,Matches
140,141,Aldo Cruz,mx MEX,"DF,MF",UANL,23,1997,1.9,104,5,21,45,39,4,104,0,5,0.0,7,2,54,7,Matches
141,142,Alessio da Cruz,cv CPV,"FW,MF",Santos,24,1997,6.3,259,0,14,116,131,23,259,16,24,66.7,20,14,194,31,Matches
142,143,Jorge Daniel Hernández,mx MEX,MF,Pachuca,32,1989,8.6,484,18,96,359,34,0,484,2,5,40.0,6,2,288,8,Matches
143,144,Jorge Daniel Hernández,mx MEX,MF,Querétaro,32,1989,14.3,749,26,139,565,48,4,749,2,8,25.0,6,2,482,8,Matches
144,145,Juan David Castro,mx MEX,"MF,DF",Atlético,29,1991,7.4,309,7,58,157,100,4,309,6,10,60.0,16,8,180,16,Matches
145,146,José David Ramírez,mx MEX,DF,León,25,1995,19.5,1132,38,300,600,249,24,1132,28,42,66.7,31,12,709,49,Matches
146,147,Víctor Dávila,cl CHI,"FW,MF",León,23,1997,25.1,940,24,63,480,413,91,939,18,40,45.0,49,20,747,122,Matches
147,148,Diego De Buen,mx MEX,"DF,MF",Puebla,30,1991,22.8,1298,182,634,544,130,23,1296,14,19,73.7,17,9,649,8,Matches
148,149,Everardo Del Villar,,,Toluca,16,2005,0.6,,,,,,,,,,,,,,,Matches
149,150,Benny Díaz,mx MEX,GK,Tijuana,22,1998,2.0,63,50,62,1,0,0,63,0,0,,0,0,22,0,Matches
150,151,Nicolás Díaz Huincales,cl CHI,DF,Mazatlán,22,1999,24.6,1275,99,494,599,192,14,1275,10,17,58.8,33,15,639,20,Matches
151,152,Jair Díaz,mx MEX,DF,Atlético,22,1998,21.6,943,82,410,433,112,9,943,6,15,40.0,8,13,421,10,Matches
152,153,Jonathan Díaz,mx MEX,DF,Santos,22,1999,1.6,104,2,23,61,21,0,104,0,0,,1,1,50,0,Matches
153,154,Ricardo Díaz,mx MEX,GK,Querétaro,25,1995,1.1,40,35,40,0,0,0,40,0,0,,0,0,14,0,Matches
154,155,Diego,br BRA,"DF,MF",Toluca,33,1988,11.3,652,38,206,340,113,9,652,5,9,55.6,8,4,374,12,Matches
155,156,Diogo,br BRA,"FW,MF",UNAM,24,1996,13.2,435,11,45,179,220,54,435,15,25,60.0,47,13,310,86,Matches
156,157,José Doldán,py PAR,DF,Querétaro,24,1997,7.5,392,40,216,171,7,2,392,4,6,66.7,6,3,221,1,Matches
157,158,Idekel Domínguez,mx MEX,DF,Necaxa,21,2000,14.7,837,51,256,438,153,10,837,5,11,45.5,14,9,396,15,Matches
158,159,Julio Domínguez,mx MEX,DF,Cruz Azul,33,1987,27.8,1550,139,754,739,68,11,1550,7,9,77.8,9,8,1012,5,Matches
159,160,Misael Domínguez,mx MEX,"MF,FW",Tijuana,21,1999,6.8,309,3,33,146,142,9,309,16,35,45.7,19,12,236,32,Matches
160,161,Dória,br BRA,DF,Santos,26,1994,31.0,1359,187,706,599,63,18,1359,3,4,75.0,10,3,664,3,Matches
161,162,Jonathan dos Santos,mx MEX,MF,América,31,1990,2.3,158,2,28,103,29,1,158,0,1,0.0,2,1,100,3,Matches
162,163,Jesús Dueñas,mx MEX,"DF,MF",UANL,32,1989,14.3,857,23,183,450,231,20,857,4,12,33.3,11,1,545,43,Matches
163,164,Jhon Duque Arias,co COL,"MF,FW",Atlético,29,1992,2.8,108,4,22,59,30,5,108,0,0,,5,5,49,7,Matches
164,165,Jonathan David dos Santos Duré,uy URU,FW,Querétaro,29,1992,11.1,315,17,30,126,161,59,314,3,6,50.0,23,10,215,47,Matches
165,166,Jorge Eduardo Sánchez,mx MEX,DF,América,23,1997,21.6,1353,50,381,628,363,28,1353,31,61,50.8,36,21,796,39,Matches
166,167,Francisco Eduardo Venegas,mx MEX,DF,UANL,23,1998,1.9,129,6,40,55,35,3,129,0,1,0.0,5,0,77,5,Matches
167,168,Jesús Eduardo Zavala,mx MEX,"DF,MF",Mazatlán,34,1987,5.0,202,41,121,79,4,3,202,0,0,,2,0,98,0,Matches
168,169,Alfonso Emilio Sánchez,mx MEX,MF,Mazatlán,27,1994,12.4,555,12,123,327,116,7,555,7,23,30.4,26,8,340,25,Matches
169,170,José Enrique Angulo,ec ECU,FW,Querétaro,26,1995,10.6,209,9,11,77,125,35,209,9,15,60.0,37,13,157,46,Matches
170,171,Luis Enrique Quiñones,co COL,"MF,FW",UANL,30,1991,24.2,1445,8,96,660,707,81,1445,52,93,55.9,72,42,1099,174,Matches
171,172,Carlos Ernesto Cisneros,mx MEX,"DF,MF",Guadalajara,27,1993,16.4,878,43,222,381,286,24,878,20,39,51.3,30,20,477,61,Matches
172,173,Kevin Escamilla,mx MEX,MF,Querétaro,27,1994,22.7,952,47,203,578,180,17,952,10,16,62.5,22,21,553,31,Matches
173,174,Juan Escobar,py PAR,DF,Cruz Azul,26,1995,23.7,1265,87,411,556,311,50,1264,12,22,54.5,39,20,716,58,Matches
174,175,Alonso Escoboza,mx MEX,"MF,DF",Necaxa,28,1993,18.9,891,22,151,383,367,35,891,14,27,51.9,26,5,517,69,Matches
175,176,Amaury Escoto,mx MEX,"FW,MF",Puebla,28,1992,4.3,152,5,28,65,63,16,152,3,5,60.0,12,1,83,11,Matches
176,177,José Espino,mx MEX,"MF,FW",Querétaro,20,2000,1.0,24,0,1,10,13,5,24,0,1,0.0,6,1,17,6,Matches
177,178,Michael Estrada,ec ECU,FW,Toluca,25,1996,5.6,166,3,6,73,94,25,166,9,22,40.9,21,6,118,28,Matches
