,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
673,674,Andre Reynolds II,us USA,"FW,DF",Chicago Fire,20,2001,12,404,34,13.2,4.5,4,65,0,8,18,10,1.00,4,7,-3,-0.67,-0.47,5.3,7.2,-1.9,-0.42,-0.48,Matches
674,675,Emanuel Reynoso,ar ARG,"MF,FW",Minnesota Utd,26,1995,29,2517,87,82.3,28.0,29,87,18,0,,0,1.53,40,37,+3,+0.11,+1.10,38.1,38.2,-0.1,0.00,+0.48,Matches
675,676,Spencer Richey,us USA,GK,Chicago Fire,29,1992,1,90,90,2.9,1.0,1,90,1,0,,27,3.00,3,2,+1,+1.00,+1.30,1.6,2.5,-0.9,-0.85,-0.88,Matches
676,677,Will Richmond,us USA,"MF,FW",San Jose,21,2000,2,45,23,1.5,0.5,0,,0,2,23,9,0.00,0,0,0,0.00,+0.51,0.1,0.4,-0.3,-0.59,-0.12,Matches
677,678,Tosaint Ricketts,ca CAN,"FW,DF",Vancouver,34,1987,23,450,20,14.7,5.0,2,90,2,21,13,9,1.22,11,9,+2,+0.40,+1.06,7.9,8.6,-0.7,-0.13,+0.25,Matches
678,679,Emiliano Rigoni,ar ARG,FW,Austin,28,1993,7,283,40,9.2,3.1,3,58,0,4,28,0,0.90,2,7,-5,-1.59,-2.27,4.4,5.2,-0.8,-0.27,-0.24,Matches
679,680,Alexander Ring,fi FIN,MF,Austin,30,1991,34,2780,82,90.8,30.9,32,85,23,2,35,0,1.62,59,45,+14,+0.45,-0.19,46.0,47.6,-1.6,-0.05,-0.01,Matches
680,681,Rocco Ríos Novo,ar ARG,GK,Atlanta Utd,19,2002,16,1395,87,45.6,15.5,15,90,15,1,45,10,1.06,21,27,-6,-0.39,-0.39,23.7,22.2,+1.4,+0.09,-0.13,Matches
681,682,Damien Rivera,us USA,"FW,MF",New England,19,2002,13,417,32,13.6,4.6,4,66,0,9,17,12,1.23,7,7,0,0.00,+0.10,6.0,6.0,+0.1,+0.01,+0.32,Matches
682,683,Nigel Robertha,nl NED,"FW,MF",D.C. United,23,1998,17,715,42,23.4,7.9,5,71,2,12,30,1,0.47,9,18,-9,-1.13,-0.13,11.1,13.6,-2.5,-0.31,+0.38,Matches
683,684,Thomas Roberts,us USA,MF,FC Dallas,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
684,685,Miles Robinson,us USA,DF,Atlanta Utd,24,1997,9,659,73,21.5,7.3,8,80,6,1,17,0,1.22,10,12,-2,-0.27,-0.12,11.1,12.0,-0.9,-0.12,-0.37,Matches
685,686,Robbie Robinson,us USA,"FW,MF",Inter Miami,23,1998,8,485,61,15.8,5.4,6,72,1,2,26,0,1.88,7,7,0,0.00,+0.31,6.5,8.8,-2.3,-0.43,-0.28,Matches
686,687,Harrison Robledo,us USA,"MF,DF",FC Cincinnati,19,2002,2,46,23,1.5,0.5,0,,0,2,23,19,0.00,0,3,-3,-5.87,-6.20,1.2,1.7,-0.5,-1.02,-1.25,Matches
687,688,Rodrigues,br BRA,DF,San Jose,24,1997,7,622,89,20.3,6.9,7,89,6,0,,0,1.14,10,14,-4,-0.58,-0.10,8.7,10.9,-2.2,-0.32,+0.18,Matches
