,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
65,66,Jake Bidwell,eng ENG,DF,Coventry City,28,1993,12.6,9,0.71,6,0,0,2,0,1,1,0.08,0,0,0,0,0,1,Matches
66,67,Jake Bidwell,eng ENG,DF,Swansea City,28,1993,15.1,17,1.12,14,1,0,1,1,0,1,0.07,1,0,0,0,0,0,Matches
67,68,Krystian Bielik,pl POL,MF,Derby County,23,1998,11.1,18,1.62,13,0,1,1,1,2,3,0.27,2,0,0,0,1,0,Matches
68,69,Philip Billing,dk DEN,MF,Bournemouth,25,1996,36.7,82,2.23,63,2,5,6,2,4,13,0.35,10,2,1,0,0,0,Matches
69,70,Max Bird,eng ENG,MF,Derby County,20,2000,40.2,88,2.19,56,20,2,4,3,3,4,0.10,2,1,0,0,0,1,Matches
70,71,Jamal Blackman,eng ENG,GK,Huddersfield,27,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
71,72,Jayden Bogle,eng ENG,DF,Sheffield Utd,21,2000,16.3,38,2.33,31,0,1,4,2,0,3,0.18,2,0,0,1,0,0,Matches
72,73,Marc Bola,eng ENG,DF,Middlesbrough,23,1997,19.6,42,2.15,35,2,2,1,2,0,4,0.20,4,0,0,0,0,0,Matches
73,74,Gaëtan Bong,cm CMR,"DF,MF",Nott'ham Forest,33,1988,4.9,7,1.42,5,1,0,0,0,1,1,0.20,1,0,0,0,0,0,Matches
74,75,Jack Bonham,ie IRL,GK,Stoke City,27,1993,15.0,2,0.13,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
75,76,Sam Bowen,wls WAL,MF,Cardiff City,20,2001,2.7,11,4.06,8,0,0,3,0,0,0,0.00,0,0,0,0,0,0,Matches
76,77,Josh Bowler,eng ENG,MF,Blackpool,22,1999,31.4,110,3.51,57,13,20,8,8,4,9,0.29,5,0,2,1,1,0,Matches
77,78,Caolan Boyd-Munce,nir NIR,DF,Middlesbrough,21,2000,0.2,1,4.09,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
78,79,Sonny Bradley,eng ENG,DF,Luton Town,29,1991,19.7,16,0.81,12,0,0,3,0,1,2,0.10,2,0,0,0,0,0,Matches
79,80,Tom Bradshaw,wls WAL,"FW,MF",Millwall,29,1992,15.0,27,1.80,15,0,2,6,4,0,3,0.20,2,0,1,0,0,0,Matches
80,81,Robbie Brady,ie IRL,"DF,FW",Bournemouth,29,1992,2.2,5,2.32,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
81,82,James Bree,eng ENG,"DF,FW",Luton Town,23,1997,41.4,118,2.85,69,42,1,2,3,1,10,0.24,6,4,0,0,0,0,Matches
82,83,David Bremang,eng ENG,"DF,MF",Barnsley,21,2000,0.4,1,2.31,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
83,84,Ben Brereton,cl CHI,FW,Blackburn,22,1999,34.1,65,1.91,41,0,8,8,7,1,17,0.50,7,0,2,5,3,0,Matches
84,85,Rhian Brewster,eng ENG,FW,Sheffield Utd,21,2000,8.9,18,2.04,13,0,0,0,5,0,1,0.11,0,0,0,0,1,0,Matches
85,86,Ethan Bristow,eng ENG,"DF,FW",Reading,19,2001,5.5,11,2.00,10,0,0,1,0,0,2,0.36,2,0,0,0,0,0,Matches
86,87,Callum Brittain,eng ENG,"DF,MF",Barnsley,23,1998,34.1,66,1.93,51,4,4,5,1,1,5,0.15,2,1,0,1,1,0,Matches
87,88,David Brooks,wls WAL,"FW,MF",Bournemouth,24,1997,5.6,17,3.06,12,1,4,0,0,0,2,0.36,2,0,0,0,0,0,Matches
88,89,Ciaron Brown,nir NIR,DF,Cardiff City,23,1998,4.7,3,0.64,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
89,90,Jacob Brown,sct SCO,FW,Stoke City,23,1998,36.1,63,1.75,38,0,5,12,7,1,12,0.33,6,0,1,2,3,0,Matches
90,91,James Brown,ie IRL,DF,Blackburn,23,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
91,92,Reece Brown,eng ENG,MF,P'borough Utd,25,1996,5.0,10,1.99,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
92,93,Alan Browne,ie IRL,MF,Preston,26,1995,35.7,103,2.89,76,2,5,10,9,1,12,0.34,8,1,0,3,0,0,Matches
93,94,Joe Bryan,eng ENG,DF,Fulham,27,1993,11.6,21,1.81,17,0,1,0,3,0,3,0.26,3,0,0,0,0,0,Matches
94,95,Kean Bryan,eng ENG,"DF,FW",West Brom,24,1996,0.5,1,1.84,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
95,96,Lee Buchanan,eng ENG,DF,Derby County,20,2001,24.7,27,1.10,18,1,0,3,3,2,3,0.12,2,0,0,1,0,0,Matches
96,97,John Buckley,eng ENG,"MF,FW",Blackburn,21,1999,34.8,107,3.07,68,8,6,8,10,7,8,0.23,7,1,0,0,0,0,Matches
