,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
84,85,Leonardo Buta,pt POR,DF,Braga,19,2002,1.5,1,0,0,2,3,0,4,4,0,0,0,0,13,0,2,0.0,Matches
85,86,Adrián Butzke,es ESP,FW,Paços,22,1999,6.4,3,0,0,11,9,2,2,1,1,0,0,0,9,19,18,51.4,Matches
86,87,Jovane Cabral,cv CPV,"MF,FW",Sporting CP,23,1998,3.8,1,0,0,8,6,0,11,1,2,1,0,0,12,2,6,25.0,Matches
87,88,Paulo Henrique Rodrigues Cabral,pt POR,DF,Santa Clara,24,1996,13.9,5,0,0,28,28,0,17,11,5,0,0,0,61,37,25,59.7,Matches
88,89,Jhonder Cádiz,ve VEN,"FW,DF",Famalicão,26,1995,5.0,2,0,0,12,14,5,3,2,3,0,0,0,10,27,20,57.4,Matches
89,90,João Caiado,pt POR,FW,Gil Vicente FC,22,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
90,91,Juan Calero,co COL,FW,Gil Vicente FC,22,1998,1.6,0,0,0,5,0,3,0,1,0,0,0,0,5,3,1,75.0,Matches
91,92,Diogo Calila,pt POR,"DF,MF",B-SAD,22,1998,21.3,9,1,0,39,29,2,82,17,16,0,1,0,111,15,23,39.5,Matches
92,93,Rafael Camacho,pt POR,"FW,MF",B-SAD,21,2000,9.8,1,0,0,4,20,2,23,2,7,0,0,0,39,7,6,53.8,Matches
93,94,Abel Camará,gw GNB,FW,B-SAD,31,1990,17.3,4,2,0,27,44,23,18,8,12,0,0,0,42,44,75,37.0,Matches
94,95,Ibrahima Camará,gn GUI,MF,Moreirense,22,1999,18.9,8,0,0,40,22,1,59,12,16,0,0,0,141,31,24,56.4,Matches
95,96,Gastón Campi,ar ARG,DF,Arouca,30,1991,4.0,3,0,0,8,1,1,0,8,3,0,0,0,12,9,6,60.0,Matches
96,97,Fali Candé,gw GNB,DF,Portimonense,23,1998,14.6,5,0,0,19,28,1,70,5,20,0,0,0,67,60,35,63.2,Matches
97,98,Francis Cann,gh GHA,"FW,MF",FC Vizela,23,1998,2.4,0,0,0,5,6,2,7,3,3,0,0,0,13,1,3,25.0,Matches
98,99,Reggie Cannon,us USA,DF,Boavista,23,1998,19.0,4,1,0,17,23,0,11,37,30,0,0,0,96,17,15,53.1,Matches
99,100,Fábio Cardoso,pt POR,DF,Porto,27,1994,12.0,3,0,0,12,3,0,0,10,4,0,0,0,41,18,30,37.5,Matches
100,101,Carlinhos,br BRA,MF,Portimonense,27,1994,25.4,7,0,0,32,37,1,75,16,24,0,0,0,189,14,19,42.4,Matches
101,102,Carlos,br BRA,FW,Santa Clara,25,1995,2.0,1,0,0,1,7,4,3,0,2,0,1,0,5,6,6,50.0,Matches
102,103,José Carlos,pt POR,DF,Gil Vicente FC,23,1998,27.3,7,0,0,20,53,3,65,41,35,0,3,0,160,43,32,57.3,Matches
103,104,Luíz Carlos,br BRA,MF,Paços,36,1985,28.9,11,1,1,68,53,0,17,28,49,1,1,0,214,21,28,42.9,Matches
104,105,João Carlos Teixeira,pt POR,"FW,MF",Famalicão,28,1993,8.8,2,0,0,12,21,1,11,4,3,0,0,0,48,2,6,25.0,Matches
105,106,David Carmo,pt POR,DF,Braga,22,1999,11.0,3,1,0,9,2,1,1,13,4,0,0,1,67,30,17,63.8,Matches
106,107,Carraça,pt POR,"DF,MF",B-SAD,28,1993,24.5,11,0,0,33,37,1,157,27,28,0,0,0,133,19,25,43.2,Matches
107,108,Anderson Carvalho,br BRA,MF,Santa Clara,31,1990,21.1,10,0,0,35,39,0,9,42,40,0,0,0,117,11,15,42.3,Matches
108,109,Duarte Carvalho,pt POR,MF,Estoril,19,2002,0.2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,100.0,Matches
109,110,Martim Carvalho,pt POR,MF,Benfica,18,2003,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
110,111,Vitor Carvalho,br BRA,MF,Gil Vicente FC,24,1997,24.8,9,1,0,62,31,0,1,33,28,0,1,0,153,74,41,64.3,Matches
111,112,Cassiano,br BRA,FW,FC Vizela,32,1989,17.7,6,1,0,41,36,18,19,5,10,0,0,0,31,56,69,44.8,Matches
112,113,Mateo Cassierra,co COL,FW,B-SAD,24,1997,1.9,0,0,0,1,1,1,0,0,2,0,0,0,7,2,4,33.3,Matches
113,114,Moises Castillo,co COL,"DF,FW",Marítimo,20,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
114,115,André Castro,pt POR,MF,Braga,33,1988,12.8,4,0,0,30,9,0,5,10,11,0,0,0,78,23,28,45.1,Matches
115,116,Tomás Castro,pt POR,MF,B-SAD,22,1999,0.6,0,0,0,2,0,0,3,0,3,0,0,0,3,3,1,75.0,Matches
116,117,Geny Catamo,mz MOZ,DF,Sporting CP,20,2001,0.3,0,0,0,1,2,0,1,1,0,0,0,0,4,2,0,100.0,Matches
117,118,Geny Catamo,mz MOZ,"FW,MF",Vitória,20,2001,2.5,0,0,0,7,8,0,5,0,1,0,0,0,10,0,0,,Matches
118,119,Charles,br BRA,GK,FC Vizela,27,1994,14.0,1,0,0,1,6,0,0,1,0,0,0,0,12,2,0,100.0,Matches
119,120,Francisco Chico,pt POR,"MF,FW",B-SAD,23,1998,6.1,1,0,0,12,14,0,33,5,4,0,0,0,29,5,9,35.7,Matches
120,121,Fábio China,pt POR,DF,Marítimo,29,1992,6.4,4,0,0,12,15,1,17,9,6,0,0,0,42,4,6,40.0,Matches
121,122,Chiquinho,pt POR,FW,Estoril,21,2000,9.3,5,0,0,25,34,4,39,5,16,2,1,0,39,9,18,33.3,Matches
122,123,Chiquinho,pt POR,"MF,FW",Braga,26,1995,2.3,0,0,0,3,4,1,3,1,0,0,0,0,12,1,3,25.0,Matches
123,124,André Clóvis,br BRA,FW,Estoril,23,1997,9.7,0,0,0,26,20,12,5,6,2,0,0,0,30,20,33,37.7,Matches
124,125,Sebastián Coates,uy URU,DF,Sporting CP,30,1990,29.3,9,1,1,27,17,1,0,42,28,0,0,0,172,94,37,71.8,Matches
125,126,Racine Coly,sn SEN,DF,Estoril,25,1995,1.9,1,0,0,3,3,0,4,0,1,0,0,0,4,1,2,33.3,Matches
126,127,Francisco Conceição,pt POR,"MF,FW",Porto,18,2002,5.5,1,0,0,10,14,0,12,1,7,0,0,0,28,2,5,28.6,Matches
127,128,Rodrigo Conceição,pt POR,"DF,MF",Moreirense,21,2000,4.3,2,1,0,8,7,0,32,3,9,0,0,0,18,4,11,26.7,Matches
128,129,Abdu Conté,pt POR,"DF,MF",Moreirense,23,1998,15.3,2,0,0,28,12,0,62,7,10,0,0,0,82,7,5,58.3,Matches
129,130,Jeriel Córdova,ve VEN,"FW,MF",Boavista,19,2002,2.3,6,0,0,20,8,2,1,0,4,0,0,0,9,9,8,52.9,Matches
130,131,Jesús Corona,mx MEX,"DF,MF",Porto,28,1993,4.3,1,0,0,6,3,0,18,7,1,0,0,0,27,5,5,50.0,Matches
131,132,Alexandre Manuel Penetra Correia,pt POR,DF,Famalicão,19,2001,28.9,6,2,1,30,12,0,14,68,29,0,1,1,122,39,36,52.0,Matches
132,133,Rui Filipe Cunha Correia,pt POR,MF,Santa Clara,26,1995,13.4,6,0,0,30,36,1,4,19,8,0,0,0,89,6,5,54.5,Matches
133,134,Bruno Xavier Almeida Costa,pt POR,"MF,DF",Porto,24,1997,7.5,4,0,0,19,12,0,17,8,8,0,0,0,41,5,4,55.6,Matches
134,135,Diogo Costa,pt POR,GK,Porto,21,1999,33.0,2,0,0,0,8,0,0,0,0,0,0,0,40,9,1,90.0,Matches
