,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
89,90,Latif Blessing,gh GHA,"MF,FW",Los Angeles FC,25,1996,14.8,758,27,126,386,259,38,758,24,40,60.0,39,28,454,59,Matches
90,91,Emmanuel Boateng,gh GHA,"FW,MF",New England,28,1994,11.1,519,8,58,190,278,46,519,11,18,61.1,27,6,383,66,Matches
91,92,Blake Bodily,us USA,"FW,DF",Portland Timbers,24,1998,0.2,12,0,1,7,4,0,12,0,0,,0,0,9,2,Matches
92,93,Isaac Boehmer,us USA,GK,Vancouver,20,2001,2.5,80,77,80,0,0,0,80,0,0,,0,0,16,0,Matches
93,94,Jonathan Bond,eng ENG,GK,LA Galaxy,28,1993,34.0,1291,1077,1284,8,0,0,1291,1,1,100.0,1,0,598,0,Matches
94,95,Pablo Bonilla,ve VEN,DF,Portland Timbers,22,1999,2.8,146,14,60,65,23,0,146,1,3,33.3,2,0,55,2,Matches
95,96,Alex Bono,us USA,GK,Toronto FC,27,1994,24.0,933,793,924,9,0,0,933,0,1,0.0,0,0,318,0,Matches
96,97,Jonathan Bornstein,us USA,"DF,MF",Chicago Fire,37,1984,13.3,628,33,197,290,143,16,628,1,4,25.0,23,8,349,23,Matches
97,98,Dylan Borrero,co COL,FW,New England,20,2002,6.7,275,3,34,121,126,26,275,12,24,50.0,13,9,204,39,Matches
98,99,Gustavo Bou,ar ARG,FW,New England,31,1990,17.8,690,5,39,235,424,85,689,26,43,60.5,54,22,484,125,Matches
99,100,Denis Bouanga,ga GAB,FW,Los Angeles FC,27,1994,5.5,280,6,46,94,146,45,280,15,36,41.7,15,11,187,44,Matches
100,101,Ousseni Bouda,bf BFA,"FW,MF",San Jose,21,2000,1.3,74,3,10,31,33,10,74,0,2,0.0,4,3,50,4,Matches
