,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
491,492,Henk Veerman,nl NED,FW,Heerenveen,28,1993,17.3,7,43,14,32.6,2.48,0.81,0.12,0.36,16.3,0,2,2,8.1,6.6,0.15,-1.1,-1.6,Matches
492,493,Henk Veerman,nl NED,"FW,MF",Utrecht,28,1993,4.6,1,15,5,33.3,3.27,1.09,0.07,0.20,9.6,0,0,0,2.9,2.9,0.19,-1.9,-1.9,Matches
493,494,Joey Veerman,nl NED,MF,Heerenveen,22,1998,16.9,3,16,7,43.8,0.95,0.41,0.19,0.43,23.2,2,0,0,0.8,0.8,0.05,+2.2,+2.2,Matches
494,495,Joey Veerman,nl NED,"MF,FW",PSV Eindhoven,22,1998,11.5,4,22,10,45.5,1.92,0.87,0.18,0.40,19.8,0,0,0,2.2,2.2,0.10,+1.8,+1.8,Matches
495,496,Calvin Verdonk,nl NED,"DF,MF",NEC Nijmegen,24,1997,10.7,1,7,3,42.9,0.65,0.28,0.14,0.33,24.5,0,0,0,0.3,0.3,0.04,+0.7,+0.7,Matches
496,497,Hobie Verhulst,nl NED,GK,AZ Alkmaar,28,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
497,498,Thibaud Verlinden,be BEL,FW,Fortuna Sittard,22,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
498,499,Michael Verrips,nl NED,GK,Fortuna Sittard,24,1996,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
499,500,Arno Verschueren,be BEL,MF,Sparta R'dam,24,1997,10.7,2,12,4,33.3,1.12,0.37,0.17,0.50,17.8,0,0,0,1.2,1.2,0.10,+0.8,+0.8,Matches
500,501,Yorbe Vertessen,be BEL,"FW,MF",PSV Eindhoven,20,2001,8.9,6,30,12,40.0,3.39,1.36,0.20,0.50,14.2,0,0,0,3.8,3.8,0.13,+2.2,+2.2,Matches
501,502,Javier Vet,nl NED,"MF,FW",NEC Nijmegen,27,1993,6.2,2,15,5,33.3,2.41,0.80,0.13,0.40,16.6,0,0,0,1.4,1.4,0.09,+0.6,+0.6,Matches
502,503,Nick Viergever,nl NED,DF,PSV Eindhoven,31,1989,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
503,504,Peter Vindahl Jensen,dk DEN,GK,AZ Alkmaar,23,1998,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
504,505,Carlos Vinícius,br BRA,FW,PSV Eindhoven,26,1995,12.3,6,37,15,40.5,3.01,1.22,0.16,0.40,11.1,0,0,0,8.2,8.2,0.22,-2.2,-2.2,Matches
505,506,Michel Vlap,nl NED,MF,Twente,24,1997,27.0,5,63,16,25.4,2.34,0.59,0.08,0.31,17.1,2,0,0,7.4,7.3,0.12,-2.4,-2.3,Matches
506,507,Rai Vloet,nl NED,MF,Heracles Almelo,26,1995,11.3,3,30,11,36.7,2.66,0.97,0.07,0.18,22.1,2,1,2,4.2,2.6,0.09,-1.2,-0.6,Matches
507,508,Siemen Voet,be BEL,DF,Zwolle,21,2000,13.8,0,2,0,0.0,0.14,0.00,0.00,,8.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
508,509,Dennis Vos,nl NED,DF,PSV Eindhoven,19,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
509,510,Bart Vriends,nl NED,DF,Sparta R'dam,30,1991,31.4,3,11,3,27.3,0.35,0.10,0.27,1.00,9.9,0,0,0,1.3,1.3,0.12,+1.7,+1.7,Matches
510,511,Patrick Vroegh,nl NED,MF,Vitesse,21,1999,7.3,0,8,2,25.0,1.10,0.28,0.00,0.00,15.5,0,0,0,0.9,0.9,0.12,-0.9,-0.9,Matches
511,512,Max de Waal,nl NED,"MF,FW",Zwolle,19,2002,1.8,0,2,1,50.0,1.09,0.55,0.00,0.00,7.6,0,0,0,0.6,0.6,0.32,-0.6,-0.6,Matches
512,513,Patrik Wålemark,se SWE,"FW,MF",Feyenoord,19,2001,4.2,1,9,3,33.3,2.15,0.72,0.11,0.33,17.2,0,0,0,1.9,1.9,0.21,-0.9,-0.9,Matches
513,514,Django Warmerdam,nl NED,DF,Utrecht,25,1995,21.4,1,9,2,22.2,0.42,0.09,0.11,0.50,20.3,0,0,0,1.0,1.0,0.11,0.0,0.0,Matches
514,515,Timon Wellenreuther,de GER,GK,Willem II,25,1995,31.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
515,516,Sai van Wermeskerken,jp JPN,"DF,MF",Zwolle,27,1994,3.1,0,7,1,14.3,2.27,0.32,0.00,0.00,23.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
516,517,Owen Wijndal,nl NED,DF,AZ Alkmaar,21,1999,29.8,1,24,5,20.8,0.81,0.17,0.04,0.20,18.7,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
517,518,Dani de Wit,nl NED,"MF,FW",AZ Alkmaar,23,1998,31.5,8,54,18,33.3,1.71,0.57,0.15,0.44,10.7,0,0,0,8.5,8.5,0.16,-0.5,-0.5,Matches
518,519,Mees de Wit,nl NED,"DF,FW",Zwolle,23,1998,25.8,4,22,9,40.9,0.85,0.35,0.18,0.44,20.1,0,0,0,1.7,1.7,0.08,+2.3,+2.3,Matches
