,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
114,115,Víctor Chust,es ESP,DF,Cádiz,21,2000,20.3,984,124,523,427,41,18,984,4,5,80.0,3,1,564,0,Matches
115,116,Jasper Cillessen,nl NED,GK,Valencia,32,1989,16.2,482,401,480,2,0,0,482,0,0,,0,0,178,0,Matches
116,117,Pathé Ciss,sn SEN,MF,Rayo Vallecano,27,1994,12.2,695,42,195,434,75,6,695,10,15,66.7,12,11,370,8,Matches
117,118,Carlos Clerc,es ESP,DF,Levante,29,1992,16.8,1023,51,373,458,207,15,1023,23,33,69.7,15,6,572,26,Matches
118,119,Coke,es ESP,DF,Levante,34,1987,1.3,85,8,40,25,22,3,85,2,3,66.7,1,0,39,1,Matches
119,120,Álex Collado,es ESP,"MF,FW",Granada,22,1999,11.3,543,13,82,239,232,18,543,14,38,36.8,29,19,307,27,Matches
120,121,Eray Cömert,ch SUI,DF,Valencia,23,1998,4.5,229,21,119,106,6,4,229,0,0,,3,0,143,1,Matches
121,122,Santi Comesaña,es ESP,MF,Rayo Vallecano,24,1996,29.8,1835,68,402,1137,325,58,1835,48,64,75.0,45,35,1175,45,Matches
122,123,Diego Conde,es ESP,GK,Getafe,22,1998,0.1,6,5,6,0,0,0,6,0,0,,0,0,2,0,Matches
123,124,Francis Coquelin,fr FRA,MF,Villarreal,30,1991,9.2,585,19,96,303,194,21,585,17,20,85.0,13,17,415,40,Matches
124,125,Jesús Corona,mx MEX,"FW,DF",Sevilla,28,1993,12.9,729,6,107,277,349,50,729,19,44,43.2,36,29,557,65,Matches
125,126,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,26,1995,20.6,888,6,85,338,476,127,888,32,55,58.2,73,48,669,129,Matches
126,127,Thierry Correia,pt POR,DF,Valencia,22,1999,15.7,824,38,276,317,237,13,824,11,22,50.0,28,8,380,32,Matches
127,128,Hélder Costa,ao ANG,"MF,FW",Valencia,27,1994,12.4,451,12,96,143,221,31,451,23,58,39.7,35,22,274,44,Matches
128,129,Jaume Costa,es ESP,DF,Mallorca,33,1988,20.3,1182,71,340,473,381,19,1182,9,14,64.3,15,6,606,51,Matches
129,130,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36.0,1203,1037,1197,6,0,0,1203,0,0,,1,0,659,0,Matches
130,131,Philippe Coutinho,br BRA,"MF,FW",Barcelona,29,1992,5.6,399,4,24,159,220,23,398,13,19,68.4,19,16,346,38,Matches
131,132,Cristo,es ESP,DF,Real Sociedad,21,2000,0.2,14,0,3,6,5,0,14,0,2,0.0,0,0,8,1,Matches
132,133,Juan Cruz Armada,es ESP,DF,Osasuna,29,1992,21.5,1091,97,457,576,70,6,1091,10,13,76.9,10,11,638,3,Matches
133,134,Marc Cucurella,es ESP,"MF,DF",Getafe,23,1998,0.3,25,0,2,7,18,2,25,1,1,100.0,0,0,14,2,Matches
134,135,Jorge Cuenca,es ESP,DF,Getafe,21,1999,29.8,1438,177,746,653,48,26,1438,3,6,50.0,14,3,713,3,Matches
135,136,Matheus Cunha,br BRA,FW,Atlético Madrid,22,1999,11.8,375,12,37,163,180,58,375,7,12,58.3,33,12,241,61,Matches
136,137,Sergi Darder,es ESP,MF,Espanyol,27,1993,34.7,2007,60,388,1187,463,39,2007,53,77,68.8,38,32,1525,55,Matches
