,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
83,84,David Bingham,us USA,GK,Portland Timbers,32,1989,2.0,31,71,43.7,1146,857,2,2,100.0,12,12,100.0,17,57,29.8,0,0.0,0.0,0.0,0,1,0,0,0,Matches
84,85,Steve Birnbaum,us USA,DF,D.C. United,31,1991,31.7,1148,1409,81.5,22188,8677,376,447,84.1,648,732,88.5,110,188,58.5,0,1.1,1.2,-1.1,10,49,2,0,60,Matches
85,86,Tyler Blackett,eng ENG,DF,FC Cincinnati,27,1994,14.9,543,679,80.0,10485,5040,210,233,90.1,254,285,89.1,72,139,51.8,1,1.2,0.7,-0.2,7,52,4,2,32,Matches
86,87,Tristan Blackmon,us USA,DF,Vancouver,25,1996,23.7,948,1186,79.9,19211,8560,288,332,86.7,532,594,89.6,120,236,50.8,0,0.1,0.7,-0.1,4,94,3,1,79,Matches
87,88,Andre Blake,jm JAM,GK,Philadelphia,31,1990,34.0,627,954,65.7,19310,15331,101,101,100.0,289,293,98.6,236,557,42.4,0,0.0,0.0,0.0,0,8,0,0,1,Matches
88,89,Sebastián Blanco,ar ARG,"FW,MF",Portland Timbers,33,1988,20.2,693,1039,66.7,12521,4909,308,385,80.0,266,358,74.3,96,220,43.6,7,5.4,5.2,+1.6,43,115,49,11,136,Matches
89,90,Latif Blessing,gh GHA,"MF,FW",Los Angeles FC,25,1996,14.8,463,558,83.0,6435,2331,274,314,87.3,151,175,86.3,14,23,60.9,1,1.5,1.5,-0.5,16,47,18,0,63,Matches
90,91,Emmanuel Boateng,gh GHA,"FW,MF",New England,28,1994,11.1,334,438,76.3,5429,1382,164,192,85.4,131,166,78.9,27,41,65.9,2,2.6,3.4,-0.6,28,15,21,11,24,Matches
91,92,Blake Bodily,us USA,"FW,DF",Portland Timbers,24,1998,0.2,12,12,100.0,176,16,7,7,100.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,0,Matches
92,93,Isaac Boehmer,us USA,GK,Vancouver,20,2001,2.5,51,76,67.1,1895,1503,7,7,100.0,17,17,100.0,27,51,52.9,0,0.0,0.0,0.0,0,3,0,0,0,Matches
