,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
336,337,Didier Lamkel Zé,cm CMR,FW,Metz,24,1996,6.7,263,6,18,132,117,30,263,8,15,53.3,30,23,222,61,Matches
337,338,Julien Laporte,fr FRA,DF,Lorient,27,1993,32.1,1821,256,1032,750,48,24,1821,5,7,71.4,6,2,1073,2,Matches
338,339,Yasser Larouci,dz ALG,DF,Troyes,20,2001,3.8,212,3,48,95,74,6,212,8,21,38.1,8,3,129,6,Matches
339,340,Paul Lasne,fr FRA,MF,Brest,32,1989,9.4,522,20,103,319,101,8,522,6,8,75.0,9,10,345,9,Matches
340,341,Armand Lauriente,fr FRA,"FW,MF",Lorient,22,1998,27.5,1043,8,81,457,526,89,1042,44,92,47.8,98,52,747,159,Matches
341,342,Théo Le Bris,fr FRA,MF,Lorient,18,2002,0.7,26,1,7,16,3,0,26,0,0,,2,1,12,1,Matches
342,343,Jérémy Le Douaron,fr FRA,"FW,MF",Brest,23,1998,16.1,523,14,50,204,277,55,523,9,36,25.0,69,32,373,102,Matches
343,344,Enzo Le Fée,fr FRA,"MF,FW",Lorient,21,2000,24.4,1548,31,259,822,491,23,1548,43,94,45.7,70,46,1056,75,Matches
344,345,Vincent Le Goff,fr FRA,DF,Lorient,31,1989,34.0,2075,98,579,1022,495,49,2075,14,23,60.9,34,16,1232,77,Matches
345,346,Maxime Le Marchand,fr FRA,DF,Strasbourg,31,1989,9.6,642,94,341,274,29,4,642,3,3,100.0,4,0,443,1,Matches
346,347,Jean-Louis Leca,fr FRA,GK,Lens,35,1985,25.7,795,718,793,0,2,2,795,0,0,,0,0,298,0,Matches
347,348,Félix Lemaréchal,ci CIV,MF,Monaco,17,2003,0.1,16,0,0,14,2,0,16,2,2,100.0,0,0,13,0,Matches
348,349,Mario Lemina,ga GAB,MF,Nice,27,1993,21.9,1427,68,364,940,132,23,1427,27,36,75.0,21,14,985,26,Matches
349,350,Fabien Lemoine,fr FRA,MF,Lorient,34,1987,12.4,1014,44,279,616,125,10,1014,8,12,66.7,9,8,722,11,Matches
350,351,Léo Leroy,fr FRA,MF,Montpellier,21,2000,7.0,433,16,122,247,68,7,433,8,17,47.1,13,8,278,10,Matches
351,352,Alexandre Letellier,fr FRA,GK,Paris S-G,30,1990,0.1,3,3,3,0,0,0,3,0,0,,0,0,2,0,Matches
352,353,Yanis Lhery,fr FRA,"FW,MF",Saint-Étienne,18,2003,0.8,25,0,6,11,9,2,25,1,1,100.0,1,1,11,3,Matches
353,354,Dimitri Liénard,fr FRA,"DF,MF",Strasbourg,33,1988,22.7,1633,50,352,729,568,24,1633,10,17,58.8,30,9,965,80,Matches
354,355,Isaac Lihadji,fr FRA,"MF,FW",Lille,19,2002,2.6,125,1,12,55,61,4,125,7,15,46.7,9,11,93,16,Matches
355,356,Pol Lirola,es ESP,"DF,FW",Marseille,23,1997,19.7,1273,30,243,582,463,60,1273,25,46,54.3,38,17,884,112,Matches
356,357,Banzouzi Locko,fr FRA,"MF,DF",Reims,19,2002,11.2,577,23,175,276,140,8,577,15,22,68.2,13,22,318,27,Matches
357,358,Anthony Lopes,pt POR,GK,Lyon,30,1990,33.1,1211,1013,1200,11,0,0,1211,0,0,,1,0,608,0,Matches
358,359,Pau López,es ESP,GK,Marseille,26,1994,29.0,1384,801,1323,63,0,0,1384,0,0,,1,0,840,0,Matches
