,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
90,91,Matheus Cunha,br BRA,FW,Hertha BSC,22,1999,0.7,0,2,1,50.0,2.81,1.41,0.00,0.00,11.1,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
91,92,Rafael Czichos,de GER,DF,Köln,31,1990,15.6,0,2,0,0.0,0.13,0.00,0.00,,6.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
92,93,Lennart-Marten Czyborra,de GER,DF,Arminia,22,1999,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
93,94,Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,29,1992,14.6,3,33,9,27.3,2.27,0.62,0.09,0.33,12.4,0,0,0,5.1,5.1,0.15,-2.1,-2.1,Matches
94,95,Finn Dahmen,de GER,GK,Mainz 05,23,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
95,96,Mahmoud Dahoud,de GER,MF,Dortmund,25,1996,18.4,2,22,4,18.2,1.19,0.22,0.09,0.50,23.7,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
96,97,Márton Dárdai,de GER,DF,Hertha BSC,19,2002,8.4,0,4,3,75.0,0.48,0.36,0.00,0.00,16.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
97,98,Vladimír Darida,cz CZE,MF,Hertha BSC,30,1990,19.8,2,24,9,37.5,1.21,0.45,0.08,0.22,21.8,1,0,0,1.9,1.9,0.08,+0.1,+0.1,Matches
98,99,Alphonso Davies,ca CAN,DF,Bayern Munich,20,2000,19.3,0,18,6,33.3,0.93,0.31,0.00,0.00,16.6,0,0,0,2.2,2.2,0.12,-2.2,-2.2,Matches
99,100,Saulo Decarli,ch SUI,DF,Bochum,29,1992,0.1,0,1,1,100.0,10.00,10.00,0.00,0.00,14.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
100,101,Thomas Delaney,dk DEN,MF,Dortmund,29,1991,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
101,102,Kerem Demirbay,de GER,MF,Leverkusen,28,1993,22.8,1,36,11,30.6,1.58,0.48,0.00,0.00,25.4,6,1,2,3.8,2.2,0.06,-2.8,-2.2,Matches
102,103,Ermedin Demirović,ba BIH,FW,Freiburg,23,1998,9.7,2,25,9,36.0,2.58,0.93,0.08,0.22,12.7,0,0,0,3.3,3.3,0.13,-1.3,-1.3,Matches
103,104,Mike van der Hoorn,nl NED,DF,Arminia,28,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
104,105,Moussa Diaby,fr FRA,"FW,MF",Leverkusen,22,1999,30.7,13,53,26,49.1,1.73,0.85,0.25,0.50,16.2,0,0,1,8.4,7.7,0.15,+4.6,+5.3,Matches
105,106,Daniel Didavi,de GER,"MF,FW",Stuttgart,31,1990,3.1,0,7,3,42.9,2.27,0.97,0.00,0.00,17.2,1,0,0,0.9,0.9,0.14,-0.9,-0.9,Matches
106,107,Javairô Dilrosun,nl NED,FW,Hertha BSC,23,1998,1.5,0,1,0,0.0,0.65,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
107,108,Lee Dongjun,kr KOR,"MF,FW",Hertha BSC,24,1997,1.3,0,3,1,33.3,2.29,0.76,0.00,0.00,12.9,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
108,109,Niklas Dorsch,de GER,MF,Augsburg,23,1998,25.8,1,12,1,8.3,0.46,0.04,0.08,1.00,29.4,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
109,110,Ondrej Duda,sk SVK,"MF,FW",Köln,26,1994,17.9,2,42,14,33.3,2.35,0.78,0.05,0.14,19.8,0,0,0,4.7,4.7,0.12,-2.7,-2.7,Matches
110,111,Jeremy Dudziak,tn TUN,"MF,FW",Greuther Fürth,25,1995,12.6,2,16,4,25.0,1.27,0.32,0.13,0.50,14.3,0,0,0,2.5,2.5,0.17,-0.5,-0.5,Matches
111,112,Erik Durm,de GER,DF,Eint Frankfurt,29,1992,5.3,0,1,0,0.0,0.19,0.00,0.00,,32.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
112,113,Maximilian Eggestein,de GER,MF,Freiburg,24,1996,24.4,1,23,6,26.1,0.94,0.25,0.04,0.17,21.8,0,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
113,114,Lilian Egloff,de GER,"MF,DF",Stuttgart,18,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
114,115,Kingsley Ehizibue,nl NED,DF,Köln,26,1995,7.6,0,6,0,0.0,0.79,0.00,0.00,,24.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
115,116,Julian Eitschberger,de GER,DF,Hertha BSC,17,2004,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
116,117,Jurgen Ekkelenkamp,nl NED,"MF,FW",Hertha BSC,21,2000,8.0,3,14,4,28.6,1.75,0.50,0.21,0.75,14.6,0,0,0,1.7,1.7,0.12,+1.3,+1.3,Matches
117,118,Nico Elvedi,ch SUI,DF,M'Gladbach,24,1996,27.0,1,13,1,7.7,0.48,0.04,0.08,1.00,10.0,0,0,0,1.4,1.4,0.11,-0.4,-0.4,Matches
118,119,Breel Embolo,ch SUI,"FW,MF",M'Gladbach,24,1997,24.1,9,48,23,47.9,1.99,0.96,0.19,0.39,13.8,0,0,0,8.7,8.7,0.19,+0.3,+0.3,Matches
119,120,Keita Endo,jp JPN,MF,Union Berlin,23,1997,0.6,0,2,1,50.0,3.27,1.64,0.00,0.00,17.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
120,121,Wataru Endo,jp JPN,MF,Stuttgart,28,1993,32.2,4,45,16,35.6,1.40,0.50,0.09,0.25,16.3,0,0,0,5.8,5.5,0.12,-1.8,-1.5,Matches
121,122,Michael Esser,de GER,GK,Bochum,33,1987,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
122,123,Wahidullah Faghir,dk DEN,FW,Stuttgart,18,2003,1.4,1,5,1,20.0,3.66,0.73,0.20,1.00,17.3,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
123,124,Ömer Faruk Beyaz,tr TUR,"DF,MF",Stuttgart,17,2003,0.8,0,3,1,33.3,3.80,1.27,0.00,0.00,20.8,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
124,125,Adrian Fein,de GER,MF,Greuther Fürth,22,1999,0.4,0,1,0,0.0,2.81,0.00,0.00,,28.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
125,126,Ohis Felix Uduokhai,de GER,DF,Augsburg,23,1997,8.7,0,2,0,0.0,0.23,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
126,127,Edimilson Fernandes,ch SUI,"MF,FW",Arminia,25,1996,3.1,0,4,2,50.0,1.27,0.64,0.00,0.00,41.8,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
127,128,Alfreð Finnbogason,is ISL,FW,Augsburg,32,1989,3.2,2,6,4,66.7,1.85,1.23,0.33,0.50,12.8,0,0,0,1.1,1.1,0.18,+0.9,+0.9,Matches
128,129,Mark Flekken,nl NED,GK,Freiburg,28,1993,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
129,130,Emil Forsberg,se SWE,MF,RB Leipzig,29,1991,19.0,6,38,11,28.9,2.00,0.58,0.05,0.18,19.0,2,4,4,8.6,5.5,0.14,-2.6,-3.5,Matches
