,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
91,92,Blake Bodily,us USA,"FW,DF",Portland Timbers,24,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
92,93,Isaac Boehmer,us USA,GK,Vancouver,20,2001,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
93,94,Jonathan Bond,eng ENG,GK,LA Galaxy,28,1993,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
94,95,Pablo Bonilla,ve VEN,DF,Portland Timbers,22,1999,2.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
95,96,Alex Bono,us USA,GK,Toronto FC,27,1994,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
96,97,Jonathan Bornstein,us USA,"DF,MF",Chicago Fire,37,1984,13.3,1,5,1,20.0,0.37,0.07,0.20,1.00,17.3,0,0,0,0.1,0.1,0.02,+0.9,+0.9,Matches
97,98,Dylan Borrero,co COL,FW,New England,20,2002,6.7,3,19,6,31.6,2.84,0.90,0.16,0.50,19.1,0,0,0,1.7,1.7,0.09,+1.3,+1.3,Matches
98,99,Gustavo Bou,ar ARG,FW,New England,31,1990,17.8,8,72,29,40.3,4.05,1.63,0.10,0.24,18.7,3,1,1,7.5,6.7,0.09,+0.5,+0.3,Matches
99,100,Denis Bouanga,ga GAB,FW,Los Angeles FC,27,1994,5.5,1,26,8,30.8,4.72,1.45,0.04,0.13,16.2,1,0,0,3.3,3.3,0.13,-2.3,-2.3,Matches
100,101,Ousseni Bouda,bf BFA,"FW,MF",San Jose,21,2000,1.3,0,5,1,20.0,3.81,0.76,0.00,0.00,14.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
101,102,Michael Boxall,nz NZL,DF,Minnesota Utd,33,1988,31.0,0,9,0,0.0,0.29,0.00,0.00,,11.6,0,0,0,1.3,1.3,0.14,-1.3,-1.3,Matches
102,103,Michael Bradley,us USA,MF,Toronto FC,34,1987,33.9,3,15,6,40.0,0.44,0.18,0.20,0.50,20.3,2,0,0,1.0,1.0,0.06,+2.0,+2.0,Matches
