,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
45,46,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,26,1995,28,1758,63,57.5,19.5,22,75,4,6,19,3,1.71,30,24,+6,+0.31,+0.31,30.8,24.7,+6.1,+0.31,-0.03,Matches
46,47,Kevin Behrens,de GER,FW,Union Berlin,30,1991,24,499,21,16.3,5.5,2,63,0,22,17,5,1.75,13,8,+5,+0.90,+0.87,12.1,8.3,+3.8,+0.69,+0.44,Matches
47,48,Ishak Belfodil,dz ALG,FW,Hertha BSC,29,1992,26,1636,63,53.5,18.2,17,77,3,9,36,4,0.96,20,38,-18,-0.99,+0.02,19.3,34.7,-15.4,-0.85,-0.49,Matches
48,49,Stefan Bell,de GER,DF,Mainz 05,29,1991,33,2864,87,93.6,31.8,33,87,27,0,,0,1.39,46,41,+5,+0.16,+0.16,52.8,46.0,+6.8,+0.21,-0.43,Matches
49,50,Armel Bella Kotchap,de GER,DF,Bochum,19,2001,22,1768,80,57.8,19.6,20,88,18,2,2,9,0.95,18,35,-17,-0.87,-1.07,25.1,32.5,-7.4,-0.38,-0.01,Matches
50,51,Karim Bellarabi,de GER,"FW,MF",Leverkusen,31,1990,16,683,43,22.3,7.6,9,62,0,7,18,1,1.94,23,6,+17,+2.24,+1.63,19.1,10.6,+8.6,+1.13,+0.74,Matches
51,52,Jude Bellingham,eng ENG,MF,Dortmund,18,2003,32,2790,87,91.2,31.0,32,87,27,0,,0,2.06,76,46,+30,+0.97,-0.03,62.2,45.9,+16.3,+0.53,+0.24,Matches
52,53,George Bello,us USA,DF,Arminia,19,2002,10,434,43,14.2,4.8,3,90,3,7,23,3,0.20,2,12,-10,-2.07,-1.53,3.4,13.2,-9.8,-2.03,-1.06,Matches
53,54,László Bénes,sk SVK,MF,M'Gladbach,23,1997,13,246,19,8.0,2.7,2,62,0,11,11,17,1.31,6,6,0,0.00,+0.22,4.8,6.6,-1.9,-0.68,-0.78,Matches
54,55,Keanan Bennetts,eng ENG,"FW,DF",M'Gladbach,22,1999,4,50,13,1.6,0.6,0,,0,4,13,19,0.50,1,0,+1,+1.80,+2.04,2.8,0.8,+2.0,+3.54,+3.57,Matches
55,56,Ramy Bensebaini,dz ALG,DF,M'Gladbach,26,1995,23,2020,88,66.0,22.4,22,90,21,1,46,0,1.09,37,48,-11,-0.49,-0.84,38.8,42.5,-3.7,-0.17,-0.59,Matches
56,57,Louis Beyer,de GER,DF,M'Gladbach,21,2000,17,1384,81,45.2,15.4,15,89,13,2,23,6,1.53,25,19,+6,+0.39,+1.09,29.8,24.0,+5.9,+0.38,+0.63,Matches
57,58,Bartosz Bialek,pl POL,"FW,DF",Wolfsburg,19,2001,12,178,15,5.8,2.0,1,64,0,11,10,7,1.58,5,2,+3,+1.52,+1.95,1.5,3.2,-1.7,-0.84,-0.85,Matches
58,59,Ermin Bičakčić,ba BIH,DF,Hoffenheim,31,1990,1,5,5,0.2,0.1,0,,0,1,5,0,0.00,0,0,0,0.00,+0.06,0.3,0.0,+0.3,+5.48,+5.34,Matches
59,60,Matteo Bignetti,at AUT,GK,Eint Frankfurt,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
60,61,Tom Bischof,de GER,MF,Hoffenheim,16,2005,1,14,14,0.5,0.2,0,,0,1,14,6,0.00,0,0,0,0.00,+0.06,0.0,0.1,-0.1,-0.47,-0.62,Matches
61,62,Danny Blum,de GER,FW,Bochum,30,1991,13,346,27,11.3,3.8,2,52,0,11,22,4,1.31,4,2,+2,+0.52,+1.05,6.5,5.8,+0.7,+0.18,+0.63,Matches
62,63,Kevin-Prince Boateng,gh GHA,"MF,FW",Hertha BSC,34,1987,18,696,39,22.7,7.7,8,61,0,10,21,6,1.11,10,13,-3,-0.39,+0.79,10.0,9.5,+0.5,+0.07,+0.89,Matches
63,64,Ben Bobzien,de GER,FW,Mainz 05,18,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
64,65,Herbert Bockhorn,de GER,DF,Bochum,26,1995,18,850,47,27.8,9.4,7,89,6,11,21,9,0.61,7,19,-12,-1.27,-1.19,10.7,20.8,-10.0,-1.06,-0.95,Matches
65,66,Jean-Paul Boëtius,nl NED,MF,Mainz 05,27,1994,33,1800,55,58.8,20.0,19,78,7,14,23,0,1.30,31,34,-3,-0.15,-0.72,32.0,30.8,+1.2,+0.06,-0.44,Matches
66,67,Melayro Bogarde,nl NED,DF,Hoffenheim,19,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
67,68,Tarsis Bonga,de GER,"MF,FW",Bochum,24,1997,3,17,6,0.6,0.2,0,,0,3,6,4,1.33,0,1,-1,-5.29,-4.91,0.5,0.9,-0.5,-2.43,-2.06,Matches
68,69,Solomon Bonnah,nl NED,DF,RB Leipzig,17,2003,1,6,6,0.2,0.1,0,,0,1,6,6,0.00,0,0,0,0.00,-1.03,0.9,0.0,+0.9,+11.28,+10.55,Matches
69,70,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,22,1999,27,2007,74,65.6,22.3,23,85,18,4,14,5,0.96,30,37,-7,-0.31,+0.03,34.4,32.8,+1.6,+0.07,+0.33,Matches
70,71,Rafael Borré,co COL,FW,Eint Frankfurt,25,1995,31,2378,77,77.7,26.4,28,82,13,3,25,1,1.32,41,40,+1,+0.04,+0.70,40.0,40.2,-0.3,-0.01,+0.50,Matches
71,72,Dedryck Boyata,be BEL,DF,Hertha BSC,30,1990,23,1898,83,62.0,21.1,22,86,19,1,4,1,1.17,25,40,-15,-0.71,+0.76,22.7,32.4,-9.7,-0.46,+0.43,Matches
72,73,Julian Brandt,de GER,"MF,FW",Dortmund,25,1996,31,2078,67,67.9,23.1,22,81,8,9,34,0,2.03,63,33,+30,+1.30,+1.02,49.6,33.5,+16.2,+0.70,+0.61,Matches
