,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
550,551,Gabriel Torres,pa PAN,"FW,MF",UNAM,32,1988,3.5,59,91,64.8,972,249,30,38,78.9,21,28,75.0,7,14,50.0,0,1.1,0.4,-1.1,4,2,4,0,6,Matches
551,552,Jairo Torres,mx MEX,"MF,FW",Atlas,21,2000,26.2,539,791,68.1,8920,2537,303,354,85.6,151,216,69.9,63,139,45.3,4,4.4,3.4,-0.4,48,59,28,20,35,Matches
552,553,Jorge Torres Nilo,mx MEX,DF,Toluca,33,1988,10.7,368,490,75.1,6927,3081,136,150,90.7,191,241,79.3,37,84,44.0,0,0.1,0.2,-0.1,1,27,4,2,22,Matches
553,554,Raúl Torres Rodríguez,mx MEX,"MF,DF",Querétaro,24,1996,10.2,344,431,79.8,5802,1608,173,196,88.3,152,184,82.6,18,43,41.9,0,0.3,0.2,-0.3,5,29,1,1,17,Matches
554,555,Christopher Trejo,mx MEX,"FW,MF",Atlas,21,1999,5.4,118,163,72.4,1684,505,70,87,80.5,34,42,81.0,6,15,40.0,0,0.4,0.4,-0.4,8,16,4,1,12,Matches
555,556,Santiago Trigos,mx MEX,MF,UNAM,19,2002,5.3,201,241,83.4,3907,1107,75,88,85.2,91,103,88.3,28,37,75.7,0,0.1,0.1,-0.1,4,16,1,0,17,Matches
556,557,Jesús Trindade,uy URU,MF,Pachuca,28,1993,3.3,145,183,79.2,2740,831,68,75,90.7,50,60,83.3,21,37,56.8,0,0.1,0.1,-0.1,1,23,2,0,17,Matches
557,558,Julio César González Trinidad,py PAR,DF,Necaxa,29,1992,12.7,346,452,76.5,7053,3290,122,133,91.7,166,193,86.0,57,115,49.6,0,0.0,0.1,0.0,1,33,2,0,23,Matches
558,559,Franco Troyansky,ar ARG,"FW,MF",Atlas,24,1997,5.7,64,112,57.1,992,369,38,48,79.2,19,30,63.3,5,15,33.3,0,0.5,0.5,-0.5,3,7,2,1,7,Matches
559,560,Óscar Ustari,ar ARG,GK,Pachuca,35,1986,32.0,586,932,62.9,20244,17104,85,86,98.8,214,218,98.2,286,622,46.0,0,0.0,0.1,0.0,1,25,2,0,0,Matches
560,561,Diego Valdés,cl CHI,"MF,FW",Santos,27,1994,13.0,473,606,78.1,9061,2420,217,245,88.6,174,204,85.3,74,121,61.2,4,3.6,3.5,+0.4,32,52,8,3,43,Matches
561,562,Diego Valdés,cl CHI,"MF,FW",América,27,1994,13.1,420,527,79.7,7994,1862,161,190,84.7,196,217,90.3,54,90,60.0,3,3.7,2.5,-0.7,21,49,18,1,51,Matches
562,563,Bruno Valdez,py PAR,DF,América,28,1992,22.1,780,985,79.2,16243,6045,224,259,86.5,448,507,88.4,100,204,49.0,1,0.2,0.3,+0.8,5,38,3,0,38,Matches
563,564,Jorge Valdivia,cl CHI,MF,Necaxa,37,1983,1.8,87,110,79.1,1464,444,39,47,83.0,37,44,84.1,7,10,70.0,1,0.5,0.3,+0.5,4,25,3,0,13,Matches
564,565,Oscar Vanegas,co COL,DF,Toluca,25,1996,21.7,716,880,81.4,14871,5034,221,246,89.8,372,418,89.0,109,191,57.1,0,0.0,0.1,0.0,1,21,1,0,21,Matches
565,566,Camilo Vargas,co COL,GK,Atlas,32,1989,34.0,692,1006,68.8,21738,17624,141,141,100.0,260,263,98.9,286,589,48.6,0,0.2,0.2,-0.2,2,36,3,0,1,Matches
566,567,Gerson Vázquez,mx MEX,"FW,MF",Tijuana,19,2001,0.4,11,18,61.1,129,29,6,8,75.0,3,4,75.0,0,3,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
567,568,Iván Vázquez,mx MEX,GK,León,38,1982,2.0,51,63,81.0,1244,780,6,6,100.0,33,34,97.1,10,21,47.6,0,0.0,0.0,0.0,0,0,0,0,0,Matches
568,569,Ivo Vázquez,mx MEX,"DF,MF",Puebla,20,2000,7.8,207,284,72.9,3837,1380,103,124,83.1,70,92,76.1,32,55,58.2,0,0.2,0.3,-0.2,5,15,10,6,18,Matches
569,570,Alexis Vega,mx MEX,"FW,MF",Guadalajara,23,1997,20.0,565,786,71.9,9672,2602,282,328,86.0,192,266,72.2,68,141,48.2,5,3.6,2.8,+1.4,44,47,11,3,46,Matches
570,571,Sebastián Vegas,cl CHI,DF,Monterrey,24,1996,25.5,792,1014,78.1,15894,7189,291,334,87.1,387,450,86.0,109,207,52.7,0,0.4,0.7,-0.4,9,94,11,4,60,Matches
571,572,Efraín Velarde,mx MEX,DF,UNAM,35,1986,20.3,775,987,78.5,14028,5906,339,376,90.2,336,411,81.8,87,152,57.2,1,1.2,0.5,-0.2,13,78,7,5,71,Matches
572,573,Gustavo Velásquez,py PAR,DF,FC Juárez,30,1991,15.8,495,695,71.2,9654,4251,177,203,87.2,259,320,80.9,51,136,37.5,0,0.1,0.3,-0.1,3,46,4,2,35,Matches
573,574,Érik Vera,mx MEX,DF,Querétaro,29,1992,23.7,650,889,73.1,11750,5158,253,297,85.2,332,436,76.1,54,110,49.1,0,0.6,0.9,-0.6,15,56,4,2,52,Matches
574,575,Duván Vergara,co COL,"FW,MF",Monterrey,24,1996,10.8,244,334,73.1,4083,1254,119,145,82.1,85,113,75.2,29,51,56.9,1,1.3,1.5,-0.3,17,28,21,3,41,Matches
575,576,Néstor Vidrio,mx MEX,DF,Mazatlán,32,1989,32.2,1097,1379,79.6,23864,10298,308,355,86.8,571,663,86.1,212,341,62.2,1,0.5,0.2,+0.5,3,47,2,0,51,Matches
576,577,Nicolás Vikonis,uy URU,GK,Mazatlán,37,1984,34.0,753,1131,66.6,24180,17378,106,110,96.4,322,327,98.5,323,689,46.9,0,0.1,0.0,-0.1,2,17,0,0,0,Matches
577,578,Oscar Villa,mx MEX,DF,León,20,2001,3.0,125,163,76.7,1918,627,72,81,88.9,42,54,77.8,8,19,42.1,0,0.1,0.1,-0.1,2,4,1,1,3,Matches
578,579,Dieter Villalpando,mx MEX,MF,Puebla,29,1991,0.8,22,31,71.0,457,199,8,8,100.0,10,13,76.9,4,9,44.4,0,0.1,0.0,-0.1,2,8,1,0,5,Matches
579,580,Dieter Villalpando,mx MEX,MF,Necaxa,29,1991,12.4,360,486,74.1,6280,1977,170,207,82.1,139,169,82.2,40,76,52.6,3,2.6,1.6,+0.4,29,48,17,1,49,Matches
580,581,Sergio Villarreal,mx MEX,DF,Monterrey,21,2000,3.9,110,159,69.2,1830,1073,53,59,89.8,49,72,68.1,6,17,35.3,0,0.1,0.2,-0.1,2,7,5,3,6,Matches
581,582,Federico Viñas,uy URU,FW,América,23,1998,13.7,156,230,67.8,1994,362,96,124,77.4,46,72,63.9,3,6,50.0,0,0.8,0.5,-0.8,10,7,2,1,5,Matches
582,583,Manuel Viniegra,mx MEX,MF,Querétaro,33,1988,0.1,13,14,92.9,189,32,8,8,100.0,2,2,100.0,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
583,584,Isaías Violante,mx MEX,"MF,FW",Toluca,17,2003,1.7,53,69,76.8,773,223,30,34,88.2,19,25,76.0,3,5,60.0,0,0.3,0.1,-0.3,1,2,0,0,4,Matches
584,585,Andrés Vombergar,si SVN,FW,Atlético,26,1994,11.6,153,248,61.7,2101,255,90,129,69.8,49,75,65.3,5,17,29.4,0,0.8,0.2,-0.8,7,13,4,0,8,Matches
585,586,Facundo Waller,uy URU,"MF,DF",Atlético,24,1997,23.8,576,849,67.8,11320,4261,232,286,81.1,246,326,75.5,88,171,51.5,1,2.6,2.8,-1.6,24,92,25,8,78,Matches
586,587,Hugo Weckmann,mx MEX,FW,Tijuana,17,2004,0.0,2,4,50.0,22,3,1,3,33.3,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
587,588,Sebastián Yanez,mx MEX,DF,Tijuana,18,2003,3.7,104,184,56.5,1715,928,52,69,75.4,39,73,53.4,10,31,32.3,0,0.0,0.1,0.0,1,10,4,2,10,Matches
588,589,Yoshimar Yotún,pe PER,MF,Cruz Azul,31,1990,7.7,380,466,81.5,7539,2276,153,167,91.6,170,189,89.9,55,102,53.9,0,1.5,1.6,-1.5,10,64,10,4,40,Matches
589,590,Paolo Yrizar,mx MEX,"FW,DF",Guadalajara,23,1997,0.5,5,13,38.5,33,13,3,3,100.0,0,1,0.0,0,2,0.0,0,0.2,0.0,-0.2,2,0,0,0,0,Matches
590,591,Diego Zago,mx MEX,MF,Puebla,19,2002,1.4,42,46,91.3,750,124,14,14,100.0,24,26,92.3,4,6,66.7,0,0.0,0.0,0.0,1,1,0,0,1,Matches
591,592,Ángel Zaldívar,mx MEX,FW,Guadalajara,27,1994,17.7,252,336,75.0,3397,641,148,176,84.1,72,94,76.6,12,19,63.2,1,1.0,0.9,0.0,14,26,5,1,13,Matches
592,593,Edgar Zaldívar,mx MEX,MF,Atlas,24,1996,16.9,534,643,83.0,9050,2019,254,292,87.0,213,250,85.2,49,64,76.6,3,1.4,0.7,+1.6,17,59,9,5,35,Matches
593,594,Mauro Zaleta,mx MEX,MF,Cruz Azul,19,2002,0.0,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
594,595,Carlos Zamora,mx MEX,DF,Querétaro,25,1996,0.2,0,2,0.0,0,0,0,0,,0,0,,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
595,596,Jesse Zamudio,mx MEX,"MF,FW",León,22,1999,0.4,16,20,80.0,429,120,4,6,66.7,5,5,100.0,7,8,87.5,0,0.2,0.2,-0.2,2,4,0,0,4,Matches
596,597,Ángel Zapata,mx MEX,"MF,FW",Monterrey,20,2001,1.5,50,55,90.9,820,259,24,27,88.9,18,18,100.0,6,6,100.0,0,0.2,0.1,-0.2,3,6,3,1,2,Matches
597,598,José Zapata,mx MEX,FW,FC Juárez,18,2003,0.5,3,5,60.0,37,4,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
598,599,Jorge Zárate,mx MEX,"MF,DF",Mazatlán,29,1992,4.3,82,112,73.2,1070,271,53,62,85.5,25,40,62.5,2,5,40.0,0,0.1,0.4,-0.1,2,3,2,0,7,Matches
