,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
105,106,Daniel Didavi,de GER,"MF,FW",Stuttgart,31,1990,3.1,6,2,0,4,2,4,7,57.1,3,4,1,3,1,7,1,0,Matches
106,107,Javairô Dilrosun,nl NED,FW,Hertha BSC,23,1998,1.5,3,1,1,2,0,1,1,100.0,0,1,0,1,0,3,0,0,Matches
107,108,Lee Dongjun,kr KOR,"MF,FW",Hertha BSC,24,1997,1.3,2,1,0,2,0,1,3,33.3,2,2,0,2,2,4,1,0,Matches
108,109,Niklas Dorsch,de GER,MF,Augsburg,23,1998,25.8,76,47,47,23,6,30,60,50.0,30,34,12,22,35,111,36,3,Matches
109,110,Ondrej Duda,sk SVK,"MF,FW",Köln,26,1994,17.9,23,16,4,12,7,6,23,26.1,17,14,2,12,17,40,9,0,Matches
110,111,Jeremy Dudziak,tn TUN,"MF,FW",Greuther Fürth,25,1995,12.6,17,6,5,8,4,3,14,21.4,11,8,0,8,10,27,4,0,Matches
111,112,Erik Durm,de GER,DF,Eint Frankfurt,29,1992,5.3,13,7,6,5,2,10,13,76.9,3,8,1,7,10,23,7,0,Matches
112,113,Maximilian Eggestein,de GER,MF,Freiburg,24,1996,24.4,48,28,17,25,6,22,50,44.0,28,35,11,24,30,78,32,1,Matches
113,114,Lilian Egloff,de GER,"MF,DF",Stuttgart,18,2002,0.3,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,Matches
114,115,Kingsley Ehizibue,nl NED,DF,Köln,26,1995,7.6,32,18,27,5,0,15,24,62.5,9,13,4,9,9,41,26,0,Matches
115,116,Julian Eitschberger,de GER,DF,Hertha BSC,17,2004,0.5,0,0,0,0,0,0,1,0.0,1,1,1,0,2,2,2,0,Matches
116,117,Jurgen Ekkelenkamp,nl NED,"MF,FW",Hertha BSC,21,2000,8.0,8,3,2,6,0,2,7,28.6,5,9,2,7,4,12,5,0,Matches
117,118,Nico Elvedi,ch SUI,DF,M'Gladbach,24,1996,27.0,40,24,23,17,0,22,36,61.1,14,33,22,11,34,74,83,1,Matches
118,119,Breel Embolo,ch SUI,"FW,MF",M'Gladbach,24,1997,24.1,17,11,2,12,3,4,9,44.4,5,14,2,12,6,23,8,0,Matches
119,120,Keita Endo,jp JPN,MF,Union Berlin,23,1997,0.6,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0,Matches
120,121,Wataru Endo,jp JPN,MF,Stuttgart,28,1993,32.2,73,41,34,34,5,31,72,43.1,41,43,12,31,30,103,64,0,Matches
121,122,Michael Esser,de GER,GK,Bochum,33,1987,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
122,123,Wahidullah Faghir,dk DEN,FW,Stuttgart,18,2003,1.4,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches
123,124,Ömer Faruk Beyaz,tr TUR,"DF,MF",Stuttgart,17,2003,0.8,4,3,1,3,0,1,5,20.0,4,0,0,0,2,6,0,0,Matches
124,125,Adrian Fein,de GER,MF,Greuther Fürth,22,1999,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,0,0,Matches
125,126,Ohis Felix Uduokhai,de GER,DF,Augsburg,23,1997,8.7,9,6,6,3,0,6,11,54.5,5,13,8,5,9,18,33,0,Matches
126,127,Edimilson Fernandes,ch SUI,"MF,FW",Arminia,25,1996,3.1,2,0,1,1,0,1,4,25.0,3,2,2,0,2,4,6,0,Matches
127,128,Alfreð Finnbogason,is ISL,FW,Augsburg,32,1989,3.2,3,1,0,2,1,2,4,50.0,2,5,1,4,2,5,8,0,Matches
128,129,Mark Flekken,nl NED,GK,Freiburg,28,1993,32.0,0,0,0,0,0,0,2,0.0,2,1,0,1,2,2,10,1,Matches
129,130,Emil Forsberg,se SWE,MF,RB Leipzig,29,1991,19.0,21,12,2,11,8,7,22,31.8,15,18,0,18,2,23,2,1,Matches
130,131,Philipp Förster,de GER,"MF,FW",Stuttgart,26,1995,10.7,20,13,4,12,4,11,26,42.3,15,12,1,11,3,23,2,0,Matches
131,132,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,23,1998,1.6,5,3,3,1,1,4,4,100.0,0,1,0,1,2,7,2,0,Matches
132,133,Raphael Framberger,de GER,DF,Augsburg,25,1995,9.4,26,19,12,10,4,13,27,48.1,14,8,2,6,9,35,25,0,Matches
133,134,Marvin Friedrich,de GER,DF,M'Gladbach,25,1995,6.7,14,8,10,4,0,9,11,81.8,2,5,3,2,5,19,26,0,Matches
134,135,Marvin Friedrich,de GER,DF,Union Berlin,25,1995,13.0,17,5,14,3,0,10,16,62.5,6,13,7,6,23,40,47,0,Matches
135,136,Jeremie Frimpong,nl NED,DF,Leverkusen,20,2000,22.8,32,18,19,12,1,12,23,52.2,11,24,6,18,17,49,40,2,Matches
136,137,Christian Früchtl,de GER,GK,Bayern Munich,21,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
137,138,Chris Führich,de GER,"FW,MF",Stuttgart,23,1998,19.0,28,16,10,10,8,18,39,46.2,21,31,2,29,8,36,9,0,Matches
138,139,Marius Funk,de GER,GK,Greuther Fürth,25,1996,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,1,Matches
139,140,Stephan Fürstner,de GER,MF,Mainz 05,33,1987,0.1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,Matches
140,141,Mijat Gaćinović,rs SRB,"FW,MF",Hoffenheim,26,1995,1.2,3,3,1,1,1,3,3,100.0,0,1,0,1,1,4,2,0,Matches
141,142,Cristian Gamboa,cr CRC,DF,Bochum,31,1989,19.1,59,36,40,16,3,30,61,49.2,31,22,7,15,32,91,35,1,Matches
142,143,Silvère Ganvoula M'Boussy,cg CGO,FW,Bochum,25,1996,1.7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
143,144,Linus Gechter,de GER,DF,Hertha BSC,17,2004,8.0,15,8,13,2,0,7,14,50.0,7,12,7,5,11,26,29,0,Matches
144,145,Dennis Geiger,de GER,MF,Hoffenheim,23,1998,15.3,34,23,9,20,5,17,30,56.7,13,15,1,14,14,48,7,1,Matches
145,146,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,27,1994,17.5,42,20,18,17,7,22,36,61.1,14,24,1,23,25,67,25,1,Matches
146,147,Hamadi Al Ghaddioui,ma MAR,FW,Stuttgart,30,1990,5.5,5,4,2,1,2,0,4,0.0,4,3,1,2,0,5,4,0,Matches
147,148,Niko Gießelmann,de GER,"DF,FW",Union Berlin,29,1991,23.1,24,17,10,11,3,15,38,39.5,23,26,4,22,18,42,29,1,Matches
148,149,Rafał Gikiewicz,pl POL,GK,Augsburg,33,1987,34.0,2,0,2,0,0,2,7,28.6,5,0,0,0,3,5,11,5,Matches
149,150,Daniel Ginczek,de GER,"MF,FW",Wolfsburg,30,1991,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
150,151,Matthias Ginter,de GER,DF,M'Gladbach,27,1994,26.2,37,22,21,13,3,28,42,66.7,14,22,11,11,34,71,79,0,Matches
151,152,Serge Gnabry,de GER,"FW,DF",Bayern Munich,26,1995,24.3,47,31,16,20,11,22,57,38.6,35,26,0,26,14,61,3,0,Matches
152,153,Leon Goretzka,de GER,MF,Bayern Munich,26,1995,15.5,25,15,12,9,4,11,26,42.3,15,11,1,10,17,42,23,2,Matches
153,154,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,30,1991,28.6,50,27,33,17,0,22,36,61.1,14,35,18,17,49,99,116,0,Matches
154,155,Jens Grahl,de GER,GK,Eint Frankfurt,32,1988,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
155,156,Julian Green,us USA,MF,Greuther Fürth,26,1995,11.7,9,5,0,8,1,2,8,25.0,6,10,2,8,7,16,10,0,Matches
156,157,Michael Gregoritsch,at AUT,"FW,MF",Augsburg,27,1994,15.5,19,8,4,10,5,2,15,13.3,13,18,2,16,6,25,30,0,Matches
