,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
22,23,Dani Alves,br BRA,DF,Barcelona,38,1983,12.2,1089,925,159,32,6,14,75,93,34,12,16,0,915,5,11,Matches
23,24,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,19,2001,0.9,39,31,8,0,0,0,4,8,0,0,0,0,26,0,1,Matches
24,25,Amath,sn SEN,"FW,MF",Mallorca,25,1996,9.8,202,196,5,0,2,0,7,3,1,0,0,0,159,1,9,Matches
25,26,Florin Andone,ro ROU,FW,Cádiz,28,1993,2.0,38,32,6,0,0,0,0,0,0,0,0,0,25,0,1,Matches
26,27,José Ángel,es ESP,DF,Osasuna,31,1989,12.0,785,629,154,23,0,32,46,131,0,0,0,0,590,2,9,Matches
27,28,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,0.6,28,26,2,1,0,0,0,0,0,0,0,0,23,0,0,Matches
28,29,Mauro Arambarri,uy URU,MF,Getafe,25,1995,29.6,1266,1104,157,88,0,32,116,2,66,28,34,0,933,5,29,Matches
29,30,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,29.1,1555,1509,41,38,0,8,3,3,0,0,0,0,1326,5,8,Matches
30,31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,25.2,1662,1566,92,47,0,21,7,44,0,0,0,0,1491,4,6,Matches
31,32,Jesús Areso,es ESP,DF,Osasuna,22,1999,2.1,73,40,33,0,0,0,2,33,0,0,0,0,49,0,0,Matches
32,33,Matias Arezo,uy URU,"FW,MF",Granada,18,2002,1.8,38,35,3,1,0,0,4,1,0,0,0,0,18,0,1,Matches
33,34,Santiago Arias,co COL,DF,Granada,29,1992,4.9,218,166,50,1,0,0,15,49,0,0,0,0,153,2,2,Matches
34,35,Santiago Arzamendia,py PAR,MF,Cádiz,23,1998,5.2,170,145,21,4,0,1,18,12,5,3,2,0,105,4,4,Matches
35,36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6.0,228,166,60,4,0,1,0,0,0,0,0,0,185,2,0,Matches
36,37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,0.1,8,8,0,0,0,1,1,0,0,0,0,0,7,0,0,Matches
37,38,Marco Asensio,es ESP,"FW,MF",Real Madrid,25,1996,19.2,894,809,80,14,0,14,71,16,45,26,3,0,731,5,24,Matches
38,39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,34.3,1371,1266,97,38,11,17,108,18,32,21,5,0,968,8,47,Matches
39,40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,12.0,238,218,20,0,2,0,5,0,0,0,0,0,176,0,7,Matches
