,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
133,134,Francisco Contreras,mx MEX,"DF,MF",FC Juárez,22,1999,5.8,0,0,0,2,7,0,21,3,4,0,0,0,43,2,5,28.6,Matches
134,135,José Corona,mx MEX,GK,Cruz Azul,40,1981,17.0,1,0,0,0,1,0,0,1,0,0,0,0,17,4,1,80.0,Matches
135,136,Washington Corozo,ec ECU,"FW,MF",UNAM,23,1998,13.9,4,0,0,21,11,6,35,6,10,1,0,0,57,24,30,44.4,Matches
136,137,George Corral,mx MEX,"MF,DF",Puebla,31,1990,18.9,0,1,0,14,12,1,45,13,11,0,0,0,93,32,22,59.3,Matches
137,138,Jordi Cortizo,mx MEX,"MF,FW",Puebla,25,1996,8.1,3,0,0,15,14,3,2,1,5,1,0,0,43,3,9,25.0,Matches
138,139,Jordi Cortizo,mx MEX,"FW,MF",Tijuana,25,1996,4.3,0,0,0,4,13,0,9,1,9,1,0,0,30,5,6,45.5,Matches
139,140,Rodolfo Cota,mx MEX,GK,León,34,1987,31.0,5,0,0,1,14,0,0,1,0,0,0,0,51,13,0,100.0,Matches
140,141,Aldo Cruz,mx MEX,"DF,MF",UANL,23,1997,1.9,0,0,0,1,1,0,11,2,3,0,0,0,11,2,1,66.7,Matches
141,142,Alessio da Cruz,cv CPV,"FW,MF",Santos,24,1997,6.3,2,0,0,19,13,4,12,1,4,0,0,0,25,6,11,35.3,Matches
142,143,Jorge Daniel Hernández,mx MEX,MF,Pachuca,32,1989,8.6,1,0,0,11,14,0,0,10,9,0,0,0,71,14,10,58.3,Matches
143,144,Jorge Daniel Hernández,mx MEX,MF,Querétaro,32,1989,14.3,5,0,0,28,20,0,3,17,10,0,1,0,92,12,14,46.2,Matches
144,145,Juan David Castro,mx MEX,"MF,DF",Atlético,29,1991,7.4,1,0,0,7,12,0,21,7,3,0,0,0,47,5,12,29.4,Matches
145,146,José David Ramírez,mx MEX,DF,León,25,1995,19.5,2,0,0,18,18,0,28,17,13,0,0,0,91,19,21,47.5,Matches
146,147,Víctor Dávila,cl CHI,"FW,MF",León,23,1997,25.1,6,1,0,22,52,15,26,4,8,1,1,0,58,21,31,40.4,Matches
147,148,Diego De Buen,mx MEX,"DF,MF",Puebla,30,1991,22.8,6,0,0,32,17,1,33,26,29,0,0,0,138,53,33,61.6,Matches
148,149,Everardo Del Villar,,,Toluca,16,2005,0.6,0,0,0,1,0,0,0,0,2,,,0,,,,,Matches
