,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
548,549,George Pușcaș,ro ROU,FW,Reading,25,1996,15.3,381,8,21,207,157,44,381,4,18,22.2,56,26,299,76,Matches
549,550,Christy Pym,eng ENG,GK,P'borough Utd,26,1995,7.0,280,237,277,3,0,0,280,0,0,,0,0,109,0,Matches
550,551,Domingos Quina,pt POR,"FW,MF",Barnsley,21,1999,15.3,832,19,155,401,295,33,832,33,64,51.6,66,39,546,54,Matches
551,552,Domingos Quina,pt POR,"MF,FW",Fulham,21,1999,1.0,46,2,5,30,12,5,46,3,3,100.0,11,4,38,5,Matches
552,553,Joe Rafferty,ie IRL,"DF,MF",Preston,27,1993,2.4,163,7,57,57,49,1,163,0,2,0.0,1,0,85,2,Matches
553,554,Baba Rahman,gh GHA,DF,Reading,27,1994,28.7,1830,116,630,858,374,29,1830,24,41,58.5,41,24,950,36,Matches
554,555,Joe Ralls,eng ENG,MF,Cardiff City,27,1993,25.0,1345,25,220,735,408,38,1345,14,15,93.3,21,17,739,24,Matches
555,556,Aaron Ramsdale,eng ENG,GK,Sheffield Utd,23,1998,2.0,82,73,81,1,0,0,82,0,0,,0,0,44,0,Matches
556,557,Joel Randall,eng ENG,"MF,FW",P'borough Utd,21,1999,2.7,127,1,19,54,57,13,127,2,3,66.7,5,7,94,23,Matches
557,558,Joe Rankin-Costello,eng ENG,"DF,MF",Blackburn,22,1999,6.4,299,8,80,107,116,12,299,3,7,42.9,12,3,170,18,Matches
558,559,Glen Rea,ie IRL,"MF,DF",Luton Town,26,1994,7.8,403,23,125,230,51,11,403,2,6,33.3,4,2,167,5,Matches
559,560,Adam Reach,eng ENG,"MF,DF",West Brom,28,1993,22.3,1323,27,290,555,497,30,1323,12,31,38.7,29,8,780,51,Matches
560,561,Tim Ream,us USA,DF,Fulham,33,1987,45.2,3883,422,1763,2072,70,21,3883,12,12,100.0,18,9,2762,6,Matches
561,562,Harrison Reed,eng ENG,MF,Fulham,26,1995,29.9,2097,55,380,1269,466,28,2097,17,30,56.7,51,17,1420,66,Matches
562,563,Bobby Reid,jm JAM,"FW,MF",Fulham,28,1993,28.0,1360,34,192,592,588,104,1360,23,53,43.4,67,26,1018,149,Matches
563,564,Jordan Rhodes,sct SCO,FW,Huddersfield,31,1990,8.2,300,24,49,143,109,34,300,5,10,50.0,19,6,201,29,Matches
564,565,Carlos Richards,eng ENG,MF,Derby County,15,2005,0.0,1,0,0,1,0,0,1,0,0,,0,0,0,0,Matches
565,566,Taylor Richards,eng ENG,"FW,MF",Birmingham City,20,2000,2.5,92,0,8,46,42,3,92,4,12,33.3,5,1,64,3,Matches
566,567,Jayden Richardson,eng ENG,DF,Nott'ham Forest,20,2000,0.3,16,3,7,4,5,0,16,0,1,0.0,0,0,6,0,Matches
567,568,Emil Riis Jakobsen,dk DEN,FW,Preston,23,1998,34.3,1187,14,73,411,715,158,1185,33,83,39.8,133,70,845,233,Matches
568,569,Andy Rinomhota,eng ENG,"MF,FW",Reading,24,1997,17.8,776,45,202,424,155,11,776,14,24,58.3,21,11,421,12,Matches
569,570,Marc Roberts,eng ENG,DF,Birmingham City,31,1990,37.4,2135,228,907,877,366,40,2135,6,8,75.0,17,10,656,10,Matches
570,571,Mitchell Roberts,eng ENG,DF,Birmingham City,20,2000,1.0,38,3,12,25,1,0,38,0,0,,0,0,14,1,Matches
571,572,Antonee Robinson,us USA,DF,Fulham,23,1997,33.7,2807,87,776,1310,745,42,2807,37,78,47.4,54,28,1787,94,Matches
572,573,Callum Robinson,ie IRL,"FW,MF",West Brom,26,1995,26.6,961,5,70,376,524,111,961,23,49,46.9,58,36,707,194,Matches
573,574,Darren Robinson,nir NIR,FW,Derby County,16,2004,0.1,14,0,1,12,1,0,14,1,2,50.0,0,0,11,0,Matches
