,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
91,92,Unai Bilbao,es ESP,DF,Atlético,27,1994,32.6,23,0.71,16,1,0,2,2,2,4,0.12,2,0,0,1,0,1,Matches
92,93,Alfonso Blanco Antúnez,mx MEX,GK,León,34,1987,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
93,94,Antonio Briseño,mx MEX,DF,Guadalajara,27,1994,17.3,11,0.64,7,0,0,3,0,1,0,0.00,0,0,0,0,0,0,Matches
94,95,Isaác Brizuela,mx MEX,"DF,FW",Guadalajara,30,1990,21.2,53,2.50,43,1,5,0,4,0,5,0.24,3,0,1,0,1,0,Matches
95,96,Gil Burón,mx MEX,"DF,MF",León,27,1994,0.5,1,2.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
96,97,Gustavo Cabral,ar ARG,DF,Pachuca,35,1985,29.6,14,0.47,7,3,0,3,0,1,3,0.10,1,1,0,1,0,0,Matches
97,98,David Cabrera Pujol,mx MEX,MF,Querétaro,31,1989,8.4,23,2.73,11,10,0,0,0,2,1,0.12,1,0,0,0,0,0,Matches
98,99,Sebastián Cáceres,uy URU,DF,América,21,1999,17.5,8,0.46,6,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
99,100,José Caicedo,co COL,DF,UNAM,19,2002,1.0,2,2.00,1,0,0,1,0,0,1,1.00,0,0,0,1,0,0,Matches
100,101,Cristian Calderón,mx MEX,"DF,FW",Guadalajara,24,1997,12.8,25,1.95,16,1,2,2,4,0,3,0.23,2,0,0,0,1,0,Matches
101,102,Luis Calzadilla,mx MEX,"MF,FW",Atlético,21,2000,1.0,2,2.00,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
102,103,Joel Campbell,cr CRC,"FW,MF",Monterrey,29,1992,17.0,83,4.89,58,10,6,0,9,0,6,0.35,2,0,2,0,2,0,Matches
103,104,Karel Campos,mx MEX,"MF,DF",América,18,2003,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
104,105,Omar Campos,mx MEX,DF,Santos,19,2002,23.3,45,1.93,30,4,1,1,7,2,5,0.21,3,1,0,0,1,0,Matches
105,106,Alexis Canelo,ar ARG,"FW,MF",Toluca,29,1992,22.8,68,2.99,46,0,7,5,10,0,6,0.26,4,0,1,0,1,0,Matches
106,107,Luis Cárdenas,mx MEX,GK,Monterrey,27,1993,3.0,1,0.33,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
107,108,Ulises Cardona,mx MEX,"FW,MF",Mazatlán,22,1998,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
108,109,Rafael Carioca,br BRA,MF,UANL,32,1989,27.7,81,2.92,54,17,1,4,2,3,7,0.25,5,1,0,0,1,0,Matches
109,110,Miguel Carreón,mx MEX,FW,UNAM,17,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,111,Jordan Carrillo,mx MEX,"FW,MF",Santos,19,2001,10.2,40,3.91,16,0,11,3,8,2,4,0.39,2,0,1,0,1,0,Matches
111,112,Kevin Castañeda,mx MEX,"MF,FW",Toluca,21,1999,17.7,76,4.29,54,7,3,4,7,1,7,0.40,6,0,0,0,1,0,Matches
112,113,César Castillo,mx MEX,MF,Tijuana,20,2000,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
