,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
112,113,Mateo Cassierra,co COL,FW,B-SAD,24,1997,1.9,49,0,2,30,17,1,49,2,3,66.7,7,2,40,6,Matches
113,114,Moises Castillo,co COL,"DF,FW",Marítimo,20,2001,0.2,5,1,4,1,0,0,5,0,0,,0,0,3,0,Matches
114,115,André Castro,pt POR,MF,Braga,33,1988,12.8,711,23,127,444,151,23,711,5,9,55.6,17,5,433,27,Matches
115,116,Tomás Castro,pt POR,MF,B-SAD,22,1999,0.6,42,0,11,20,11,0,42,1,1,100.0,1,1,26,0,Matches
116,117,Geny Catamo,mz MOZ,DF,Sporting CP,20,2001,0.3,29,0,4,15,10,1,29,0,1,0.0,3,0,14,1,Matches
117,118,Geny Catamo,mz MOZ,"FW,MF",Vitória,20,2001,2.5,116,1,10,60,49,8,116,8,13,61.5,8,9,100,18,Matches
118,119,Charles,br BRA,GK,FC Vizela,27,1994,14.0,451,409,450,1,0,0,451,0,0,,1,0,118,0,Matches
119,120,Francisco Chico,pt POR,"MF,FW",B-SAD,23,1998,6.1,259,5,48,126,88,7,259,5,10,50.0,8,8,162,17,Matches
120,121,Fábio China,pt POR,DF,Marítimo,29,1992,6.4,442,23,177,210,66,2,442,11,20,55.0,16,12,249,9,Matches
121,122,Chiquinho,pt POR,FW,Estoril,21,2000,9.3,294,5,44,58,197,39,294,20,39,51.3,25,17,195,46,Matches
122,123,Chiquinho,pt POR,"MF,FW",Braga,26,1995,2.3,110,5,19,51,41,9,110,5,9,55.6,7,3,88,17,Matches
123,124,André Clóvis,br BRA,FW,Estoril,23,1997,9.7,241,6,25,94,126,35,240,4,10,40.0,27,10,154,40,Matches
124,125,Sebastián Coates,uy URU,DF,Sporting CP,30,1990,29.3,2272,125,846,1365,77,58,2272,12,17,70.6,15,9,1672,9,Matches
125,126,Racine Coly,sn SEN,DF,Estoril,25,1995,1.9,106,2,37,44,25,0,106,0,0,,3,3,63,2,Matches
126,127,Francisco Conceição,pt POR,"MF,FW",Porto,18,2002,5.5,334,3,20,111,204,58,334,15,28,53.6,24,9,253,44,Matches
127,128,Rodrigo Conceição,pt POR,"DF,MF",Moreirense,21,2000,4.3,265,13,62,110,98,12,265,11,23,47.8,16,6,149,14,Matches
128,129,Abdu Conté,pt POR,"DF,MF",Moreirense,23,1998,15.3,847,31,228,384,257,22,847,23,36,63.9,25,6,499,42,Matches
129,130,Jeriel Córdova,ve VEN,"FW,MF",Boavista,19,2002,2.3,90,2,5,37,48,10,90,3,5,60.0,5,5,68,17,Matches
130,131,Jesús Corona,mx MEX,"DF,MF",Porto,28,1993,4.3,337,3,51,155,132,11,337,4,10,40.0,11,6,259,23,Matches
131,132,Alexandre Manuel Penetra Correia,pt POR,DF,Famalicão,19,2001,28.9,1748,157,879,802,73,12,1748,3,6,50.0,9,1,1123,2,Matches
132,133,Rui Filipe Cunha Correia,pt POR,MF,Santa Clara,26,1995,13.4,707,26,205,446,67,3,707,5,12,41.7,17,10,474,11,Matches
133,134,Bruno Xavier Almeida Costa,pt POR,"MF,DF",Porto,24,1997,7.5,554,9,102,372,83,6,554,3,6,50.0,7,2,387,9,Matches
134,135,Diogo Costa,pt POR,GK,Porto,21,1999,33.0,1264,1013,1261,3,0,0,1264,0,0,,0,0,779,0,Matches
135,136,Edgar Costa,pt POR,"MF,FW",Marítimo,34,1987,14.4,702,12,93,401,219,8,702,8,20,40.0,26,18,476,45,Matches
136,137,Matheus Costa,br BRA,DF,Marítimo,26,1995,21.1,1366,161,806,532,42,24,1366,7,10,70.0,15,3,876,4,Matches
137,138,Murilo Costa,br BRA,"FW,MF",Gil Vicente FC,26,1994,9.4,502,15,73,236,203,30,502,32,55,58.2,26,19,325,57,Matches
138,139,Diogo Costa Rodrigues,pt POR,MF,Portimonense,21,1999,0.1,4,1,2,2,0,0,4,0,0,,0,0,2,0,Matches
139,140,Rui Costa,pt POR,FW,Santa Clara,25,1996,21.8,667,14,64,305,314,61,667,29,76,38.2,66,28,431,105,Matches
140,141,Tomás Costa Silva,pt POR,"FW,MF",FC Vizela,21,1999,0.4,27,1,5,9,13,3,27,0,1,0.0,0,0,19,2,Matches
141,142,Vitor Costa,br BRA,DF,Marítimo,27,1994,28.4,1887,114,766,870,281,17,1887,30,40,75.0,41,14,1041,49,Matches
142,143,Costinha,pt POR,FW,Santa Clara,28,1992,0.9,46,1,4,21,21,0,46,2,4,50.0,1,1,31,4,Matches
143,144,Filipe Couto,pt POR,MF,Marítimo,27,1994,0.2,19,1,6,13,0,0,19,0,0,,0,0,17,0,Matches
144,145,Yan Couto,br BRA,"DF,MF",Braga,19,2002,20.0,1486,24,296,686,524,53,1486,32,56,57.1,54,18,978,77,Matches
145,146,Crespo,pt POR,"MF,FW",Estoril,24,1996,2.9,99,6,20,34,46,6,99,2,6,33.3,5,6,62,9,Matches
146,147,Sandro Cruz,pt POR,DF,Benfica,20,2001,1.8,106,7,40,51,15,0,106,0,1,0.0,1,0,63,2,Matches
147,148,Crysan,br BRA,FW,Santa Clara,25,1996,15.9,739,17,78,401,279,67,738,33,67,49.3,56,35,526,73,Matches
148,149,Lucas Cunha,br BRA,DF,Gil Vicente FC,24,1997,32.0,2441,299,1165,1222,61,12,2441,2,2,100.0,6,3,1817,2,Matches
149,150,Sessi D'Almeida,bj BEN,MF,Tondela,25,1995,2.4,90,2,28,49,14,2,90,3,4,75.0,3,3,45,0,Matches
150,151,Oday Dabbagh,ps PLE,"FW,MF",Arouca,22,1998,7.6,306,6,26,111,173,49,306,4,7,57.1,29,14,209,67,Matches
151,152,Julien Dacosta,fr FRA,"DF,MF",Portimonense,25,1996,4.4,169,15,70,64,35,7,169,1,4,25.0,4,3,84,7,Matches
152,153,Renat Dadaşov,az AZE,FW,Tondela,22,1999,16.0,532,24,61,272,206,58,532,31,51,60.8,65,35,364,57,Matches
153,154,Dalberson,br BRA,GK,Famalicão,24,1997,2.0,61,51,61,0,0,0,61,0,0,,0,0,28,0,Matches
154,155,Daniel,br BRA,FW,Tondela,25,1996,17.7,563,23,64,292,217,48,562,20,36,55.6,72,24,434,90,Matches
