,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
85,86,Lucas Copado,de GER,FW,Bayern Munich,17,2004,0.2,3,4,75.0,24,4,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
86,87,Sergio Córdova,ve VEN,"FW,MF",Augsburg,23,1997,3.6,34,51,66.7,527,132,20,29,69.0,11,16,68.8,2,4,50.0,0,0.1,0.1,-0.1,2,4,1,0,5,Matches
87,88,Danny da Costa,de GER,"DF,MF",Eint Frankfurt,28,1993,8.1,213,319,66.8,3932,1829,76,102,74.5,114,153,74.5,19,45,42.2,0,0.1,0.3,-0.1,2,12,7,3,26,Matches
88,89,Tanguy Coulibaly,fr FRA,"FW,MF",Stuttgart,20,2001,12.0,239,326,73.3,3274,690,147,180,81.7,75,101,74.3,9,19,47.4,1,1.0,0.6,0.0,8,11,6,2,10,Matches
89,90,Mickaël Cuisance,fr FRA,MF,Bayern Munich,21,1999,0.1,10,11,90.9,176,64,3,3,100.0,4,4,100.0,2,3,66.7,0,0.5,0.2,-0.5,1,2,0,0,3,Matches
90,91,Matheus Cunha,br BRA,FW,Hertha BSC,22,1999,0.7,11,13,84.6,170,30,6,6,100.0,5,6,83.3,0,0,,1,0.9,0.8,+0.1,1,0,0,0,0,Matches
91,92,Rafael Czichos,de GER,DF,Köln,31,1990,15.6,879,1080,81.4,19534,8173,188,223,84.3,535,598,89.5,151,232,65.1,1,0.3,0.5,+0.7,2,59,5,0,67,Matches
92,93,Lennart-Marten Czyborra,de GER,DF,Arminia,22,1999,1.5,26,54,48.1,431,190,11,13,84.6,13,28,46.4,1,8,12.5,0,0.0,0.0,0.0,0,1,1,1,2,Matches
93,94,Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,29,1992,14.6,365,497,73.4,5049,1368,216,266,81.2,102,129,79.1,22,33,66.7,4,2.8,3.2,+1.2,16,27,13,2,38,Matches
94,95,Finn Dahmen,de GER,GK,Mainz 05,23,1998,2.0,66,79,83.5,1374,725,22,22,100.0,33,33,100.0,11,24,45.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches
95,96,Mahmoud Dahoud,de GER,MF,Dortmund,25,1996,18.4,833,1063,78.4,13856,4284,398,456,87.3,323,390,82.8,72,127,56.7,3,3.3,3.3,-0.3,28,87,24,2,91,Matches
96,97,Márton Dárdai,de GER,DF,Hertha BSC,19,2002,8.4,265,375,70.7,6315,2618,50,65,76.9,152,179,84.9,61,117,52.1,1,0.2,0.4,+0.8,2,28,0,0,18,Matches
97,98,Vladimír Darida,cz CZE,MF,Hertha BSC,30,1990,19.8,680,946,71.9,11575,3856,320,374,85.6,248,321,77.3,76,153,49.7,5,3.5,2.6,+1.5,34,57,18,5,70,Matches
98,99,Alphonso Davies,ca CAN,DF,Bayern Munich,20,2000,19.3,1106,1322,83.7,16408,4267,649,724,89.6,392,462,84.8,45,78,57.7,3,4.1,4.5,-1.1,34,55,39,7,90,Matches
99,100,Saulo Decarli,ch SUI,DF,Bochum,29,1992,0.1,6,6,100.0,124,9,2,2,100.0,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
100,101,Thomas Delaney,dk DEN,MF,Dortmund,29,1991,0.2,8,11,72.7,80,23,5,6,83.3,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
101,102,Kerem Demirbay,de GER,MF,Leverkusen,28,1993,22.8,1070,1413,75.7,20782,7644,444,510,87.1,391,477,82.0,187,322,58.1,4,5.1,4.7,-1.1,46,128,28,2,112,Matches
102,103,Ermedin Demirović,ba BIH,FW,Freiburg,23,1998,9.7,104,171,60.8,1294,258,63,91,69.2,27,39,69.2,3,9,33.3,3,1.7,1.5,+1.3,10,2,6,1,7,Matches
103,104,Mike van der Hoorn,nl NED,DF,Arminia,28,1992,0.2,2,2,100.0,51,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
104,105,Moussa Diaby,fr FRA,"FW,MF",Leverkusen,22,1999,30.7,738,1015,72.7,11776,3082,373,444,84.0,271,339,79.9,60,112,53.6,12,9.9,9.9,+2.1,60,54,57,14,89,Matches
105,106,Daniel Didavi,de GER,"MF,FW",Stuttgart,31,1990,3.1,72,110,65.5,1151,253,32,45,71.1,30,37,81.1,5,12,41.7,1,0.7,0.2,+0.3,6,4,3,0,6,Matches
106,107,Javairô Dilrosun,nl NED,FW,Hertha BSC,23,1998,1.5,26,33,78.8,364,122,19,22,86.4,5,7,71.4,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
107,108,Lee Dongjun,kr KOR,"MF,FW",Hertha BSC,24,1997,1.3,12,17,70.6,114,28,10,10,100.0,1,5,20.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
108,109,Niklas Dorsch,de GER,MF,Augsburg,23,1998,25.8,905,1097,82.5,18988,5593,301,340,88.5,417,469,88.9,173,247,70.0,0,0.7,1.0,-0.7,14,66,5,2,59,Matches
109,110,Ondrej Duda,sk SVK,"MF,FW",Köln,26,1994,17.9,491,678,72.4,8134,2309,237,304,78.0,164,222,73.9,60,83,72.3,0,2.6,2.1,-2.6,20,58,16,2,54,Matches
110,111,Jeremy Dudziak,tn TUN,"MF,FW",Greuther Fürth,25,1995,12.6,222,341,65.1,3339,1028,118,159,74.2,74,99,74.7,15,39,38.5,0,1.4,1.4,-1.4,13,19,8,3,25,Matches
111,112,Erik Durm,de GER,DF,Eint Frankfurt,29,1992,5.3,183,278,65.8,3324,1157,74,88,84.1,89,123,72.4,18,53,34.0,1,0.4,0.3,+0.6,3,15,4,2,18,Matches
112,113,Maximilian Eggestein,de GER,MF,Freiburg,24,1996,24.4,690,942,73.2,10366,3363,387,470,82.3,232,314,73.9,42,77,54.5,2,1.4,1.6,+0.6,23,89,21,2,79,Matches
113,114,Lilian Egloff,de GER,"MF,DF",Stuttgart,18,2002,0.3,6,9,66.7,74,30,4,4,100.0,2,2,100.0,0,2,0.0,0,0.2,0.1,-0.2,1,1,0,0,1,Matches
114,115,Kingsley Ehizibue,nl NED,DF,Köln,26,1995,7.6,248,364,68.1,4515,1989,110,126,87.3,107,145,73.8,29,66,43.9,1,0.9,0.7,+0.1,9,19,10,6,21,Matches
115,116,Julian Eitschberger,de GER,DF,Hertha BSC,17,2004,0.5,20,32,62.5,268,68,13,20,65.0,5,6,83.3,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,1,Matches
116,117,Jurgen Ekkelenkamp,nl NED,"MF,FW",Hertha BSC,21,2000,8.0,165,241,68.5,2197,520,96,119,80.7,45,67,67.2,7,16,43.8,0,0.6,0.4,-0.6,8,12,4,0,15,Matches
