,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
105,106,Alexis Canelo,ar ARG,"FW,MF",Toluca,29,1992,22.8,598,588,7,3,1,3,23,1,0,0,0,0,403,3,24,Matches
106,107,Luis Cárdenas,mx MEX,GK,Monterrey,27,1993,3.0,89,56,33,11,0,0,0,0,0,0,0,0,67,0,0,Matches
107,108,Ulises Cardona,mx MEX,"FW,MF",Mazatlán,22,1998,0.2,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
108,109,Rafael Carioca,br BRA,MF,UANL,32,1989,27.7,1596,1456,132,80,2,20,54,6,46,26,7,0,1394,8,14,Matches
109,110,Miguel Carreón,mx MEX,FW,UNAM,17,2004,0.1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
110,111,Jordan Carrillo,mx MEX,"FW,MF",Santos,19,2001,10.2,304,292,11,6,0,5,16,5,0,0,0,0,234,1,6,Matches
111,112,Kevin Castañeda,mx MEX,"MF,FW",Toluca,21,1999,17.7,882,818,60,26,2,11,52,3,31,11,11,0,713,4,18,Matches
112,113,César Castillo,mx MEX,MF,Tijuana,20,2000,0.5,23,23,0,0,0,0,0,0,0,0,0,0,18,0,1,Matches
113,114,Christian Castillo,cl CHI,"FW,MF",Tijuana,24,1996,1.8,69,66,3,3,0,0,4,0,0,0,0,0,58,0,1,Matches
114,115,Erick Castillo,ec ECU,"FW,MF",Tijuana,26,1995,6.6,149,134,15,2,0,0,12,12,1,0,1,0,97,0,6,Matches
115,116,Fabián Castillo,co COL,"MF,FW",FC Juárez,29,1992,17.2,482,468,11,0,0,2,27,3,6,4,1,0,361,3,21,Matches
116,117,Nicolás Castillo,cl CHI,FW,Necaxa,28,1993,0.6,9,6,3,0,0,0,0,0,0,0,0,0,8,0,0,Matches
117,118,José Castillo Pérez,mx MEX,"DF,MF",Pachuca,19,2001,0.2,10,6,4,0,0,1,0,4,0,0,0,0,7,0,0,Matches
118,119,Raúl Castillo,mx MEX,"DF,MF",Puebla,19,2001,0.3,13,13,0,0,0,0,1,0,0,0,0,0,12,0,0,Matches
119,120,Matías Catalán,ar ARG,"DF,FW",Pachuca,28,1992,7.9,318,251,67,5,1,5,17,62,0,0,0,0,213,0,2,Matches
120,121,Alan Cervantes,mx MEX,MF,Santos,23,1998,23.1,909,865,42,28,0,14,15,12,0,0,0,0,763,2,12,Matches
121,122,Daniel Cervantes,mx MEX,DF,Querétaro,31,1990,12.7,398,380,18,16,0,2,0,2,0,0,0,0,323,0,5,Matches
122,123,Pablo César Aguilar,py PAR,DF,Cruz Azul,34,1987,28.1,1239,1151,85,63,1,20,2,17,0,0,0,0,973,3,12,Matches
123,124,Pablo César López,mx MEX,"MF,DF",Pachuca,23,1998,0.8,39,34,5,0,0,1,5,3,2,0,1,0,31,0,2,Matches
