,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
564,565,Raúl Torrente,es ESP,DF,Granada,19,2001,14.2,0,4,0,0.0,0.28,0.00,0.00,,14.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
565,566,Ferrán Torres,es ESP,FW,Barcelona,21,2000,15.7,4,51,18,35.3,3.25,1.15,0.06,0.17,16.5,3,1,1,7.2,6.4,0.13,-3.2,-3.4,Matches
566,567,Óliver Torres,es ESP,"MF,FW",Sevilla,26,1994,11.2,2,14,5,35.7,1.25,0.45,0.14,0.40,19.1,0,0,0,1.0,1.0,0.07,+1.0,+1.0,Matches
567,568,Pau Torres,es ESP,DF,Villarreal,24,1997,31.7,5,24,9,37.5,0.76,0.28,0.21,0.56,8.2,0,0,0,3.9,3.9,0.17,+1.1,+1.1,Matches
568,569,Roberto Torres,es ESP,"MF,FW",Osasuna,32,1989,9.0,2,13,3,23.1,1.45,0.33,0.00,0.00,25.0,0,2,2,2.2,0.6,0.05,-0.2,-0.6,Matches
569,570,Lucas Torró,es ESP,MF,Osasuna,27,1994,30.3,1,34,9,26.5,1.12,0.30,0.03,0.11,21.1,0,0,0,2.0,2.0,0.06,-1.0,-1.0,Matches
570,571,Adama Traoré,es ESP,FW,Barcelona,25,1996,4.2,0,9,3,33.3,2.12,0.71,0.00,0.00,15.1,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
571,572,Óscar Trejo,ar ARG,MF,Rayo Vallecano,33,1988,22.3,3,20,6,30.0,0.90,0.27,0.00,0.00,25.5,0,3,3,3.8,1.5,0.07,-0.8,-1.5,Matches
572,573,Manu Trigueros,es ESP,"MF,FW",Villarreal,29,1991,24.2,6,41,18,43.9,1.69,0.74,0.15,0.33,17.6,0,0,0,6.2,6.2,0.15,-0.2,-0.2,Matches
573,574,Kieran Trippier,eng ENG,"DF,FW",Atlético Madrid,30,1990,10.8,0,2,0,0.0,0.18,0.00,0.00,,18.9,1,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
574,575,Beñat Turrientes,es ESP,MF,Real Sociedad,19,2002,2.3,0,7,2,28.6,3.04,0.87,0.00,0.00,23.2,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
575,576,Samuel Umtiti,fr FRA,DF,Barcelona,27,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
576,577,Enes Ünal,tr TUR,FW,Getafe,24,1997,31.1,16,82,24,29.3,2.64,0.77,0.17,0.58,16.5,7,2,4,11.0,7.9,0.10,+5.0,+6.1,Matches
577,578,Myrto Uzuni,al ALB,"FW,MF",Granada,26,1995,9.5,1,11,2,18.2,1.16,0.21,0.09,0.50,20.7,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
578,579,Álvaro Vadillo,es ESP,"DF,MF",Espanyol,26,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
579,580,Óscar Valentín,es ESP,MF,Rayo Vallecano,26,1994,28.5,0,11,1,9.1,0.39,0.04,0.00,0.00,19.9,0,0,0,1.6,1.6,0.14,-1.6,-1.6,Matches
580,581,Germán Valera,es ESP,FW,Real Sociedad,19,2002,0.6,0,1,0,0.0,1.76,0.00,0.00,,25.8,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
581,582,Martin Valjent,sk SVK,DF,Mallorca,25,1995,35.3,0,10,1,10.0,0.28,0.03,0.00,0.00,28.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
582,583,Jesús Vallejo,es ESP,DF,Real Madrid,24,1997,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
583,584,Manu Vallejo,es ESP,"MF,FW",Alavés,24,1997,4.1,1,3,2,66.7,0.73,0.49,0.33,0.50,12.8,0,0,0,0.7,0.7,0.23,+0.3,+0.3,Matches
584,585,Manu Vallejo,es ESP,"FW,MF",Valencia,24,1997,1.1,0,3,1,33.3,2.76,0.92,0.00,0.00,20.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
585,586,Federico Valverde,uy URU,MF,Real Madrid,23,1998,20.4,0,34,9,26.5,1.67,0.44,0.00,0.00,25.7,0,0,0,1.5,1.5,0.04,-1.5,-1.5,Matches
586,587,José Luis García Vayá,es ESP,MF,Levante,22,1998,22.4,0,14,2,14.3,0.63,0.09,0.00,0.00,23.5,2,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
587,588,Jesus Vazquez,es ESP,DF,Valencia,18,2003,9.0,0,4,1,25.0,0.44,0.11,0.00,0.00,15.9,0,0,0,0.7,0.7,0.18,-0.7,-0.7,Matches
588,589,Kevin Vázquez,es ESP,DF,Celta Vigo,28,1993,14.8,0,3,1,33.3,0.20,0.07,0.00,0.00,9.4,0,0,0,0.6,0.6,0.19,-0.6,-0.6,Matches
589,590,Lucas Vázquez,es ESP,DF,Real Madrid,30,1991,20.4,3,18,5,27.8,0.88,0.25,0.17,0.60,20.6,0,0,0,2.2,2.2,0.12,+0.8,+0.8,Matches
590,591,Gabriel Veiga,es ESP,MF,Celta Vigo,19,2002,1.2,0,2,0,0.0,1.67,0.00,0.00,,28.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
591,592,Unai Vencedor Paris,es ESP,MF,Athletic Club,20,2000,26.5,0,20,2,10.0,0.76,0.08,0.00,0.00,21.0,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches
592,593,Gonzalo Verdú,es ESP,DF,Elche,32,1988,15.5,0,3,0,0.0,0.19,0.00,0.00,,17.6,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
593,594,Mikel Vesga,es ESP,MF,Athletic Club,28,1993,15.1,2,14,4,28.6,0.93,0.27,0.14,0.50,17.9,0,0,0,1.2,1.2,0.09,+0.8,+0.8,Matches
594,595,Rúben Vezo,pt POR,DF,Levante,27,1994,26.9,0,18,4,22.2,0.67,0.15,0.00,0.00,13.4,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
595,596,Aleix Vidal,es ESP,"DF,MF",Espanyol,31,1989,21.1,2,6,3,50.0,0.28,0.14,0.33,0.67,18.4,0,0,0,0.9,0.9,0.15,+1.1,+1.1,Matches
596,597,Nacho Vidal,es ESP,DF,Osasuna,26,1995,32.2,0,21,1,4.8,0.65,0.03,0.00,0.00,19.3,0,0,0,1.5,1.5,0.07,-1.5,-1.5,Matches
597,598,Dídac Vilà,es ESP,"DF,MF",Espanyol,32,1989,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
598,599,Tonny Vilhena,nl NED,"MF,FW",Espanyol,26,1995,10.3,1,15,3,20.0,1.45,0.29,0.07,0.33,21.1,0,0,0,1.0,1.0,0.07,0.0,0.0,Matches
599,600,Daniel Villahermosa,es ESP,MF,Espanyol,20,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
600,601,Asier Villalibre,es ESP,FW,Athletic Club,23,1997,6.1,2,19,6,31.6,3.12,0.99,0.11,0.33,12.3,0,0,0,2.7,2.7,0.14,-0.7,-0.7,Matches
601,602,Gonzalo Villar,es ESP,MF,Getafe,23,1998,3.3,0,2,2,100.0,0.60,0.60,0.00,0.00,20.4,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches
602,603,Vitolo,es ESP,MF,Getafe,31,1989,2.5,0,1,0,0.0,0.41,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
603,604,Daniel Vivian,es ESP,DF,Athletic Club,22,1999,22.1,2,17,8,47.1,0.77,0.36,0.12,0.25,12.6,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
604,605,Šime Vrsaljko,hr CRO,DF,Atlético Madrid,29,1992,10.2,1,4,1,25.0,0.39,0.10,0.25,1.00,13.4,0,0,0,1.1,1.1,0.29,-0.1,-0.1,Matches
605,606,Nikola Vukčević,me MNE,MF,Levante,29,1991,1.3,0,1,0,0.0,0.76,0.00,0.00,,32.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
606,607,Daniel Wass,dk DEN,"DF,FW",Atlético Madrid,32,1989,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
607,608,Daniel Wass,dk DEN,MF,Valencia,32,1989,17.6,1,28,8,28.6,1.59,0.46,0.04,0.13,24.5,1,0,0,2.2,2.2,0.08,-1.2,-1.2,Matches
608,609,Iñaki Williams,gh GHA,FW,Athletic Club,27,1994,30.9,8,94,35,37.2,3.05,1.13,0.07,0.20,14.0,0,1,1,15.0,14.2,0.15,-7.0,-7.2,Matches
609,610,Nico Williams,es ESP,MF,Athletic Club,19,2002,14.9,0,33,10,30.3,2.22,0.67,0.00,0.00,15.5,0,0,0,3.5,3.5,0.11,-3.5,-3.5,Matches
610,611,Okay Yokuşlu,tr TUR,"DF,MF",Getafe,27,1994,5.2,0,4,1,25.0,0.77,0.19,0.00,0.00,14.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
611,612,Okay Yokuşlu,tr TUR,"DF,MF",Celta Vigo,27,1994,1.6,0,2,0,0.0,1.29,0.00,0.00,,10.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
612,613,Joseba Zaldúa,es ESP,DF,Real Sociedad,29,1992,13.0,0,6,3,50.0,0.46,0.23,0.00,0.00,26.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
613,614,Oier Zarraga,es ESP,MF,Athletic Club,22,1999,13.0,1,17,3,17.6,1.31,0.23,0.00,0.00,25.5,0,1,1,1.5,0.7,0.04,-0.5,-0.7,Matches
614,615,Luca Zidane,fr FRA,GK,Rayo Vallecano,23,1998,7.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
