,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
155,156,Kadin Chung,ca CAN,DF,Toronto FC,23,1998,5.0,246,207,39,4,0,1,12,34,1,0,1,0,197,0,4,Matches
156,157,José Cifuentes,ec ECU,MF,Los Angeles FC,22,1999,26.1,1208,1165,37,10,15,9,46,12,15,9,5,0,946,6,23,Matches
157,158,Ronaldo Cisneros,mx MEX,FW,Atlanta Utd,25,1997,19.2,324,290,33,0,0,1,8,1,0,0,0,0,252,1,11,Matches
158,159,Abdoulaye Cissoko,fr FRA,DF,Seattle,22,1999,4.5,261,252,9,5,0,5,0,4,0,0,0,0,228,0,2,Matches
159,160,Caden Clark,us USA,"FW,MF",NY Red Bulls,18,2003,5.4,103,100,2,0,2,0,2,1,0,0,0,0,63,1,4,Matches
160,161,Steve Clark,us USA,GK,Houston Dynamo,35,1986,32.3,1201,815,385,72,0,1,0,2,0,0,0,0,949,1,0,Matches
161,162,Stefan Cleveland,us USA,GK,Seattle,27,1994,7.0,232,150,82,14,0,2,0,0,0,0,0,0,179,0,0,Matches
162,163,Jackson Conway,us USA,"FW,MF",Atlanta Utd,20,2001,0.4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
163,164,Gabriele Corbo,it ITA,DF,CF Montréal,22,2000,12.6,681,647,32,26,1,16,6,6,0,0,0,0,582,2,8,Matches
164,165,Sergio Córdova,ve VEN,"FW,MF",Real Salt Lake,24,1997,25.3,450,430,17,3,3,1,13,6,0,0,0,0,317,3,9,Matches
165,166,Carlos Coronel,br BRA,GK,NY Red Bulls,25,1996,33.0,912,577,334,123,0,0,0,0,0,0,0,0,493,1,1,Matches
166,167,Washington Corozo,ec ECU,"MF,FW",Austin,23,1998,0.6,18,17,1,0,0,0,3,1,0,0,0,0,15,0,0,Matches
167,168,Guzmán Corujo,uy URU,DF,Charlotte,25,1996,22.9,1215,1181,32,28,1,18,1,4,0,0,0,0,1038,2,7,Matches
168,169,Douglas Costa,br BRA,"MF,FW",LA Galaxy,31,1990,15.6,927,854,69,14,6,26,82,10,43,22,9,0,725,4,17,Matches
