,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
86,87,Callum Brittain,eng ENG,"DF,MF",Barnsley,23,1998,34.1,8,0,0,38,22,3,125,40,42,0,0,0,232,54,42,56.3,Matches
87,88,David Brooks,wls WAL,"FW,MF",Bournemouth,24,1997,5.6,3,1,1,9,4,1,5,4,2,0,0,0,35,0,4,0.0,Matches
88,89,Ciaron Brown,nir NIR,DF,Cardiff City,23,1998,4.7,0,0,0,1,6,0,11,12,3,0,0,0,23,11,14,44.0,Matches
89,90,Jacob Brown,sct SCO,FW,Stoke City,23,1998,36.1,8,0,0,48,66,26,38,16,27,0,0,0,132,115,164,41.2,Matches
90,91,James Brown,ie IRL,DF,Blackburn,23,1998,1.0,0,0,0,1,0,0,0,3,4,0,0,0,5,0,1,0.0,Matches
91,92,Reece Brown,eng ENG,MF,P'borough Utd,25,1996,5.0,2,0,0,6,3,0,4,9,1,0,0,0,38,7,4,63.6,Matches
92,93,Alan Browne,ie IRL,MF,Preston,26,1995,35.7,6,1,1,57,74,1,40,41,43,0,0,0,256,74,89,45.4,Matches
93,94,Joe Bryan,eng ENG,DF,Fulham,27,1993,11.6,3,0,0,19,20,0,35,21,20,0,0,0,60,21,18,53.8,Matches
94,95,Kean Bryan,eng ENG,"DF,FW",West Brom,24,1996,0.5,0,0,0,1,0,0,0,0,0,0,0,0,3,1,3,25.0,Matches
95,96,Lee Buchanan,eng ENG,DF,Derby County,20,2001,24.7,4,0,0,19,29,5,39,24,28,0,1,1,118,78,76,50.6,Matches
96,97,John Buckley,eng ENG,"MF,FW",Blackburn,21,1999,34.8,13,0,0,46,69,3,66,41,52,0,0,0,210,24,46,34.3,Matches
97,98,Tyler Burey,eng ENG,"FW,MF",Millwall,19,2001,6.9,2,0,0,8,9,2,12,1,2,0,0,0,21,4,15,21.1,Matches
98,99,Oliver Burke,sct SCO,FW,Sheffield Utd,24,1997,1.9,0,0,0,0,2,0,2,0,0,0,0,0,6,1,2,33.3,Matches
99,100,Oliver Burke,sct SCO,"FW,MF",Millwall,24,1997,9.0,0,0,0,7,6,3,12,4,7,0,0,0,23,23,33,41.1,Matches
100,101,Reece Burke,eng ENG,DF,Luton Town,24,1996,23.5,5,1,0,22,16,0,24,33,21,0,1,0,90,72,42,63.2,Matches
101,102,Finley Burns,eng ENG,DF,Swansea City,18,2003,2.3,0,0,0,1,4,0,0,3,2,0,0,0,10,2,2,50.0,Matches
102,103,Harrison Burrows,eng ENG,"DF,MF",P'borough Utd,19,2002,29.0,4,0,0,32,36,6,128,36,38,0,1,0,157,35,62,36.1,Matches
103,104,Josef Bursik,eng ENG,GK,Stoke City,21,2000,19.0,1,0,0,1,2,0,0,0,1,0,1,0,24,5,1,83.3,Matches
104,105,Dan Butler,eng ENG,DF,P'borough Utd,26,1994,18.5,6,0,0,21,8,1,75,21,22,0,1,0,98,40,25,61.5,Matches
105,106,Daniel Butterworth,eng ENG,"FW,MF",Blackburn,21,1999,2.9,1,0,0,5,4,4,2,0,0,0,0,0,22,0,5,0.0,Matches
106,107,David Button,eng ENG,GK,West Brom,32,1989,10.0,0,0,0,0,2,0,0,0,0,0,0,0,24,1,1,50.0,Matches
107,108,Nathan Byrne,eng ENG,DF,Derby County,29,1992,40.7,13,1,1,37,61,4,141,35,39,0,0,0,193,37,62,37.4,Matches
108,109,Benjamin Cabango,wls WAL,DF,Swansea City,21,2000,34.1,7,0,0,34,37,1,6,47,28,0,0,1,149,81,68,54.4,Matches
109,110,Rafael Cabral,br BRA,GK,Reading,31,1990,6.0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,Matches
110,111,Cafú,pt POR,MF,Nott'ham Forest,28,1993,4.0,1,0,0,3,9,0,0,1,2,0,0,0,26,4,6,40.0,Matches
111,112,Gary Cahill,eng ENG,DF,Bournemouth,35,1985,21.5,4,1,1,12,13,0,0,26,11,0,0,0,118,80,46,63.5,Matches
112,113,Tom Cairney,sct SCO,MF,Fulham,30,1991,17.2,2,0,0,12,13,0,37,4,12,0,0,0,93,10,12,45.5,Matches
113,114,Mamadi Camará,gw GNB,"FW,MF",Reading,17,2003,1.7,0,0,0,1,3,0,0,5,4,0,0,0,9,2,2,50.0,Matches
114,115,Allan Campbell,sct SCO,MF,Luton Town,23,1998,28.7,8,0,0,44,17,2,16,22,33,0,0,0,145,18,43,29.5,Matches
115,116,Fraizer Campbell,eng ENG,FW,Huddersfield,33,1987,6.8,3,0,0,19,14,2,0,7,8,0,0,0,22,14,25,35.9,Matches
116,117,Tyrese Campbell,eng ENG,FW,Stoke City,21,1999,11.7,2,0,0,12,9,5,33,3,1,0,0,0,44,13,26,33.3,Matches
117,118,Andy Cannon,eng ENG,MF,Hull City,25,1996,4.9,1,0,0,12,9,0,7,8,1,0,0,0,43,4,6,40.0,Matches
