,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
564,565,Kasper Schmeichel,dk DEN,GK,Leicester City,34,1986,37,3330,90,97.4,37.0,37,90,37,0,,1,1.32,57,58,-1,-0.03,-4.03,49.7,67.1,-17.4,-0.47,-1.20,Matches
565,566,Ken Sema,se SWE,"MF,FW",Watford,27,1993,18,852,47,24.9,9.5,7,87,4,11,22,13,0.83,6,16,-10,-1.06,+0.10,9.4,17.7,-8.3,-0.87,-0.17,Matches
566,567,Nélson Semedo,pt POR,"MF,DF",Wolves,27,1993,25,2131,85,62.3,23.7,25,85,19,0,,4,1.56,24,18,+6,+0.25,+1.02,26.8,36.5,-9.7,-0.41,+0.48,Matches
567,568,Ryan Sessegnon,eng ENG,"DF,MF",Tottenham,21,2000,15,1047,70,30.6,11.6,13,74,4,2,41,7,2.00,25,11,+14,+1.20,+0.63,21.8,13.2,+8.6,+0.74,+0.26,Matches
568,569,Jamie Shackleton,eng ENG,"DF,MF",Leeds United,21,1999,14,709,51,20.7,7.9,7,75,3,7,26,14,0.86,9,14,-5,-0.63,+0.43,11.6,13.5,-1.9,-0.24,+0.45,Matches
569,570,Luke Shaw,eng ENG,DF,Manchester Utd,26,1995,20,1601,80,46.8,17.8,19,83,15,1,17,2,1.50,31,24,+7,+0.39,+0.74,31.3,26.4,+4.8,+0.27,+0.41,Matches
570,571,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,29,1992,24,1983,83,58.0,22.0,22,89,19,2,17,1,1.50,28,30,-2,-0.09,+0.91,26.6,33.2,-6.6,-0.30,+0.42,Matches
571,572,Shola Shoretire,eng ENG,MF,Manchester Utd,17,2004,1,16,16,0.5,0.2,0,,0,1,16,1,0.00,0,0,0,0.00,0.00,0.1,0.0,+0.1,+0.58,+0.53,Matches
572,573,Francisco Sierralta,cl CHI,DF,Watford,24,1997,5,427,85,12.5,4.7,5,85,4,0,,11,0.00,1,9,-8,-1.69,-0.63,3.6,11.0,-7.4,-1.57,-0.94,Matches
573,574,Bernardo Silva,pt POR,"MF,FW",Manchester City,26,1994,35,2857,82,83.5,31.7,33,86,27,2,12,3,2.49,75,23,+52,+1.64,-1.72,76.4,22.8,+53.6,+1.69,-1.01,Matches
574,575,Fábio Silva,pt POR,FW,Wolves,19,2002,22,572,26,16.7,6.4,6,76,2,16,7,15,1.41,9,7,+2,+0.31,+0.54,7.8,10.3,-2.6,-0.40,+0.23,Matches
575,576,Thiago Silva,br BRA,DF,Chelsea,36,1984,32,2650,83,77.5,29.4,28,88,26,4,49,4,1.81,59,28,+31,+1.05,-0.35,59.1,30.1,+29.0,+0.99,+0.58,Matches
576,577,Dynel Simeu,eng ENG,DF,Southampton,19,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
577,578,Ellis Simms,eng ENG,FW,Everton,20,2001,1,61,61,1.8,0.7,1,61,0,0,,6,1.00,0,0,0,0.00,+0.62,0.1,2.5,-2.3,-3.46,-3.16,Matches
578,579,Viljami Sinisalo,fi FIN,GK,Aston Villa,19,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
579,580,Moussa Sissoko,fr FRA,MF,Watford,31,1989,36,3220,89,94.2,35.8,36,89,35,0,,0,0.56,31,73,-42,-1.17,-0.72,42.0,69.7,-27.7,-0.77,-0.55,Matches
580,581,Moussa Sissoko,fr FRA,MF,Tottenham,31,1989,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
581,582,Oliver Skipp,eng ENG,MF,Tottenham,20,2000,18,1350,75,39.5,15.0,14,87,12,4,34,1,1.78,21,13,+8,+0.53,-0.38,23.3,18.0,+5.4,+0.36,-0.33,Matches
582,583,Cieran Slicker,sct SCO,GK,Manchester City,18,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
583,584,Thierry Small,eng ENG,DF,Southampton,16,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
584,585,William Smallbone,ie IRL,"MF,FW",Southampton,21,2000,4,133,33,3.9,1.5,2,57,0,2,10,12,0.25,3,5,-2,-1.35,-0.75,1.5,2.9,-1.4,-0.94,-0.61,Matches
585,586,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,21,2000,33,1921,58,56.2,21.3,21,80,10,12,19,2,1.73,28,28,0,0.00,-0.78,34.0,31.6,+2.4,+0.11,-0.71,Matches
586,587,Cédric Soares,pt POR,DF,Arsenal,29,1991,21,1486,71,43.5,16.5,16,86,12,5,24,12,1.86,22,27,-5,-0.30,-1.14,29.5,25.6,+3.9,+0.23,-0.33,Matches
587,588,Tomáš Souček,cz CZE,MF,West Ham,26,1995,35,3062,87,89.5,34.0,34,90,33,1,14,1,1.43,51,46,+5,+0.15,-0.86,49.0,53.0,-4.0,-0.12,-1.10,Matches
588,589,Boubakary Soumaré,fr FRA,MF,Leicester City,22,1999,19,1102,58,32.2,12.2,12,77,6,7,26,7,1.37,19,27,-8,-0.65,-1.08,18.0,22.2,-4.2,-0.34,+0.14,Matches
589,590,Çağlar Söyüncü,tr TUR,DF,Leicester City,25,1996,28,2497,89,73.0,27.7,28,89,27,0,,8,1.32,41,44,-3,-0.11,-0.69,36.1,49.8,-13.7,-0.49,-0.20,Matches
590,591,Tony Springett,eng ENG,"MF,FW",Norwich City,18,2002,3,141,47,4.1,1.6,1,66,0,2,38,3,0.00,0,6,-6,-3.83,-2.32,1.7,5.1,-3.4,-2.17,-0.98,Matches
591,592,Jason Steele,eng ENG,GK,Brighton,30,1990,1,90,90,2.6,1.0,1,90,1,0,,32,0.00,0,2,-2,-2.00,-2.00,0.5,0.8,-0.3,-0.33,-0.42,Matches
592,593,Jed Steer,eng ENG,GK,Aston Villa,28,1992,1,90,90,2.6,1.0,1,90,1,0,,18,0.00,0,3,-3,-3.00,-3.03,1.3,1.0,+0.3,+0.35,+0.53,Matches
