,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
168,169,Filippo Distefano,it ITA,FW,Fiorentina,17,2003,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Matches
169,170,Koffi Djidji,ci CIV,DF,Torino,28,1992,19.3,6,1,1,25,7,1,17,34,29,0,3,0,113,45,41,52.3,Matches
170,171,Berat Djimsiti,al ALB,DF,Atalanta,28,1993,25.1,6,0,0,21,14,1,11,31,24,0,1,1,144,57,27,67.9,Matches
171,172,Nicolás Domínguez,ar ARG,MF,Bologna,23,1998,22.4,8,0,0,26,39,0,14,32,45,0,0,0,158,32,29,52.5,Matches
172,173,Bartłomiej Drągowski,pl POL,GK,Fiorentina,23,1997,6.2,0,1,0,1,0,0,0,1,0,0,0,0,9,0,0,,Matches
173,174,Radu Drăgușin,ro ROU,DF,Sampdoria,19,2002,6.9,1,0,0,6,5,1,4,10,3,0,0,0,49,14,7,66.7,Matches
174,175,Radu Drăgușin,ro ROU,DF,Salernitana,19,2002,5.4,1,0,0,3,4,0,0,13,4,0,0,0,28,7,7,50.0,Matches
175,176,Denzel Dumfries,nl NED,DF,Inter,25,1996,22.5,3,0,0,32,37,4,36,9,12,2,1,0,89,43,32,57.3,Matches
176,177,Alfred Duncan,gh GHA,MF,Fiorentina,28,1993,21.5,3,0,0,22,13,0,44,10,19,0,0,0,92,9,17,34.6,Matches
177,178,Paulo Dybala,ar ARG,"FW,MF",Juventus,27,1993,22.9,3,0,0,16,48,6,66,9,13,0,0,0,103,10,19,34.5,Matches
178,179,Edin Džeko,ba BIH,FW,Inter,35,1986,27.4,2,0,0,27,39,5,35,4,8,2,0,0,81,84,74,53.2,Matches
179,180,Tyronne Ebuehi,ng NGA,DF,Venezia,25,1995,12.6,1,1,0,22,4,1,28,16,12,0,0,0,61,15,18,45.5,Matches
180,181,Éderson,br BRA,MF,Salernitana,22,1999,12.7,5,0,0,18,34,1,5,19,18,0,0,0,62,11,17,39.3,Matches
