,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
350,351,Salih Özcan,tr TUR,MF,Köln,23,1998,25.7,53,2.06,40,2,1,4,4,2,6,0.23,4,0,0,2,0,0,Matches
351,352,Levin Öztunalı,de GER,MF,Union Berlin,25,1996,6.4,12,1.89,9,0,0,0,3,0,0,0.00,0,0,0,0,0,0,Matches
352,353,Gonçalo Paciência,pt POR,FW,Eint Frankfurt,26,1994,5.7,14,2.44,9,0,0,1,3,1,1,0.17,0,0,0,0,1,0,Matches
353,354,Exequiel Palacios,ar ARG,MF,Leverkusen,22,1998,12.2,26,2.14,24,0,1,0,0,1,4,0.33,4,0,0,0,0,0,Matches
354,355,Miloš Pantović,rs SRB,"MF,FW",Bochum,25,1996,17.0,55,3.23,35,12,0,3,3,2,7,0.41,6,0,0,1,0,0,Matches
355,356,Antonios Papadopoulos,de GER,"DF,MF",Dortmund,21,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
356,357,Matondo-Merveille Papela,de GER,MF,Mainz 05,20,2001,0.9,1,1.08,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
357,358,Kevin Paredes,us USA,"FW,DF",Wolfsburg,18,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
358,359,Felix Passlack,de GER,DF,Dortmund,23,1998,5.2,7,1.33,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
359,360,Paulinho,br BRA,"FW,MF",Leverkusen,21,2000,13.5,50,3.69,33,4,3,4,5,1,8,0.59,5,0,2,1,0,0,Matches
360,361,Benjamin Pavard,fr FRA,DF,Bayern Munich,25,1996,23.1,50,2.17,40,2,0,4,1,3,4,0.17,4,0,0,0,0,0,Matches
361,362,Mads Pedersen,dk DEN,"MF,DF",Augsburg,24,1996,15.5,34,2.20,17,7,2,2,3,3,2,0.13,0,2,0,0,0,0,Matches
362,363,Peter Pekarík,sk SVK,DF,Hertha BSC,34,1986,24.8,30,1.21,24,1,0,1,2,2,1,0.04,0,0,0,0,0,1,Matches
363,364,Philipp Pentke,de GER,GK,Hoffenheim,36,1985,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
364,365,Ricardo Pepi,us USA,"FW,MF",Augsburg,18,2003,5.3,9,1.69,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
365,366,Pavao Pervan,at AUT,GK,Wolfsburg,33,1987,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
366,367,Nils Petersen,de GER,FW,Freiburg,32,1988,6.4,12,1.86,9,0,1,0,1,1,0,0.00,0,0,0,0,0,0,Matches
367,368,Jens Petter Hauge,no NOR,"MF,FW",Eint Frankfurt,21,1999,11.6,34,2.95,28,0,2,2,1,1,5,0.43,5,0,0,0,0,0,Matches
368,369,Immanuel Pherai,nl NED,MF,Dortmund,20,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
369,370,Maximilian Philipp,de GER,MF,Wolfsburg,27,1994,10.7,37,3.46,26,3,2,1,4,1,6,0.56,4,1,1,0,0,0,Matches
370,371,Krzysztof Piątek,pl POL,FW,Hertha BSC,26,1995,3.9,6,1.56,2,0,0,2,2,0,1,0.26,0,0,0,1,0,0,Matches
371,372,Amos Pieper,de GER,DF,Arminia,23,1998,26.4,14,0.53,9,0,0,2,0,3,0,0.00,0,0,0,0,0,0,Matches
372,373,Marvin Plattenhardt,de GER,DF,Hertha BSC,29,1992,18.2,65,3.57,19,40,1,1,2,2,9,0.49,3,5,0,0,1,0,Matches
373,374,Alassane Pléa,fr FRA,"MF,FW",M'Gladbach,28,1993,23.0,105,4.57,84,1,7,7,5,1,9,0.39,8,0,0,1,0,0,Matches
374,375,Joel Pohjanpalo,fi FIN,FW,Leverkusen,26,1994,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
375,376,Sebastian Polter,de GER,FW,Bochum,30,1991,26.0,55,2.12,40,0,2,3,10,0,3,0.12,1,0,0,0,2,0,Matches
376,377,Marin Pongračić,hr CRO,DF,Dortmund,23,1997,9.2,3,0.33,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
377,378,Stefan Posch,at AUT,DF,Hoffenheim,24,1997,24.4,9,0.37,8,0,0,0,0,1,1,0.04,1,0,0,0,0,0,Matches
378,379,Yussuf Poulsen,dk DEN,"FW,MF",RB Leipzig,27,1994,12.0,30,2.50,20,0,1,3,5,1,6,0.50,4,0,0,0,2,0,Matches
379,380,Manuel Prietl,at AUT,MF,Arminia,29,1991,23.6,30,1.27,19,0,6,2,0,3,4,0.17,4,0,0,0,0,0,Matches
380,381,Grischa Prömel,de GER,MF,Union Berlin,26,1995,26.9,41,1.52,34,0,0,3,3,1,5,0.19,4,0,0,1,0,0,Matches
381,382,Nick Proschwitz,de GER,FW,Hoffenheim,34,1986,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
382,383,Afimico Pululu,fr FRA,"FW,MF",Greuther Fürth,22,1999,0.8,2,2.57,0,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
383,384,Sidney Raebiger,de GER,MF,RB Leipzig,16,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
