,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
415,416,Jonathan Orozco,mx MEX,GK,Tijuana,35,1986,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
416,417,Carlos Orrantía,mx MEX,DF,Santos,30,1991,21.6,0,9,1,11.1,0.42,0.05,0.00,0.00,24.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
417,418,Edyairth Ortega,mx MEX,"MF,FW",Atlas,24,1997,1.9,0,3,1,33.3,1.61,0.54,0.00,0.00,30.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
418,419,Haret Ortega,mx MEX,DF,Toluca,21,2000,26.3,3,9,4,44.4,0.34,0.15,0.33,0.75,9.6,0,0,0,0.9,0.9,0.10,+2.1,+2.1,Matches
419,420,Arturo Ortiz,mx MEX,DF,UNAM,28,1992,29.1,4,26,10,38.5,0.89,0.34,0.15,0.40,16.9,0,0,0,1.4,1.4,0.06,+2.6,+2.6,Matches
420,421,Celso Ortiz,py PAR,MF,Monterrey,32,1989,19.3,0,7,1,14.3,0.36,0.05,0.00,0.00,28.5,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
421,422,Christian Ortiz,ar ARG,"MF,FW",Tijuana,28,1992,8.8,0,29,10,34.5,3.28,1.13,0.00,0.00,23.0,7,0,0,1.6,1.6,0.06,-1.6,-1.6,Matches
422,423,Mario Osuna,mx MEX,MF,América,32,1988,1.9,0,1,0,0.0,0.52,0.00,0.00,,41.0,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
423,424,Rómulo Otero,ve VEN,"MF,FW",Cruz Azul,28,1992,1.9,0,7,3,42.9,3.75,1.61,0.00,0.00,28.5,2,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
424,425,Juan Pablo Meza,mx MEX,DF,Querétaro,27,1993,3.5,0,4,1,25.0,1.14,0.29,0.00,0.00,23.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
425,426,Juan Pablo Segovia,ar ARG,DF,Puebla,32,1989,25.8,1,17,5,29.4,0.66,0.19,0.06,0.20,15.9,0,0,0,1.6,1.6,0.10,-0.6,-0.6,Matches
426,427,Juan Pablo Vigón,mx MEX,MF,UANL,30,1991,25.6,9,43,17,39.5,1.68,0.66,0.21,0.53,14.2,0,0,0,6.8,6.8,0.16,+2.2,+2.2,Matches
427,428,Arturo Palma,mx MEX,"FW,MF",Necaxa,19,2002,0.9,0,4,0,0.0,4.24,0.00,0.00,,16.8,0,0,0,0.4,0.4,0.10,-0.4,-0.4,Matches
428,429,Felipe Pardo,co COL,"FW,MF",Toluca,30,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
429,430,Pablo Parra,cl CHI,"MF,FW",Puebla,27,1994,17.4,4,49,10,20.4,2.82,0.57,0.02,0.10,21.5,4,3,3,6.8,4.4,0.09,-2.8,-3.4,Matches
430,431,Lucas Passerini,ar ARG,FW,Cruz Azul,27,1994,3.1,2,10,5,50.0,3.21,1.61,0.10,0.20,15.4,0,1,1,2.0,1.2,0.12,0.0,-0.2,Matches
431,432,Esteban Pavez,cl CHI,MF,Tijuana,31,1990,15.3,0,23,5,21.7,1.51,0.33,0.00,0.00,25.5,0,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
432,433,Luis Pavez Muñoz,cl CHI,DF,FC Juárez,25,1995,1.5,0,1,0,0.0,0.67,0.00,0.00,,26.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
433,434,Miguel Pedroza,mx MEX,"FW,MF",Necaxa,18,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
434,435,Oribe Peralta,mx MEX,"FW,MF",Guadalajara,37,1984,1.0,0,2,0,0.0,1.94,0.00,0.00,,7.6,0,0,0,0.9,0.9,0.45,-0.9,-0.9,Matches
435,436,Geisson Perea,co COL,DF,Pachuca,29,1991,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
436,437,Sebastián Pérez Bouquet,mx MEX,MF,Guadalajara,18,2003,4.1,0,7,1,14.3,1.71,0.24,0.00,0.00,18.6,0,0,0,0.8,0.8,0.11,-0.8,-0.8,Matches
