,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
82,83,Hamza Choudhury,eng ENG,"DF,MF",Leicester City,23,1997,3.2,207,18,94,106,8,2,207,2,3,66.7,8,2,124,0,Matches
83,84,Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,1472,145,643,770,67,5,1472,4,4,100.0,3,1,1058,3,Matches
84,85,Carney Chukwuemeka,eng ENG,"MF,FW",Aston Villa,17,2003,3.3,163,3,22,87,56,11,163,6,10,60.0,9,6,121,15,Matches
85,86,Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,463,73,258,176,32,21,463,4,5,80.0,3,2,258,5,Matches
86,87,Tom Cleverley,eng ENG,MF,Watford,31,1989,18.0,798,35,175,393,238,10,798,3,6,50.0,16,16,440,31,Matches
87,88,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15.0,816,39,307,383,137,1,816,4,6,66.7,10,4,440,12,Matches
88,89,Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,1968,415,1299,648,30,18,1968,1,1,100.0,6,1,1369,3,Matches
89,90,Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,1538,124,506,725,333,32,1538,34,49,69.4,30,20,711,47,Matches
90,91,Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,877,148,430,376,79,38,877,5,8,62.5,10,4,373,8,Matches
91,92,Aaron Connolly,ie IRL,"FW,MF",Brighton,21,2000,1.7,33,0,0,13,20,4,33,0,2,0.0,2,2,22,6,Matches
92,93,Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,1401,151,855,528,27,13,1401,3,4,75.0,9,1,820,1,Matches
93,94,Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,738,39,130,489,121,10,738,7,13,53.8,18,20,388,11,Matches
94,95,Maxwel Cornet,ci CIV,"FW,MF",Burnley,24,1996,19.6,652,17,94,207,356,80,651,13,38,34.2,61,33,415,96,Matches
95,96,Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,9,0,2,4,3,0,9,0,0,,1,0,6,0,Matches
96,97,Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,1662,110,451,698,531,30,1662,15,23,65.2,30,15,883,53,Matches
97,98,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,29,1992,14.8,809,7,56,438,328,47,809,21,43,48.8,35,20,627,47,Matches
98,99,Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,2282,125,669,1070,561,22,2282,8,17,47.1,14,4,1495,35,Matches
99,100,Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,123,11,71,49,3,1,123,0,0,,1,0,77,0,Matches
100,101,Cucho,co COL,"FW,MF",Watford,22,1999,12.7,536,19,79,195,268,37,536,18,39,46.2,23,14,348,52,Matches
101,102,Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,2669,119,675,1184,833,51,2669,28,55,50.9,40,15,1628,100,Matches
102,103,Luke Cundle,eng ENG,MF,Wolves,19,2002,2.0,116,3,30,68,18,1,116,0,1,0.0,2,1,86,2,Matches
103,104,Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,362,9,30,167,168,50,362,3,16,18.8,42,18,242,62,Matches
104,105,Stuart Dallas,nir NIR,"DF,MF",Leeds United,30,1991,32.4,2037,102,659,916,500,28,2037,29,43,67.4,39,25,1110,49,Matches
105,106,Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20.0,1413,87,448,645,334,27,1413,17,25,68.0,25,8,827,37,Matches
106,107,Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8.0,266,214,262,4,0,0,266,0,0,,0,0,92,0,Matches
107,108,Josh Dasilva,eng ENG,"MF,FW",Brentford,22,1998,2.9,122,10,28,53,41,6,122,7,11,63.6,5,5,65,6,Matches
108,109,Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,1875,140,722,905,264,30,1875,7,11,63.6,22,10,1340,38,Matches
109,110,Tom Davies,eng ENG,MF,Everton,23,1998,2.6,121,9,30,61,32,9,121,2,3,66.7,6,1,68,4,Matches
110,111,Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,5,0,0,3,2,0,5,0,0,,2,1,7,1,Matches
111,112,Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,1603,271,842,689,74,46,1603,4,4,100.0,10,5,968,3,Matches
112,113,Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,1796,25,128,682,1006,103,1796,31,55,56.4,40,20,1341,138,Matches
113,114,Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,12,2,2,1,9,5,12,0,0,,1,0,10,5,Matches
114,115,Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,1,0,0,1,0,0,1,0,0,,0,0,1,0,Matches
115,116,Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,383,20,105,231,50,0,383,5,7,71.4,8,0,227,3,Matches
116,117,Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,1022,59,280,542,203,33,1022,5,10,50.0,25,9,648,37,Matches
117,118,Emmanuel Dennis,ng NGA,"FW,MF",Watford,23,1997,28.7,1064,22,134,412,543,125,1064,68,156,43.6,107,63,695,115,Matches
118,119,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,23.4,1504,47,285,750,492,40,1504,30,49,61.2,56,46,1070,75,Matches
119,120,Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,551,23,95,319,145,10,551,16,21,76.2,18,13,358,17,Matches
120,121,Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,2466,151,775,1607,90,33,2466,2,4,50.0,9,3,1975,4,Matches
121,122,Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,591,4,30,218,348,77,591,31,49,63.3,27,26,472,84,Matches
122,123,Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,2609,421,1451,1111,57,23,2609,1,2,50.0,5,2,1971,7,Matches
