,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
15,16,Felipe Anderson,br BRA,FW,Lazio,28,1993,32.1,116,3.62,86,3,10,5,9,3,18,0.56,12,0,4,2,0,0,Matches
16,17,Ebenezer Annan,gh GHA,DF,Bologna,18,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
17,18,Cristian Ansaldi,ar ARG,DF,Torino,34,1986,7.7,28,3.66,21,3,2,2,0,0,5,0.65,4,0,0,1,0,0,Matches
18,19,Janis Antiste,fr FRA,FW,Spezia,18,2002,8.8,15,1.69,12,0,1,1,0,1,1,0.11,0,0,0,0,0,1,Matches
19,20,Mattia Aramu,it ITA,"MF,FW",Venezia,26,1995,23.3,73,3.13,30,22,2,4,15,0,11,0.47,7,1,0,0,3,0,Matches
20,21,Marko Arnautović,at AUT,FW,Bologna,32,1989,29.9,89,2.97,71,0,7,9,2,0,7,0.23,5,0,1,1,0,0,Matches
21,22,Tolgay Arslan,de GER,MF,Udinese,30,1990,18.4,48,2.60,30,5,1,4,7,1,8,0.43,3,0,0,2,3,0,Matches
22,23,Arthur,br BRA,FW,Fiorentina,23,1998,8.3,17,2.05,10,0,3,1,2,1,5,0.60,3,0,1,1,0,0,Matches
23,24,Kristoffer Askildsen,no NOR,MF,Sampdoria,20,2001,8.4,8,0.95,5,0,2,0,0,1,1,0.12,1,0,0,0,0,0,Matches
24,25,Kristjan Asllani,al ALB,MF,Empoli,19,2002,15.0,30,2.00,21,3,0,3,2,1,3,0.20,3,0,0,0,0,0,Matches
25,26,Emil Audero,it ITA,GK,Sampdoria,24,1997,28.4,5,0.18,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
26,27,Tommaso Augello,it ITA,DF,Sampdoria,26,1994,26.6,50,1.88,34,4,5,1,3,3,2,0.08,2,0,0,0,0,0,Matches
27,28,Ramzi Aya,it ITA,DF,Salernitana,30,1990,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
28,29,Kaan Ayhan,tr TUR,DF,Sassuolo,26,1994,15.0,9,0.60,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
29,30,Milan Badelj,hr CRO,MF,Genoa,32,1989,31.6,74,2.34,64,0,1,1,2,6,2,0.06,0,0,1,0,1,0,Matches
30,31,Nicola Bagnolini,it ITA,GK,Bologna,17,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
31,32,Issa Bah,lu LUX,FW,Venezia,19,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,33,Nedim Bajrami,al ALB,"MF,FW",Empoli,22,1999,22.8,103,4.51,66,21,8,5,1,2,7,0.31,5,1,0,1,0,0,Matches
33,34,Tiemoué Bakayoko,fr FRA,MF,Milan,26,1994,5.6,7,1.26,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
34,35,Tommaso Baldanzi,it ITA,FW,Empoli,18,2003,0.2,1,5.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
35,36,Keita Baldé,sn SEN,FW,Cagliari,26,1995,13.7,23,1.68,14,0,1,4,3,1,2,0.15,1,0,0,0,1,0,Matches
36,37,Fodé Ballo-Touré,sn SEN,DF,Milan,24,1997,5.0,13,2.62,11,0,1,0,1,0,2,0.40,2,0,0,0,0,0,Matches
37,38,Filippo Bandinelli,it ITA,MF,Empoli,26,1995,21.7,58,2.67,45,4,3,3,1,2,4,0.18,4,0,0,0,0,0,Matches
38,39,Mattia Bani,it ITA,DF,Genoa,27,1993,13.5,6,0.45,4,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
39,40,Antonín Barák,cz CZE,"MF,FW",Hellas Verona,26,1994,26.0,69,2.65,56,1,4,6,2,0,9,0.35,6,0,1,1,1,0,Matches
40,41,Francesco Bardi,it ITA,GK,Bologna,29,1992,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
41,42,Nicolò Barella,it ITA,MF,Inter,24,1997,32.4,140,4.32,114,0,10,6,6,4,21,0.65,18,0,1,1,1,0,Matches
42,43,Musa Barrow,gm GAM,"FW,MF",Bologna,22,1998,23.7,87,3.67,65,11,3,4,4,0,10,0.42,8,1,0,1,0,0,Matches
43,44,Daniele Baselli,it ITA,"MF,FW",Torino,29,1992,1.7,2,1.23,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,45,Daniele Baselli,it ITA,MF,Cagliari,29,1992,3.2,15,4.69,8,3,0,2,0,2,1,0.31,0,1,0,0,0,0,Matches
45,46,Toma Bašić,hr CRO,MF,Lazio,24,1996,10.9,9,0.83,5,1,1,2,0,0,3,0.28,1,1,0,1,0,0,Matches
46,47,Alessandro Bastoni,it ITA,DF,Inter,22,1999,25.7,44,1.71,38,0,2,2,0,2,5,0.19,5,0,0,0,0,0,Matches
47,48,Simone Bastoni,it ITA,"MF,DF",Spezia,24,1996,25.4,80,3.15,48,22,3,4,1,2,5,0.20,3,1,0,1,0,0,Matches
48,49,Rodrigo Becão,br BRA,DF,Udinese,25,1996,34.8,28,0.81,19,3,1,0,3,2,2,0.06,1,0,0,0,0,1,Matches
49,50,Valon Behrami,ch SUI,"MF,FW",Genoa,36,1985,3.5,5,1.45,4,0,0,1,0,0,1,0.29,1,0,0,0,0,0,Matches
50,51,Vid Belec,si SVN,GK,Salernitana,31,1990,21.5,1,0.05,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,52,Raoul Bellanova,it ITA,"DF,FW",Cagliari,21,2000,27.7,67,2.42,53,1,3,2,5,3,8,0.29,8,0,0,0,0,0,Matches
52,53,Andrea Belotti,it ITA,FW,Torino,27,1993,15.2,39,2.56,18,2,2,7,10,0,4,0.26,1,0,1,0,2,0,Matches
53,54,Marco Benassi,it ITA,"DF,MF",Fiorentina,26,1994,1.8,2,1.13,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
54,55,Marco Benassi,it ITA,MF,Empoli,26,1994,4.2,7,1.65,5,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
