,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
137,138,Ederson,br BRA,GK,Manchester City,27,1993,37.0,1128,951,175,36,1,2,0,1,0,0,0,0,1016,2,2,Matches
138,139,Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,17.4,429,406,19,0,0,0,7,3,0,0,0,0,309,4,13,Matches
139,140,CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
140,141,Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,13.5,450,434,14,0,2,1,21,14,0,0,0,0,340,2,16,Matches
141,142,Harvey Elliott,eng ENG,MF,Liverpool,18,2003,3.8,256,246,8,0,1,1,10,3,2,1,0,0,209,2,8,Matches
142,143,Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,9.0,565,549,16,14,1,0,0,0,0,0,0,0,528,0,6,Matches
143,144,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,26,1994,22.7,638,629,6,1,5,1,29,2,1,0,0,0,432,3,24,Matches
144,145,Emerson,br BRA,"DF,MF",Tottenham,22,1999,25.4,1450,1194,254,16,1,2,74,238,0,0,0,0,1170,2,47,Matches
145,146,Christian Eriksen,dk DEN,MF,Brentford,29,1992,10.4,639,524,111,43,4,8,86,5,54,21,22,4,478,4,7,Matches
146,147,Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,4.5,168,156,11,11,0,2,2,0,0,0,0,0,151,1,1,Matches
147,148,Jonny Evans,nir NIR,DF,Leicester City,33,1988,15.0,1020,974,44,36,1,1,3,8,0,0,0,0,846,2,3,Matches
148,149,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,23,1998,6.7,304,268,33,12,1,3,27,1,16,9,3,0,234,3,7,Matches
149,150,Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37.0,1013,665,348,71,0,1,0,0,0,0,0,0,666,0,1,Matches
150,151,Fabinho,br BRA,MF,Liverpool,27,1993,25.7,1550,1525,23,23,5,4,6,0,0,0,0,0,1350,2,17,Matches
151,152,Kiko Femenía,es ESP,DF,Watford,30,1991,23.8,1228,917,308,29,0,1,106,242,37,25,11,0,867,3,23,Matches
152,153,Evan Ferguson,ie IRL,MF,Brighton,16,2004,0.3,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0,Matches
153,154,Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,0.1,5,3,2,0,0,0,0,2,0,0,0,0,3,0,0,Matches
154,155,Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,34.6,2093,1891,180,39,22,29,148,22,68,22,29,0,1549,22,50,Matches
155,156,Álvaro Fernández,es ESP,GK,Brentford,23,1998,12.0,517,396,120,37,0,0,0,0,0,0,0,0,336,1,0,Matches
156,157,Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,5.8,211,202,8,6,1,1,1,2,0,0,0,0,182,1,2,Matches
157,158,Fernandinho,br BRA,"MF,DF",Manchester City,36,1985,10.7,842,833,8,7,6,2,2,1,0,0,0,0,746,1,7,Matches
158,159,Roberto Firmino,br BRA,FW,Liverpool,29,1991,11.0,501,486,15,1,5,2,8,7,0,0,0,0,390,0,16,Matches
159,160,Junior Firpo,es ESP,"DF,MF",Leeds United,24,1996,19.0,952,799,149,5,0,3,26,144,0,0,0,0,768,4,15,Matches
160,161,Ashley Fletcher,eng ENG,FW,Watford,25,1995,0.3,7,7,0,0,0,0,1,0,0,0,0,0,3,0,1,Matches
161,162,Phil Foden,eng ENG,FW,Manchester City,21,2000,23.6,1102,995,104,19,7,8,132,7,65,32,23,0,881,3,32,Matches
