,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
87,88,David Brooks,wls WAL,"FW,MF",Bournemouth,24,1997,5.6,151,201,75.1,2586,697,71,87,81.6,58,68,85.3,16,23,69.6,0,0.2,1.2,-0.2,4,7,11,1,24,Matches
88,89,Ciaron Brown,nir NIR,DF,Cardiff City,23,1998,4.7,102,163,62.6,1884,903,50,64,78.1,35,45,77.8,17,49,34.7,0,0.2,0.4,-0.2,2,6,5,4,7,Matches
89,90,Jacob Brown,sct SCO,FW,Stoke City,23,1998,36.1,475,751,63.2,6353,1049,295,396,74.5,133,200,66.5,21,58,36.2,4,1.7,1.0,+2.3,18,23,12,0,24,Matches
90,91,James Brown,ie IRL,DF,Blackburn,23,1998,1.0,20,30,66.7,388,103,7,7,100.0,9,11,81.8,3,8,37.5,0,0.0,0.0,0.0,0,1,0,0,0,Matches
91,92,Reece Brown,eng ENG,MF,P'borough Utd,25,1996,5.0,234,276,84.8,4133,1338,102,118,86.4,104,117,88.9,24,33,72.7,0,0.1,0.1,-0.1,2,24,1,1,19,Matches
92,93,Alan Browne,ie IRL,MF,Preston,26,1995,35.7,1118,1489,75.1,19104,5670,566,676,83.7,380,474,80.2,129,204,63.2,5,3.9,2.2,+1.1,44,144,29,5,119,Matches
93,94,Joe Bryan,eng ENG,DF,Fulham,27,1993,11.6,596,762,78.2,9309,3341,319,351,90.9,240,288,83.3,29,94,30.9,1,1.0,1.5,0.0,7,54,9,5,46,Matches
94,95,Kean Bryan,eng ENG,"DF,FW",West Brom,24,1996,0.5,35,43,81.4,624,178,16,20,80.0,18,19,94.7,1,4,25.0,0,0.0,0.0,0.0,0,3,0,0,3,Matches
95,96,Lee Buchanan,eng ENG,DF,Derby County,20,2001,24.7,718,1106,64.9,11018,4087,412,492,83.7,240,350,68.6,49,179,27.4,1,0.5,1.2,+0.5,5,34,9,1,44,Matches
96,97,John Buckley,eng ENG,"MF,FW",Blackburn,21,1999,34.8,894,1280,69.8,15201,4761,426,508,83.9,327,450,72.7,96,215,44.7,7,6.6,4.3,+0.4,49,127,38,16,95,Matches
