,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
57,58,Rodrigo Bentancur,uy URU,MF,Juventus,24,1997,12.8,0,8,1,12.5,0.62,0.08,0.00,0.00,22.9,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
58,59,Alessandro Berardi,it ITA,GK,Hellas Verona,30,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
59,60,Domenico Berardi,it ITA,FW,Sassuolo,26,1994,31.3,15,104,40,38.5,3.32,1.28,0.09,0.23,21.6,8,6,6,13.2,8.5,0.08,+1.8,+0.5,Matches
60,61,Bartosz Bereszyński,pl POL,DF,Sampdoria,29,1992,32.7,0,6,0,0.0,0.18,0.00,0.00,,14.6,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
61,62,Etrit Berisha,al ALB,GK,Torino,32,1989,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,63,Federico Bernardeschi,it ITA,"MF,FW",Juventus,27,1994,16.4,1,33,7,21.2,2.01,0.43,0.03,0.14,19.9,0,0,0,1.9,1.9,0.06,-0.9,-0.9,Matches
63,64,Nicolò Bertola,it ITA,"MF,DF",Spezia,18,2003,0.4,0,1,1,100.0,2.57,2.57,0.00,0.00,34.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
64,65,Daniel Bessa,it ITA,MF,Hellas Verona,28,1993,8.5,1,10,2,20.0,1.17,0.23,0.10,0.50,25.7,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
65,66,Beto,gw GNB,FW,Udinese,23,1998,24.1,11,64,26,40.6,2.65,1.08,0.17,0.42,13.5,0,0,0,13.1,13.1,0.20,-2.1,-2.1,Matches
66,67,Luis Binks,eng ENG,DF,Bologna,19,2001,7.2,0,2,0,0.0,0.28,0.00,0.00,,21.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
67,68,Cristiano Biraghi,it ITA,DF,Fiorentina,28,1992,35.0,4,36,16,44.4,1.03,0.46,0.08,0.19,25.4,14,1,2,3.7,2.2,0.06,+0.3,+0.8,Matches
68,69,Davide Biraschi,it ITA,DF,Genoa,27,1994,10.3,0,3,0,0.0,0.29,0.00,0.00,,24.0,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
69,70,Bjarki Bjarkason,is ISL,MF,Venezia,21,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
70,71,Jeremie Boga,ci CIV,"FW,MF",Atalanta,24,1997,8.5,0,21,5,23.8,2.47,0.59,0.00,0.00,18.5,0,0,0,1.3,1.3,0.06,-1.3,-1.3,Matches
71,72,Jeremie Boga,ci CIV,"FW,MF",Sassuolo,24,1997,7.4,0,15,5,33.3,2.01,0.67,0.00,0.00,20.2,0,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches
72,73,Luka Bogdan,hr CRO,DF,Salernitana,25,1996,4.4,0,2,0,0.0,0.45,0.00,0.00,,14.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
73,74,Emil Bohinen,no NOR,MF,Salernitana,22,1999,7.8,0,4,3,75.0,0.52,0.39,0.00,0.00,22.7,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
74,75,Giacomo Bonaventura,it ITA,MF,Fiorentina,31,1989,25.2,4,46,14,30.4,1.83,0.56,0.09,0.29,17.9,1,0,0,5.5,5.5,0.13,-1.5,-1.5,Matches
75,76,Federico Bonazzoli,it ITA,"FW,MF",Salernitana,24,1997,20.7,10,55,20,36.4,2.65,0.96,0.15,0.40,17.8,1,2,2,8.8,7.2,0.13,+1.2,+0.8,Matches
76,77,Kevin Bonifazi,it ITA,DF,Bologna,25,1996,13.4,0,9,0,0.0,0.67,0.00,0.00,,14.5,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
77,78,Leonardo Bonucci,it ITA,DF,Juventus,34,1987,22.3,5,14,3,21.4,0.63,0.13,0.14,0.67,10.7,0,3,3,5.0,2.7,0.19,0.0,-0.7,Matches
78,79,Mehdi Bourabia,ma MAR,MF,Spezia,29,1991,3.1,1,1,1,100.0,0.32,0.32,1.00,1.00,27.4,0,0,0,0.0,0.0,0.03,+1.0,+1.0,Matches
79,80,Edoardo Bove,it ITA,"MF,DF",Roma,19,2002,0.8,1,1,1,100.0,1.32,1.32,1.00,1.00,16.4,0,0,0,0.0,0.0,0.05,+1.0,+1.0,Matches
80,81,Josip Brekalo,hr CRO,MF,Torino,23,1998,25.4,7,44,17,38.6,1.73,0.67,0.16,0.41,19.4,2,0,0,4.9,4.9,0.11,+2.1,+2.1,Matches
81,82,Gleison Bremer,br BRA,DF,Torino,24,1997,32.1,3,27,10,37.0,0.84,0.31,0.11,0.30,10.0,0,0,0,4.8,4.8,0.19,-1.8,-1.8,Matches
82,83,Marcelo Brozović,hr CRO,MF,Inter,28,1992,32.6,2,32,13,40.6,0.98,0.40,0.06,0.15,22.3,0,0,0,1.6,1.6,0.05,+0.4,+0.4,Matches
83,84,Aleksander Buksa,pl POL,FW,Genoa,18,2003,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
84,85,Alessandro Buongiorno,it ITA,DF,Torino,22,1999,13.1,0,6,1,16.7,0.46,0.08,0.00,0.00,8.8,0,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
85,86,Gianluca Busio,us USA,MF,Venezia,19,2002,21.7,1,14,5,35.7,0.65,0.23,0.07,0.20,20.3,1,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
86,87,Jovane Cabral,cv CPV,FW,Lazio,23,1998,2.1,1,6,1,16.7,2.84,0.47,0.17,1.00,14.0,0,0,0,1.2,1.2,0.20,-0.2,-0.2,Matches
87,88,Liberato Cacace,nz NZL,DF,Empoli,20,2000,5.2,0,1,0,0.0,0.19,0.00,0.00,,15.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
88,89,Martín Cáceres,uy URU,DF,Cagliari,34,1987,9.2,1,7,1,14.3,0.76,0.11,0.14,1.00,19.5,0,0,0,0.3,0.3,0.05,+0.7,+0.7,Matches
89,90,Felipe Caicedo,ec ECU,FW,Genoa,32,1988,3.2,1,12,3,25.0,3.80,0.95,0.08,0.33,14.0,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches
90,91,Felipe Caicedo,ec ECU,"FW,DF",Inter,32,1988,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
91,92,Davide Calabria,it ITA,DF,Milan,24,1996,23.5,2,36,8,22.2,1.53,0.34,0.06,0.25,20.6,0,0,0,3.9,3.9,0.12,-1.9,-1.9,Matches
92,93,Riccardo Calafiori,it ITA,DF,Genoa,19,2002,0.9,0,1,0,0.0,1.10,0.00,0.00,,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
93,94,Riccardo Calafiori,it ITA,DF,Roma,19,2002,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
94,95,Mattia Caldara,it ITA,DF,Venezia,27,1994,30.0,1,16,7,43.8,0.53,0.23,0.06,0.14,14.5,0,0,0,1.9,1.9,0.12,-0.9,-0.9,Matches
95,96,Hakan Çalhanoğlu,tr TUR,MF,Inter,27,1994,27.6,7,62,15,24.2,2.25,0.54,0.06,0.27,24.3,9,3,3,6.5,4.0,0.06,+0.5,0.0,Matches
96,97,José Callejón,es ESP,FW,Fiorentina,34,1987,14.4,1,17,5,29.4,1.18,0.35,0.06,0.20,14.8,1,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches
97,98,Andrea Cambiaso,it ITA,DF,Genoa,21,2000,19.9,1,13,5,38.5,0.65,0.25,0.08,0.20,21.1,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
98,99,Matteo Cancellieri,it ITA,"MF,DF",Hellas Verona,19,2002,2.5,1,4,1,25.0,1.59,0.40,0.25,1.00,20.4,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
99,100,Antonio Candreva,it ITA,"MF,FW",Sampdoria,34,1987,34.7,7,72,19,26.4,2.08,0.55,0.08,0.32,21.9,4,1,2,7.0,5.4,0.08,0.0,+0.6,Matches
100,101,Leonardo Capezzi,it ITA,MF,Salernitana,26,1995,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
101,102,Gianluca Caprari,it ITA,"MF,FW",Hellas Verona,28,1993,30.4,12,65,26,40.0,2.14,0.85,0.15,0.38,18.8,4,2,2,8.1,6.5,0.10,+3.9,+3.5,Matches
102,103,Francesco Caputo,it ITA,FW,Sampdoria,33,1987,31.0,11,53,28,52.8,1.71,0.90,0.21,0.39,13.1,0,0,1,10.4,9.4,0.18,+0.6,+1.6,Matches
