,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
92,93,Alfonso Blanco Antúnez,mx MEX,GK,León,34,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
93,94,Antonio Briseño,mx MEX,DF,Guadalajara,27,1994,17.3,22,11,16,6,0,14,19,73.7,5,13,8,5,28,50,69,0,Matches
94,95,Isaác Brizuela,mx MEX,"DF,FW",Guadalajara,30,1990,21.2,25,17,16,7,2,12,32,37.5,20,22,5,17,21,46,23,0,Matches
95,96,Gil Burón,mx MEX,"DF,MF",León,27,1994,0.5,1,1,1,0,0,1,1,100.0,0,3,2,1,1,2,2,0,Matches
96,97,Gustavo Cabral,ar ARG,DF,Pachuca,35,1985,29.6,45,23,28,16,1,20,37,54.1,17,30,16,14,57,102,93,2,Matches
97,98,David Cabrera Pujol,mx MEX,MF,Querétaro,31,1989,8.4,18,8,8,8,2,7,22,31.8,15,10,2,8,11,29,9,0,Matches
98,99,Sebastián Cáceres,uy URU,DF,América,21,1999,17.5,36,28,18,17,1,11,12,91.7,1,20,13,7,15,51,51,0,Matches
99,100,José Caicedo,co COL,DF,UNAM,19,2002,1.0,2,1,2,0,0,1,3,33.3,2,3,3,0,0,2,2,0,Matches
100,101,Cristian Calderón,mx MEX,"DF,FW",Guadalajara,24,1997,12.8,15,6,0,13,2,6,14,42.9,8,12,2,10,5,20,26,0,Matches
101,102,Luis Calzadilla,mx MEX,"MF,FW",Atlético,21,2000,1.0,2,2,2,0,0,0,3,0.0,3,4,0,4,0,2,1,0,Matches
102,103,Joel Campbell,cr CRC,"FW,MF",Monterrey,29,1992,17.0,36,23,14,14,8,20,36,55.6,16,14,2,12,2,38,2,0,Matches
103,104,Karel Campos,mx MEX,"MF,DF",América,18,2003,0.4,1,0,0,1,0,1,3,33.3,2,2,0,2,0,1,0,0,Matches
104,105,Omar Campos,mx MEX,DF,Santos,19,2002,23.3,47,29,22,18,7,26,41,63.4,15,21,8,13,36,83,53,1,Matches
105,106,Alexis Canelo,ar ARG,"FW,MF",Toluca,29,1992,22.8,20,11,5,11,4,3,12,25.0,9,14,2,12,5,25,14,0,Matches
106,107,Luis Cárdenas,mx MEX,GK,Monterrey,27,1993,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
107,108,Ulises Cardona,mx MEX,"FW,MF",Mazatlán,22,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
108,109,Rafael Carioca,br BRA,MF,UANL,32,1989,27.7,36,21,19,13,4,21,35,60.0,14,17,3,14,22,58,13,0,Matches
109,110,Miguel Carreón,mx MEX,FW,UNAM,17,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
110,111,Jordan Carrillo,mx MEX,"FW,MF",Santos,19,2001,10.2,27,11,11,11,5,8,20,40.0,12,15,1,14,3,30,0,0,Matches
111,112,Kevin Castañeda,mx MEX,"MF,FW",Toluca,21,1999,17.7,32,12,12,11,9,7,33,21.2,26,21,1,20,9,41,3,1,Matches
112,113,César Castillo,mx MEX,MF,Tijuana,20,2000,0.5,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0,Matches
113,114,Christian Castillo,cl CHI,"FW,MF",Tijuana,24,1996,1.8,1,1,1,0,0,1,3,33.3,2,2,0,2,2,3,0,0,Matches
114,115,Erick Castillo,ec ECU,"FW,MF",Tijuana,26,1995,6.6,6,2,1,3,2,4,7,57.1,3,5,0,5,3,9,10,0,Matches
115,116,Fabián Castillo,co COL,"MF,FW",FC Juárez,29,1992,17.2,11,5,4,7,0,3,9,33.3,6,9,0,9,2,13,1,1,Matches
116,117,Nicolás Castillo,cl CHI,FW,Necaxa,28,1993,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
117,118,José Castillo Pérez,mx MEX,"DF,MF",Pachuca,19,2001,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
118,119,Raúl Castillo,mx MEX,"DF,MF",Puebla,19,2001,0.3,2,1,1,0,1,1,2,50.0,1,0,0,0,0,2,1,0,Matches
119,120,Matías Catalán,ar ARG,"DF,FW",Pachuca,28,1992,7.9,15,11,9,6,0,7,10,70.0,3,6,1,5,9,24,25,1,Matches
120,121,Alan Cervantes,mx MEX,MF,Santos,23,1998,23.1,56,32,18,33,5,25,54,46.3,29,25,9,16,21,77,27,0,Matches
121,122,Daniel Cervantes,mx MEX,DF,Querétaro,31,1990,12.7,16,11,8,7,1,7,18,38.9,11,22,15,7,21,37,40,0,Matches
122,123,Pablo César Aguilar,py PAR,DF,Cruz Azul,34,1987,28.1,39,25,26,11,2,25,48,52.1,23,25,16,9,47,86,154,0,Matches
123,124,Pablo César López,mx MEX,"MF,DF",Pachuca,23,1998,0.8,1,1,0,1,0,0,2,0.0,2,3,3,0,1,2,2,0,Matches
124,125,Aníbal Chalá,ec ECU,"DF,MF",Atlas,25,1996,4.5,6,6,1,4,1,1,3,33.3,2,2,0,2,6,12,1,0,Matches
125,126,Diego Chávez Collins,mx MEX,"FW,MF",Toluca,26,1995,4.5,6,5,3,3,0,4,7,57.1,3,7,0,7,5,11,3,0,Matches
126,127,Luis Chávez,mx MEX,MF,Pachuca,25,1996,25.0,43,27,20,18,5,19,40,47.5,21,18,5,13,31,74,31,0,Matches
127,128,Ricardo Chávez Soto,mx MEX,DF,Atlético,26,1994,28.2,54,27,34,18,2,32,48,66.7,16,36,14,22,24,78,77,0,Matches
128,129,Jesús Chiquete,mx MEX,DF,Guadalajara,19,2002,5.4,10,8,4,6,0,2,6,33.3,4,4,2,2,6,16,25,0,Matches
129,130,Ronaldo Cisneros,mx MEX,FW,Guadalajara,24,1997,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
130,131,Léo Coelho,br BRA,DF,Atlético,28,1993,7.1,12,6,6,4,2,3,4,75.0,1,7,4,3,13,25,34,0,Matches
